被験者,注視時間(ms),平均サッケード振幅(px),最大サッケード振幅(px),サッケード数,平均速度,視覚的探索距離(px),視覚的探索の均一性,平均視線回転(rad)
J1-01,3068.5,424.0674707,1306.130262,381.5,1386.491083,213030.2022,732.8070089,-0.220866056
J1-02,3690.5,334.9470791,1099.467148,587.5,1123.317498,175975.9533,699.7311565,-0.062319697
J2-01,2284.5,406.4937883,1486.409628,329,1436.720679,168422.791,880.6641229,-0.126446948
J2-02,2679.5,355.8885568,1309.360815,403.5,1209.550735,159778.3949,764.3119899,0.001084799
J2-03,2327.5,383.2052876,1170.342114,351.5,1354.366484,166486.764,812.0688742,-0.165005026
J2-04,2374,414.1468848,1162.39456,269.5,1312.383526,158765.1252,821.4575813,-0.147633667
J2-05,4936.5,370.4584565,1186.927197,674.5,1207.279024,252231.9584,649.3618097,-0.081571788
J2-06,5308,352.6307123,1535.009906,783.5,1146.135264,243401.7545,638.1714286,-0.171474965
J2-07,3728,341.3610719,1320.236616,614,1137.066228,184624.7425,703.9050041,-0.156297847
J2-08,3039,342.9315468,1322.413806,479,1157.195833,162354.8978,755.88277,-0.167823553
J2-09,3441.5,392.3948494,1186.62639,413,1256.739597,198035.52,688.9132711,-0.108881047
J2-10,2850,368.5643194,1191.398831,400,1243.936661,172957.188,700.9013939,-0.200779759
J3-01,3537.5,333.5649183,1020.984819,583.5,1130.090988,175831.2842,650.0364621,-0.017206851
J3-02,3508,349.6488435,1144.030446,596,1209.614728,197951.0912,720.3814192,-0.007573932
J3-03,3365.5,396.7673041,1311.49979,527,1372.672854,233287.4033,707.5570604,-0.175649748
J3-04,3957,398.92778,1219.635716,550,1341.772762,254701.4564,686.9266845,-0.098035176
J3-05,2869.5,385.620177,1189.511103,428.5,1332.43695,195052.981,783.1688136,-0.150993455
J3-06,2791.5,338.4505164,1121.943494,421.5,1125.97967,144990.8554,733.9523886,0.018510634
J3-07,2906,440.4538008,1396.977591,393,1507.420456,231902.3848,772.3619053,-0.127698527
J3-08,2438,368.249628,1129.713083,352,1253.98245,155897.824,809.1602191,-0.068412105
J3-09,3548,372.6769924,1166.322581,498.5,1211.225746,195172.5387,716.4497598,-0.219157152
J3-10,3409,422.1358282,1320.602488,444.5,1375.983817,229386.6356,727.4417588,-0.210015662
J3-11,3538.5,349.482307,1119.88632,514.5,1154.409508,180297.83,687.8445286,-0.05642891
J3-12,3707,328.1460408,1071.353507,621.5,1106.570759,174722.9333,645.7938811,-0.009056549
J3-13,4344,350.5998712,1150.115692,677.5,1164.315215,216253.1661,643.7187782,-0.126818325
J3-14,4364.5,338.2057178,1146.998312,678,1120.81474,200259.1634,641.5133719,-0.159939638
H1-01,1624,393.5755335,1418.046544,213,1409.493184,127347.4082,1240.543103,0.139234484
H1-02,1504,315.9383524,992.0246973,243,1332.860147,111410.7505,1085.542553,0.012095838
H2-01,1449,302.8150898,994.6924148,174,1088.238182,85663.5448,1075.224293,-0.095232313
H2-02,1506,375.4390715,1291.681849,245,1574.105478,133280.3157,1324.438247,-0.059611928
H2-03,2567,222.0195703,1014.552611,372,957.0835646,139357.1631,562.3576159,0.057515274
H3-01,1789,236.5894204,964.7590373,251,904.6482662,90545.41576,864.1341532,0.069009632
