被験者,注視時間(ms),平均注視x座標,平均注視y座標,平均サッケード振幅(px),最大サッケード振幅(px),サッケード数,平均速度,速度の標準偏差,視覚的探索距離(px),視覚的探索の均一性,平均視線回転(rad)
J1-01,4303,748,496,310.7704297,1229.375858,560,1136.64429,2336.143662,264281.0217,423.8484778,-0.21064817
J1-02,5547,791,565,132.5296464,816.0496308,972,610.2971203,1070.00589,190172.5239,357.696773,0.106444548
J2-01,2735,881,649,275.6230649,1589.93459,455,1237.103482,2273.602928,175066.1994,719.5627057,-0.021809954
J2-02,3525,658,631,174.4126018,1235.836963,604,782.7635946,1377.846229,157777.4071,486.8584397,0.23325354
J2-03,2821,826,484,229.0460635,957.7995615,500,1072.395091,1589.524868,171194.1454,582.3722084,-0.098926109
J2-04,2914,898,559,290.9292579,941.9044538,336,988.4291755,2128.175791,155750.8677,601.1496225,-0.064183392
J2-05,8039,984,501,203.5524012,990.9697271,1146,778.2201723,1597.59609,342684.5341,256.9580794,0.067940367
J2-06,8782,746,379,167.8969128,1687.135146,1364,655.9326524,1723.594186,325024.1264,234.5773172,-0.111865988
J2-07,5622,973,338,145.3576321,1257.588565,1025,637.794579,1094.100909,207470.1024,366.0444682,-0.081511752
J2-08,4244,781,431,148.4985819,1261.942946,755,678.0537898,1282.027538,162930.4129,470,-0.104563164
J2-09,5049,948,352,247.4251871,990.3681134,623,877.141317,1751.730309,234291.6573,336.0610022,0.013321849
J2-10,3866,921,426,199.764127,999.9129962,597,851.5354469,1579.225539,184134.9934,360.0372478,-0.170475575
J3-01,5241,925,557,129.7653248,659.0849718,964,623.8441007,1041.901552,189883.1858,258.3073841,0.196670241
J3-02,5182,739,355,161.9331752,905.1762259,989,782.8915793,1158.527126,234122.7997,398.9972983,0.215936077
J3-03,4897,862,541,256.1700965,1240.114914,851,1109.007831,2094.146686,304795.424,373.3485808,-0.120215553
J3-04,6080,793,491,260.4910483,1056.386766,897,1047.207648,1917.368358,347623.5301,332.0878289,0.03501359
J3-05,3905,971,534,233.8758423,996.1375407,654,1028.536024,1854.604114,228326.5794,524.5720871,-0.070902967
J3-06,3749,868,527,139.5365211,861.0023229,640,615.621464,1087.099463,128202.3281,426.1392371,0.26810521
J3-07,3978,828,400,343.5430899,1411.070516,583,1378.503035,2405.100957,302025.387,502.9582705,-0.024313111
J3-08,3042,872,403,199.1347443,876.5414993,501,871.6270243,1347.901182,150016.2653,576.5548981,0.094259733
J3-09,5262,867,420,207.9894731,949.7604961,794,786.1136159,1555.421768,228565.6948,391.1339795,-0.207230361
J3-10,4984,839,525,306.9071447,1258.320309,686,1115.629758,2151.299303,296993.8885,413.1179775,-0.188947382
J3-11,5243,934,591,161.6001022,856.887974,826,672.4811391,1316.850248,198816.2774,333.9235171,0.118226123
J3-12,5580,970,332,118.9275699,759.8223477,1040,576.8036415,1009.94764,187666.484,249.8222222,0.212970845
J3-13,6854,992,357,163.8352307,917.3467174,1152,692.2925543,1328.039871,270726.9496,245.6720163,-0.022552707
J3-14,6895,829,527,139.0469239,911.111958,1153,605.2916047,1140.830744,238738.9441,241.2612038,-0.088795334
