被験者,注視時間(ms),平均サッケード振幅(px),最大サッケード振幅(px),サッケード数,平均速度,視覚的探索距離(px),視覚的探索の均一性,平均視線回転(rad)
J1-01,1834,537.3645117,1382.884666,203,1636.337876,161779.3826,1041.76554,-0.231083942
J1-02,3019,194.8373879,1224.70772,411,748.9930336,124411.0365,629.2845313,0.211642505
J2-01,2739,243.9563243,1423.582102,428,1044.16059,156189.8701,636.5381526,0.097025417
J2-02,2390,281.2458603,1044.027777,337,1118.685169,148771.3285,862.1506276,-0.072658163
J2-03,1718,320.3228405,1389.765808,266,1320.518309,127176.6979,1141.374854,-0.03291752
J2-04,2246,421.4573852,1602.21659,290,1476.421115,182981.4983,919.1317898,0.045285487
J2-05,2555,266.4920865,1052,371,1094.857283,155680.6381,711.2994129,0.470280017
J2-06,2557,309.7027452,1239.204987,330,1049.762758,147616.6843,778.6726633,-0.036558673
J2-07,2220,213.3893317,925.6630056,374,944.5433133,117431.8694,815.0112613,-0.073380001
J2-08,1876,244.8615566,796.738351,285,1025.097384,108447.9394,872.8320896,-0.092067414
J2-09,2937,284.3558527,1116.741689,425,1146.246235,183208.6137,701.7827715,-0.106211778
J2-10,2220,255.2802,1085.166347,320,1027.169495,128228.2039,770.0378378,-0.065164624
J3-01,2311,276.9582535,1232.82805,320,1082.50703,139398.6482,643.7265253,0.117625721
J3-02,1750,257.1475063,1042.02927,284,1142.71561,112975.6941,1000.573143,-0.013280621
J3-03,1770,259.873912,999.0495483,276,1076.125061,106067.8561,793.4011299,-0.165921641
J3-04,2026,309.3429084,1052.517458,317,1362.61215,154541.8483,914.5261599,-0.092535077
J3-05,1279,435.558116,1196.488613,131,1429.3479,100246.3861,1151.818608,-0.214647265
J3-06,1298,160.7407711,663.2231902,211,726.8587213,53481.21518,952.4191063,0.364732216
J3-07,1897,325.5289012,1209.506511,313,1465.015252,158682.8125,1047.072219,0.048489221
J3-08,1404,258.9856567,792.4600936,229,1212.398354,97163.42442,1178.25641,-0.172464656
J3-09,1981,290.4575563,1093.263463,331,1215.603376,136127.2091,949.8475517,-0.258534555
J3-10,2500,344.009272,1371.018964,339,1239.862939,168120.7641,825.5072,-0.056503286
J3-11,2018,319.4759478,1185.40162,268,1214.741873,133845.3243,1016.033697,0.079789896
J3-12,2126,313.2173265,1219.942622,273,1172.600917,137564.2724,941.2530574,0.021642532
J3-13,2483,419.0284551,1266.76004,325,1456.584937,197051.346,792.7619815,-0.135265595
J3-14,1728,359.3191281,1394.320623,200,1226.233491,114094.2622,1156.604167,-0.218210209
H1-01,1624,393.5755335,1418.046544,213,1409.493184,127347.4082,1240.543103,0.139234484
H1-02,1504,315.9383524,992.0246973,243,1332.860147,111410.7505,1085.542553,0.012095838
H2-01,1449,302.8150898,994.6924148,174,1088.238182,85663.5448,1075.224293,-0.095232313
H2-02,1506,375.4390715,1291.681849,245,1574.105478,133280.3157,1324.438247,-0.059611928
H2-03,2567,222.0195703,1014.552611,372,957.0835646,139357.1631,562.3576159,0.057515274
H3-01,1789,236.5894204,964.7590373,251,904.6482662,90545.41576,864.1341532,0.069009632
