timestamp,x,y
160845,967,794
160845,1014,807
160845,1027,811
160846,1172,810
160846,1196,809
160846,1224,797
160846,1327,787
160846,1359,781
160846,1409,773
160846,1424,766
160846,1498,763
160846,1594,747
160846,1715,723
160846,1752,720
160846,1759,713
160846,1759,723
160846,1734,753
160846,1726,763
160846,1707,785
160846,1691,784
160846,1676,776
160846,1661,776
160846,1629,769
160846,1597,760
160847,1583,755
160847,1566,741
160847,1502,712
160847,1489,706
160847,1481,692
160847,1487,666
160847,1431,665
160847,1418,666
160847,1413,671
160847,1428,684
160847,1427,702
160847,1388,777
160847,1367,825
160847,1288,910
160847,1164,994
160847,1123,1055
160847,1071,1077
160847,1059,1079
160847,1051,1079
160847,1097,1079
160847,1238,1043
160848,1312,1009
160848,1341,901
160848,1449,839
160848,1456,861
160848,1444,858
160848,1508,866
160848,1469,869
160848,1490,835
160848,1539,818
160848,1597,801
160848,1621,776
160848,1627,783
160848,1663,790
160848,1683,789
160848,1725,790
160848,1794,792
160848,1829,782
160848,1846,774
160848,1875,765
160848,1895,748
160848,1909,723
160848,1918,711
160849,1919,709
160849,1919,710
160849,1919,713
160849,1919,697
160849,1919,684
160849,1912,662
160849,1873,638
160849,1860,622
160849,1846,534
160849,1843,547
160849,1845,526
160849,1820,484
160849,1845,474
160849,1848,377
160849,1855,372
160849,1866,377
160849,1867,378
160849,1868,387
160849,1882,391
160849,1889,395
160849,1885,435
160850,1882,496
160850,1877,480
160850,1874,531
160850,1859,624
160850,1822,710
160850,1822,713
160850,1807,684
160850,1801,679
160850,1841,687
160850,1844,691
160850,1813,685
160850,1784,659
160850,1784,615
160850,1773,576
160850,1755,527
160850,1724,501
160850,1720,504
160850,1727,465
160850,1720,474
160850,1741,478
160850,1740,481
160851,1739,487
160851,1617,499
160851,1627,515
160851,1632,554
160851,1661,604
160851,1642,676
160851,1474,925
160851,1365,945
160851,1281,911
160851,1246,892
160851,1249,869
160851,1227,843
160851,1246,839
160851,1256,845
160851,1292,849
160851,0,0
160851,0,0
160851,0,0
160851,0,0
160851,0,0
160851,0,0
160852,0,0
160852,0,0
160852,1919,693
160852,1919,613
160852,1919,431
160852,1919,353
160852,1908,365
160852,1769,388
160852,1748,371
160852,1752,390
160852,1728,398
160852,1717,444
160852,1663,451
160852,1597,468
160852,1583,523
160852,1560,540
160852,1517,627
160852,1448,634
160852,1415,610
160852,1293,598
160852,803,574
160852,790,560
160853,759,506
160853,1155,544
160853,1166,624
160853,1203,685
160853,1218,848
160853,1224,892
160853,1229,868
160853,1199,875
160853,1162,862
160853,1060,849
160853,929,811
160853,762,723
160853,625,704
160853,537,672
160853,542,688
160853,559,694
160853,564,773
160853,558,777
160853,522,784
160853,461,786
160853,438,784
160854,443,769
160854,452,749
160854,481,722
160854,485,709
160854,522,672
160854,542,662
160854,571,644
160854,645,638
160854,678,623
160854,723,608
160854,776,591
160854,795,578
160854,851,490
160854,868,482
160854,891,475
160854,969,457
160854,1054,443
160854,1133,411
160854,1136,409
160854,1107,409
160854,1096,406
160855,1084,402
160855,1031,401
160855,1009,400
160855,929,397
160855,929,395
160855,895,381
160855,883,380
160855,826,380
160855,781,379
160855,782,376
160855,739,379
160855,701,384
160855,624,446
160855,596,489
160855,582,575
160855,582,575
160855,560,621
160855,550,624
160855,545,616
160855,552,620
160855,561,616
160856,582,646
160856,628,670
160856,640,664
160856,647,663
160856,666,672
160856,676,678
160856,667,672
160856,658,668
160856,604,653
160856,547,640
160856,511,627
160856,493,601
160856,472,549
160856,449,529
160856,420,514
160856,422,515
160856,408,501
160856,414,496
160856,417,497
160856,444,500
160856,461,501
160857,475,501
160857,486,500
160857,507,499
160857,558,490
160857,610,480
160857,663,472
160857,686,482
160857,675,516
160857,666,528
160857,634,532
160857,606,524
160857,562,514
160857,570,435
160857,571,353
160857,575,274
160857,567,184
160857,551,165
160857,474,119
160857,439,121
160857,425,133
160857,452,137
160858,477,135
160858,576,129
160858,658,130
160858,740,116
160858,737,83
160858,760,45
160858,751,31
160858,742,43
160858,698,46
160858,639,43
160858,614,42
160858,545,45
160858,519,62
160858,509,73
160858,513,80
160858,520,81
160858,522,85
160858,522,89
160858,534,92
160858,529,90
160858,561,91
160858,561,91
160859,558,87
160859,565,75
160859,574,71
160859,582,72
160859,568,69
160859,546,63
160859,531,64
160859,476,74
160859,471,79
160859,472,86
160859,458,90
160859,409,98
160859,405,107
160859,394,131
160859,385,161
160859,389,175
160859,397,181
160859,392,194
160859,375,194
160859,330,192
160859,332,195
160900,307,195
160900,250,200
160900,217,222
160900,125,294
160900,109,302
160900,103,354
160900,105,350
160900,115,362
160900,153,419
160900,218,476
160900,409,534
160900,446,519
160900,477,510
160900,468,507
160900,482,500
160900,484,499
160900,512,504
160900,509,500
160900,499,488
160900,497,474
160900,491,441
160901,470,419
160901,447,412
160901,431,422
160901,415,421
160901,405,437
160901,374,457
160901,361,488
160901,376,505
160901,412,552
160901,480,576
160901,526,565
160901,651,565
160901,712,561
160901,750,563
160901,751,561
160901,743,560
160901,705,563
160901,684,561
160901,681,564
160901,671,570
160901,674,585
160902,710,619
160902,733,632
160902,772,633
160902,835,652
160902,876,670
160902,932,669
160902,958,670
160902,995,683
160902,1011,686
160902,1008,693
160902,1023,701
160902,1016,706
160902,1018,741
160902,1015,751
160902,1015,759
160902,1016,762
160902,1017,770
160902,1032,791
160902,1033,819
160902,1036,836
160902,1044,862
160903,1062,871
160903,1130,867
160903,1160,864
160903,1207,846
160903,1241,854
160903,1240,861
160903,1244,911
160903,1256,922
160903,1236,928
160903,1234,929
160903,1222,923
160903,1210,942
160903,1095,936
160903,1012,941
160903,841,989
160903,792,1014
160903,632,1031
160903,527,1072
160903,481,1079
160903,545,1079
160903,538,1079
160903,373,1079
160904,170,1079
160904,156,1079
160904,186,1050
160904,183,981
160904,159,836
160904,176,698
160904,41,617
160904,0,586
160904,0,500
160904,0,415
160904,0,372
160904,0,345
160904,0,309
160904,0,266
160904,17,217
160904,59,167
160904,167,46
160904,204,6
160904,233,87
160904,270,52
160904,258,8
160905,248,9
160905,252,1
160905,258,0
160905,295,0
160905,317,0
160905,353,0
160905,459,0
160905,475,42
160905,471,45
160905,486,48
160905,623,71
160905,769,84
160905,858,87
160905,936,80
160905,1018,73
160905,1056,60
160905,1147,36
160905,1197,16
160905,1280,2
160905,1345,3
160905,1391,0
160906,1408,0
160906,1380,0
160906,1263,0
160906,1156,0
160906,932,18
160906,834,28
160906,791,39
160906,795,75
160906,776,92
160906,722,108
160906,668,133
160906,547,115
160906,547,114
160906,535,130
160906,535,130
160906,518,260
160906,515,295
160906,515,288
160906,507,285
160906,473,270
160906,464,272
160907,452,273
160907,428,291
160907,459,293
160907,472,299
160907,472,299
160907,492,307
160907,502,312
160907,513,310
160907,521,306
160907,518,304
160907,516,305
160907,515,304
160907,488,306
160907,471,305
160907,419,304
160907,368,300
160907,356,303
160907,361,305
160907,367,304
160907,389,297
160907,411,287
160908,472,252
160908,510,230
160908,578,199
160908,632,193
160908,766,174
160908,832,152
160908,883,108
160908,945,96
160908,954,92
160908,954,100
160908,953,104
160908,893,188
160908,817,240
160908,671,336
160908,571,429
160908,508,474
160908,468,491
160908,447,482
160908,434,499
160908,434,488
160908,436,483
160908,420,476
160909,416,474
160909,410,474
160909,386,465
160909,388,459
160909,382,451
160909,375,448
160909,377,443
160909,376,435
160909,378,423
160909,381,412
160909,390,396
160909,391,397
160909,399,395
160909,413,393
160909,449,388
160909,591,389
160909,655,391
160909,793,382
160909,841,372
160909,844,364
160909,849,371
160910,829,372
160910,803,369
160910,770,366
160910,742,364
160910,712,361
160910,682,360
160910,651,358
160910,596,354
160910,576,346
160910,531,346
160910,515,350
160910,513,361
160910,489,381
160910,471,378
160910,476,390
160910,475,395
160910,472,425
160910,459,445
160910,458,465
160910,463,462
160910,463,471
160911,491,478
160911,601,482
160911,808,485
160911,850,488
160911,871,487
160911,907,494
160911,921,495
160911,925,502
160911,907,516
160911,895,516
160911,824,507
160911,733,494
160911,667,482
160911,554,436
160911,493,405
160911,458,338
160911,430,306
160911,417,305
160911,407,307
160911,382,309
160911,363,302
160912,350,290
160912,333,291
160912,295,292
160912,289,292
160912,267,285
160912,244,276
160912,231,261
160912,264,210
160912,308,189
160912,386,160
160912,553,126
160912,1132,99
160912,1237,98
160912,1270,109
160912,1324,130
160912,1336,139
160912,1357,154
160912,1354,186
160912,1354,198
160912,1362,209
160912,1368,215
160913,1390,220
160913,1424,232
160913,1442,242
160913,1474,252
160913,1476,258
160913,1475,274
160913,1469,284
160913,1468,285
160913,1464,293
160913,1461,294
160913,1455,294
160913,1440,297
160913,1425,301
160913,1408,306
160913,1394,309
160913,1346,317
160913,1277,318
160913,1257,321
160913,1189,327
160913,1168,335
160913,1118,373
160913,1085,383
160914,1006,379
160914,876,366
160914,725,353
160914,628,340
160914,610,338
160914,590,324
160914,605,330
160914,634,334
160914,634,334
160914,644,326
160914,649,311
160914,648,267
160914,662,239
160914,673,201
160914,673,186
160914,649,175
160914,609,149
160914,595,139
160914,554,122
160914,537,125
160914,432,124
160915,399,124
160915,359,115
160915,359,115
160915,401,102
160915,423,98
160915,454,98
160915,498,101
160915,495,98
160915,504,108
160915,504,108
160915,620,148
160915,647,152
160915,723,151
160915,773,128
160915,929,92
160915,973,75
160915,1020,49
160915,1020,49
160915,1022,27
160915,1010,22
160915,985,17
160916,945,13
160916,933,16
160916,990,20
160916,990,20
160916,1054,13
160916,1008,0
160916,971,0
160916,972,59
160916,994,159
160916,1001,183
160916,1017,270
160916,1007,292
160916,998,311
160916,966,321
160916,933,326
160916,894,339
160916,886,350
160916,876,365
160916,876,365
160916,854,373
160916,855,387
160917,861,418
160917,859,442
160917,835,465
160917,832,469
160917,832,468
160917,851,465
160917,847,463
160917,848,460
160917,848,458
160917,850,456
160917,848,456
160917,842,456
160917,829,465
160917,829,471
160917,827,470
160917,833,474
160917,836,471
160917,833,466
160917,831,463
160917,831,460
160917,837,456
160917,841,453
160918,856,440
160918,859,436
160918,876,422
160918,880,417
160918,893,410
160918,900,414
160918,906,409
160918,915,402
160918,922,395
160918,924,391
160918,928,385
160918,925,381
160918,924,369
160918,925,371
160918,925,371
160918,929,371
160918,933,365
160918,936,351
160918,942,348
160918,956,338
160918,969,342
160919,971,343
160919,963,400
160919,970,504
160919,964,498
160919,926,641
160919,913,694
160919,878,679
160919,840,659
160919,836,665
160919,789,685
160919,800,675
160919,821,598
160919,846,532
160919,944,407
160919,965,389
160919,972,379
160919,1022,374
160919,1050,368
160919,1062,330
160919,1058,320
160919,1047,308
160920,1032,308
160920,1022,293
160920,997,288
160920,975,275
160920,968,274
160920,959,295
160920,968,291
160920,1043,324
160920,1225,456
160920,1229,454
160920,1239,454
160920,1237,466
160920,1187,492
160920,1157,505
160920,1112,534
160920,1081,549
160920,1075,552
160920,1068,556
160920,1089,552
160920,1097,549
160920,1139,528
