被験者,注視時間(ms),平均サッケード振幅(px),最大サッケード振幅(px),サッケード数,平均速度,視覚的探索距離(px),視覚的探索の均一性,平均視線回転(rad)
J1-01,3407.5,420.5811358,1380.376474,429.5,1401.519408,239808.0139,675.3046508,-0.231152557
J1-02,4962,166.9057099,1284.337863,794.5,696.9883389,186677.6149,441.7863458,0.156994337
J2-01,3105,257.0320349,1506.758346,497,1116.662751,184691.186,623.6522399,0.045789397
J2-02,3384,227.7109239,1139.93237,533.5,937.9460517,172907.358,581.2253019,0.089367907
J2-03,2542.5,265.371119,1173.782685,435.5,1169.823623,163975.0394,815.9285059,-0.039930224
J2-04,3002.5,337.8080299,1355.323281,382.5,1224.102639,197004.8971,646.9402098,-0.036710267
J2-05,6051.5,236.5162217,1021.484864,868.5,946.0783045,287079.5288,416.0033824,0.249928813
J2-06,6264.5,259.2594711,1654.423911,923.5,913.9820495,275497.1215,443.8235907,-0.062407011
J2-07,4422,184.8473787,1091.625785,781,816.6760544,190035.8863,532.7436996,-0.048866936
J2-08,3518,195.1608861,1029.340649,604,844.5896823,154895.1571,615.3322552,-0.11164562
J2-09,4821.5,258.262793,1053.554901,654.5,998.7863865,244121.0322,455.1830687,-0.050915238
J2-10,3451,229.2063345,1042.539672,518,942.477838,177114.5951,516.7873243,-0.125214801
J3-01,4250,201.9934209,945.9565109,703,834.8294271,183680.3451,419.2638469,0.158622333
J3-02,3756,204.5725525,973.602748,698.5,955.3444174,189726.0588,631.7724967,0.106469932
J3-03,3682.5,254.8212147,1119.582231,622.5,1085.86865,224767.3702,609.5645558,-0.145735288
J3-04,4351.5,278.365779,1054.452112,654,1179.918583,265241.8181,586.0311765,-0.023530048
J3-05,2869.5,308.1125569,1096.313077,434,1190.537998,180906.775,729.7245986,-0.156982736
J3-06,2778.5,151.8333707,863.0439339,471.5,682.7025726,101959.2631,639.7834178,0.321014001
J3-07,3130,335.9902803,1328.253429,475.5,1427.439592,246314.8017,724.6560711,0.010094431
J3-08,2432.5,225.3545722,834.5007965,405.5,1031.24498,136342.3851,914.4789482,-0.039852109
J3-09,4111.5,255.1916794,1241.385304,645.5,1027.80877,213537.8408,588.3632467,-0.234717159
J3-10,4203,325.3256088,1314.669637,579,1169.774033,259389.0022,535.5975484,-0.102948855
J3-11,4108.5,254.6569689,1243.665212,618,985.8079097,195509.8249,569.2648635,0.096153259
J3-12,4281.5,224.857153,1266.472073,714,896.4918933,185833.1759,516.9578641,0.115697306
J3-13,5045,289.1566489,1092.053379,788,1063.228397,253152.3212,466.9935215,-0.045151755
J3-14,4651.5,236.1759658,1152.716291,733,895.6132205,190356.2561,635.2395373,-0.157354284
H1-01,2044,387.6933527,1418.046544,264,1388.278138,156530.3727,1005.219178,0.116627197
H1-02,2083,292.3441739,992.0246973,342,1258.87363,145052.196,797.4095055,-0.012889283
H2-01,1932,277.0585414,994.6924148,244,1010.118517,107374.2255,806.4182195,-0.060213365
H2-02,1908,360.811695,1291.681849,301,1476.233907,157727.2282,1048.212264,-0.09510983
H2-03,3067,216.1710598,1014.552611,450,936.4184731,163208.9022,477.3081187,0.048872555
H3-01,2541,252.8337352,1094.210674,342,914.3684482,128184.9919,810.7272727,0.072686658
