被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,184,1401.519408,674,10.9234165,420.5811358,1380.376474,446.9800802,117.8309107,0.971285223
J1-02,281.5,696.9883389,1023,13.46633042,166.9057099,1284.337863,411.4744498,89.60240849,0.971811268
J2-01,248,1116.662751,669.5,13.79877118,257.0320349,1506.758346,460.6183288,95.80148416,0.967898171
J2-02,190.5,937.9460519,734.5,13.40944829,227.7109239,1139.93237,477.1496329,86.87222284,0.966571694
J2-03,143.5,1169.823622,610,14.40077004,265.371119,1173.782685,499.5038963,82.39163741,0.971054486
J2-04,164.5,1224.102639,580,11.37799772,337.8080299,1355.32328,507.3324543,97.83139136,0.977590289
J2-05,350.5,946.0783045,1118,12.5835265,236.5162216,1021.484864,484.6426589,137.5081935,0.962801975
J2-06,354.5,913.9820496,1176,12.36452572,259.2594711,1654.42391,470.5513846,129.1850407,0.966067936
J2-07,249.5,816.6760544,922,14.93849247,184.8473786,1091.625786,412.9798532,89.91786913,0.979647479
J2-08,196.5,844.5896822,757,14.30994226,195.1608861,1029.340649,416.8271567,76.07281742,0.969097306
J2-09,263,998.7863865,924.5,12.06242026,258.2627929,1053.554901,425.436198,123.5642598,0.963207476
J2-10,187,942.4778379,707.5,12.91953121,229.2063344,1042.539671,404.6851837,96.94909017,0.971914316
J3-01,239.5,834.8294273,920,13.5960343,201.9934209,945.9565107,374.4080958,96.03749804,0.967967048
J3-02,222.5,955.3444175,904,15.33880296,204.5725525,973.6027481,454.8334132,89.90338049,0.954311199
J3-03,213,1085.868649,824,14.27314311,254.8212147,1119.582231,452.9046842,114.1671491,0.945904769
J3-04,246,1179.918583,1023,13.31109873,278.365779,1054.452112,468.9771121,129.3586798,0.939627893
J3-05,159,1190.537997,611,12.24887198,308.1125569,1096.313077,477.6517234,87.21158342,0.976493551
J3-06,170,682.7025726,612,14.41117142,151.8333707,863.0439339,319.4168936,57.49645865,0.974785627
J3-07,174,1427.439592,771.5,13.3879914,335.9902803,1328.253428,464.1819097,116.8248024,0.956511438
J3-08,135.5,1031.24498,518.5,14.21969269,225.3545721,834.5007965,453.6815057,65.46438742,0.962687302
J3-09,237.5,1027.80877,923,13.79626975,255.1916793,1241.385303,451.9523288,101.3025068,0.960636778
J3-10,234.5,1169.774033,903.5,12.05393074,325.3256087,1314.669637,487.5229478,125.1129738,0.953936072
J3-11,232.5,985.8079094,779,12.63986084,254.6569689,1243.665211,505.9529715,98.48283828,0.96391349
J3-12,237.5,896.4918936,903.5,13.45505175,224.857153,1266.472072,413.7736255,94.08668541,0.960064433
J3-13,277.5,1063.228397,1045.5,12.89895434,289.1566489,1092.053379,451.1678826,128.9066408,0.977600274
J3-14,255.5,895.6132202,969,12.563314,236.1759658,1152.716291,423.402098,95.48638545,0.971070815
