被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,257.0,1170.85579959724,938,11.599329733755352,316.0982572148251,1377.8682810776943,385.591373078864,145.1000082932848,0.9594856214830295
J1-02,370.0,621.8038117500039,1386,14.549071618037136,137.38483082566523,1343.9680055715612,355.5990132976199,106.63015549320552,0.9661800048068279
J2-01,307.0,1216.7185453558857,697,14.04290888826971,275.4289524461544,1589.9345898495321,439.6856104249999,102.8428618355326,0.9470453995638369
J2-02,224.0,775.6825933655248,869,14.608695652173914,175.46144965928403,1235.8369633572222,391.70136328517407,92.79267761677784,0.9733826354516993
J2-03,178.0,1047.428193276555,754,15.285599356395815,221.46796750995426,957.7995614949925,447.88784426980425,99.25505270652255,0.9704012661763002
J2-04,176.0,982.5406709332439,578,10.499186109603906,285.7375551364772,1108.4299707243574,428.7545754691938,92.86013813865759,0.9860504046790451
J2-05,516.0,786.683142046321,1652,12.518027112777618,204.07053447486518,990.9697270855453,435.87732829731624,185.94564684716673,0.9715882704862029
J2-06,530.0,672.3445690482253,1766,13.302120627926191,175.1093795044021,1687.1351457426283,383.11224579705055,166.89992465310388,0.9622472739434013
J2-07,352.0,656.9820906211498,1256,15.117075174585787,152.36912238217747,1257.5885654696451,366.39339215869484,109.42497638714808,0.9735727491585009
J2-08,274.0,670.0904634706723,1027,15.191199580932423,147.4784486849163,1261.9429464123962,376.00648481045727,87.30396178810186,0.9584119543203675
J2-09,351.0,840.9254349675963,1178,11.734972677595628,225.77078095670663,990.3681133800704,364.3904376635885,151.43309771365767,0.9556051145069762
J2-10,241.0,866.1054009735095,899,13.383045525902668,201.66429680744235,999.9129962151707,352.96704508077113,121.27238592088862,0.9760409233510775
J3-01,331.0,631.493270173348,1283,15.202354672553348,132.75658554422515,659.0849717600911,304.7695508299935,106.21005831315016,0.9692033818125521
J3-02,319.0,788.3958477929139,1338,16.074164878945755,162.48442582514207,905.1762259361433,400.804475699093,116.92367935980658,0.9629312664569395
J3-03,306.0,1099.9847677914242,1208,14.708272387453276,254.8977725667409,1240.1149140301475,446.6681019641468,168.39668856010616,0.9503940403162604
J3-04,363.0,1030.611635115667,1452,12.788801304702366,257.1535208088467,1056.3867662934822,432.5113016403154,175.4512573007045,0.9345673801984427
J3-05,234.0,1033.9800305317337,928,14.164598842018197,236.80596351580803,996.1375407040937,442.19060311947675,114.3585587975972,0.9698792234785883
J3-06,250.0,620.9770914826173,890,14.61877756773787,140.412818775194,861.0023228772383,309.2745833117704,75.99963933666228,0.9600115381989994
J3-07,231.0,1373.740362440645,1009,12.779285863437043,339.4205465650269,1447.0003455424605,459.0828247117419,149.74393451978838,0.9494974967395846
J3-08,179.0,888.4287124896623,653,14.42997608291257,198.19674115194545,876.5414993027997,414.07375498681677,78.6710606401492,0.971264972589815
J3-09,322.0,786.11547494462,1202,13.208977858659388,205.80406797222898,949.7604961252074,400.18684318137156,118.15422405738192,0.9526034490287961
J3-10,307.0,1098.6533744588612,1167,12.23895094706168,298.4314455552925,1258.3203089833685,453.46908615843637,154.71323064379777,0.9648354791491461
J3-11,317.0,676.1010132509685,1106,13.696987861531545,162.8057027651059,1015.9552155484021,409.6789249306535,114.59788789183668,0.9649949110184589
J3-12,336.0,588.0699906485642,1288,15.42784881270198,122.04095039840747,1313.0015232283624,317.0939776027109,109.02076917528724,0.9666873661689139
J3-13,403.0,696.5542000643435,1510,14.248612914649982,165.90569265665457,917.3467174411211,354.63201892338986,152.06990500280727,0.9758542779853717
J3-14,404.0,606.8363659726438,1558,14.330653617616218,139.2434714052318,911.1119579941864,366.9886702250707,130.6106722493238,0.9583813446022227
