被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,111.0,1632.183016192729,410,10.247503256621798,525.0640143021203,1382.884666195992,508.368787394978,90.56181310679129,0.9830848248399442
J1-02,193.0,772.1728660008733,660,12.383589227284169,196.42658899250534,1224.707720233689,467.34988628503334,72.57466147680161,0.97744253028479
J2-01,189.0,1016.6069572378,642,13.55463347164592,238.63511725865203,1423.5821016014497,481.55104712821964,88.76010648237586,0.9887509424059833
J2-02,157.0,1100.209510433248,600,12.210200927357032,279.9603981254313,1044.027777408245,562.5979025086535,80.95176807159345,0.9597607523407851
J2-03,109.0,1292.2190516663416,466,13.515940727436012,309.27427048490483,1389.7658076093253,551.1199482380695,65.52822210417665,0.9717077052081856
J2-04,153.0,1465.6646080665253,582,12.2568093385214,389.8785045669701,1602.216589603291,585.91033318852,102.80264457531258,0.9691301740775986
J2-05,185.0,1105.4734669425472,584,12.649025879616168,268.96190881722964,1052.0,533.4079894569419,89.07074013290078,0.9540156785939571
J2-06,179.0,1155.6195302417464,586,11.426930806775767,343.40956265337394,1621.7126749211773,557.9905234331536,91.47015665710637,0.9698885987760281
J2-07,147.0,976.3700182162664,588,14.759909764743798,217.3256348563345,925.6630056343399,459.5663143258187,70.41076187684348,0.9857222096305934
J2-08,119.0,1019.0889008602687,487,13.428684942391737,242.84332345788303,796.7383510287427,457.6478286094821,64.84167305769473,0.9797826575387952
J2-09,175.0,1156.6473380588825,671,12.389867841409693,290.75480486729634,1116.7416890221302,486.48195827246803,95.69542184063667,0.9708098367061136
J2-10,133.0,1018.8502748585588,516,12.456016889514427,256.7483720739491,1085.166346695289,456.4033222217698,72.62579442233104,0.9677877083174915
J3-01,148.0,1038.1655844792447,557,11.989713918354227,271.23025633218623,1232.8280496484495,444.04664074887484,85.86493777093042,0.9667307133525085
J3-02,126.0,1122.2929872928237,470,14.603441040704993,246.66067922386554,1042.0292702222907,508.8623506623311,62.88308161973438,0.9456911313901933
J3-03,120.0,1071.7525306418117,440,13.838013838013838,254.7446568377235,999.0495483208027,459.1412663971826,59.937609577032276,0.94141549763429
J3-04,129.0,1329.2255302318652,594,13.83339615529589,299.57803717190876,1052.5174582875097,505.442922607419,83.2661022327018,0.9446884048211708
J3-05,84.0,1347.0959643254662,294,10.333145115753812,379.4191503410282,1196.4886125659534,513.1128437480878,60.06460805187787,0.9831078778418861
J3-06,90.0,744.4280537444461,334,14.203565267395055,163.25392260863583,865.0855449029305,329.55920382202555,38.99327796730596,0.9895597154934245
J3-07,117.0,1481.1388210217315,534,13.996696944673822,332.5600139585348,1209.5065109374154,469.28099471336344,83.9056703630215,0.9635253785849092
J3-08,92.0,1174.0612478412013,384,14.009409304756925,252.51240313193125,792.4600936324806,493.28925645047923,52.25771420432433,0.9541096310675202
J3-09,153.0,1269.5020655104627,644,14.383561643835616,304.5792907141735,1533.0101108603296,503.71781443026214,84.45078963423006,0.9686701071149881
J3-10,162.0,1240.8946920947435,640,11.868910540301151,352.21977193027146,1371.0189641285053,521.576809461494,95.51271692281452,0.9430366651762065
J3-11,148.0,1295.5148056185787,452,11.58273381294964,346.50823504850405,1471.3752070766993,602.227018036436,82.36778867742781,0.962832069952273
J3-12,139.0,1204.9137964783224,519,11.482254697286013,327.6733555907105,1219.9426216015243,510.45327341012404,79.15260164083016,0.9534415001912316
J3-13,152.0,1429.9025929695872,581,11.549295774647888,412.4076050892214,1266.760040418074,547.7037462446576,105.74337668014897,0.9793462701535902
J3-14,107.0,1184.3900745225878,380,10.79597438243367,333.10846018229483,1394.3206230992928,479.81552582379487,60.3620986460644,0.9837602860140433
H1-01,130.0,1388.2781384362563,418,11.438474870017332,387.6933526870236,1418.0465436649108,594.6648759948886,73.01784731302531,0.9771480033317147
H1-02,117.0,1258.873629970519,518,14.103092783505156,292.34417390699724,992.0246972732081,499.6927353510775,80.94103990570262,0.9591163508884488
H2-01,103.0,1010.1185167699512,382,11.213235294117647,277.0585414279146,994.6924147695105,452.23368164277326,55.61044898817966,0.963657611518551
H2-02,110.0,1476.2339073132475,462,13.626075147125396,360.81169501030354,1291.6818493731341,528.3617329021058,75.95333523495874,0.9816834148166561
H2-03,166.0,936.4184731454064,590,12.794995735001422,216.17105976974528,1014.5526107600335,483.948272971126,87.65567841104587,0.9743636710560303
H3-01,138.0,914.3684481681792,518,11.86264308012487,252.83373521994,1094.210674413296,426.64195282999833,60.073454942733,0.9903862854006976
