timestamp,x,y
194743,1796,797
194743,1799,795
194743,1812,796
194744,1800,794
194744,1797,789
194744,1787,775
194744,1785,761
194744,1784,697
194744,1785,665
194744,1787,646
194744,1796,622
194744,1799,632
194744,1781,637
194744,1743,638
194744,1678,680
194744,1647,696
194744,1662,696
194744,1667,697
194744,1672,691
194744,1673,691
194744,1669,697
194744,1672,702
194744,1692,702
194744,1691,700
194745,1705,681
194745,1707,672
194745,1714,672
194745,1716,676
194745,1722,687
194745,1689,724
194745,1689,724
194745,1689,725
194745,1651,1079
194745,1615,1079
194745,1055,1079
194745,1124,1079
194745,1135,1079
194745,0,0
194745,0,0
194745,0,0
194745,0,0
194745,1429,887
194745,1441,838
194745,1441,838
194745,1388,968
194746,1152,1046
194746,1521,1023
194746,1520,1010
194746,1559,937
194746,1578,897
194746,1628,821
194746,1683,776
194746,1728,734
194746,1786,637
194746,1799,621
194746,1792,561
194746,1799,554
194746,1801,545
194746,1790,525
194746,1783,528
194746,1760,524
194746,1734,514
194746,1733,522
194746,1690,521
194746,1654,520
194746,1604,516
194746,1597,519
194747,1594,526
194747,1600,539
194747,1593,564
194747,1552,566
194747,1445,581
194747,1396,592
194747,1347,607
194747,1342,611
194747,1349,683
194747,1354,786
194747,1363,767
194747,1374,783
194747,1405,782
194747,1471,778
194747,1524,772
194747,1606,763
194747,1638,762
194747,1697,742
194747,1685,718
194747,1687,703
194747,1692,685
194748,1689,665
194748,1685,648
194748,1690,647
194748,1688,631
194748,1672,627
194748,1647,614
194748,1586,581
194748,1558,574
194748,1516,567
194748,1503,571
194748,1484,590
194748,1483,589
194748,1238,629
194748,1251,653
194748,1231,727
194748,1203,763
194748,1164,786
194748,1106,796
194748,1019,816
194748,988,816
194748,884,818
194749,838,820
194749,805,814
194749,792,809
194749,791,811
194749,772,806
194749,769,794
194749,764,761
194749,757,697
194749,763,700
194749,790,700
194749,874,689
194749,911,676
194749,933,676
194749,935,681
194749,924,749
194749,916,759
194749,910,760
194749,897,758
194749,885,759
194749,878,760
194749,891,747
194750,927,713
194750,927,698
194750,928,686
194750,935,667
194750,940,663
194750,940,664
194750,951,650
194750,955,643
194750,953,651
194750,957,654
194750,968,652
194750,973,651
194750,983,654
194750,983,654
194750,978,664
194750,1028,1079
194750,1028,1079
194750,1028,1079
194750,1020,1079
194750,1005,973
194750,973,847
194750,964,794
194751,950,763
194751,917,750
194751,905,733
194751,881,677
194751,873,670
194751,855,638
194751,851,635
194751,846,631
194751,842,596
194751,840,584
194751,834,563
194751,834,556
194751,837,551
194751,852,503
194751,871,502
194751,870,514
194751,861,509
194751,848,508
194751,814,504
194751,773,491
194751,718,444
194752,685,420
194752,633,368
194752,627,359
194752,611,345
194752,611,345
194752,584,319
194752,557,280
194752,535,263
194752,516,261
194752,518,332
194752,525,390
194752,554,409
194752,596,385
194752,647,372
194752,788,336
194752,851,278
194752,941,169
194752,961,140
194752,1010,106
194752,1042,103
194752,1064,86
194753,1143,52
194753,1168,39
194753,1198,42
194753,1175,42
194753,1164,42
194753,1026,55
194753,930,66
194753,732,87
194753,610,106
194753,564,118
194753,487,148
194753,465,154
194753,442,169
194753,438,179
194753,431,184
194753,421,188
194753,405,202
194753,394,210
194753,390,223
194753,397,225
194753,419,218
194753,459,209
194754,563,193
194754,605,187
194754,667,178
194754,667,178
194754,749,226
194754,834,366
194754,869,413
194754,936,419
194754,954,427
194754,998,420
194754,1071,352
194754,1161,267
194754,1225,241
194754,1343,229
194754,1385,230
194754,1447,240
194754,1460,251
194754,1464,290
194754,1457,320
194754,1452,325
194754,1432,439
194755,1438,489
194755,1448,602
194755,1460,661
194755,1469,674
194755,1418,666
194755,985,692
194755,938,689
194755,862,692
194755,773,692
194755,720,684
194755,684,671
194755,618,657
194755,590,661
194755,560,633
194755,540,629
194755,523,611
194755,507,575
194755,488,557
194755,467,548
194755,455,541
194755,433,542
194756,432,546
194756,447,538
194756,449,539
194756,454,539
194756,457,542
194756,455,546
194756,464,544
194756,492,549
194756,531,555
194756,625,554
194756,668,567
194756,725,582
194756,830,712
194756,861,749
194756,1004,876
194756,1028,905
194756,1052,1079
194756,1075,1079
194756,1211,1067
194756,1211,1067
194756,1322,1021
194757,1450,982
194757,1506,966
194757,1515,925
194757,1527,858
194757,1502,830
194757,1438,769
194757,1351,765
194757,1221,736
194757,1037,707
194757,906,701
194757,699,666
194757,603,645
194757,510,575
194757,492,526
194757,479,404
194757,479,404
194757,447,272
194757,422,235
194757,427,204
194757,427,164
194757,427,191
194758,757,469
194758,756,467
194758,756,466
194758,757,465
194758,1180,730
194758,512,450
194758,419,0
194758,414,0
194758,387,0
194758,389,0
194758,392,0
194758,391,0
194758,388,0
194758,385,0
194758,387,0
194758,395,0
194758,441,0
194758,473,0
194758,516,0
194758,550,0
194758,569,0
194758,604,0
194759,627,0
194759,706,0
194759,752,0
194759,847,0
194759,890,0
194759,972,0
194759,1132,0
194759,1204,3
194759,1262,6
194759,1281,23
194759,1248,43
194759,1114,74
194759,1000,100
194759,768,156
194759,692,231
194759,669,245
194759,693,276
194759,723,304
194759,888,284
194759,1007,282
194759,1172,273
194800,1201,273
194800,1229,280
194800,1224,301
194800,1211,301
194800,1203,302
194800,1190,298
194800,1162,298
194800,1091,301
194800,1041,308
194800,1024,310
194800,972,323
194800,964,328
194800,921,402
194800,954,1039
194800,918,1022
194800,923,1015
194800,903,1019
194800,905,1033
194800,889,1030
194800,871,1034
194800,875,1027
194801,878,1011
194801,905,944
194801,927,874
194801,975,756
194801,1005,702
194801,1007,646
194801,1085,562
194801,1147,551
194801,1206,556
194801,1320,542
194801,1355,538
194801,1401,536
194801,1414,540
194801,1426,535
194801,1434,531
194801,1434,518
194801,1432,488
194801,1421,483
194801,652,558
194801,627,559
194801,600,556
194801,611,556
194802,602,561
194802,548,573
194802,518,582
194802,497,594
194802,490,594
194802,496,593
194802,525,585
194802,533,572
194802,536,562
194802,548,546
194802,553,543
194802,560,532
194802,559,520
194802,580,509
194802,597,498
194802,631,488
194802,715,466
194802,776,446
194802,812,415
194802,890,382
194802,924,370
194803,981,344
194803,997,332
194803,1016,335
194803,1027,339
194803,1038,340
194803,1048,350
194803,1056,369
194803,1054,383
194803,1053,384
194803,1048,382
194803,962,385
194803,893,387
194803,810,383
194803,765,375
194803,737,378
194803,669,457
194803,671,456
194803,673,455
194803,667,567
194803,621,639
194803,582,646
194804,585,639
194804,603,680
194804,630,688
194804,700,777
194804,742,805
194804,782,812
194804,826,820
194804,855,823
