キャリブレーション:1 20:07:29:906
キャリブレーション:2 20:07:33:685
キャリブレーション:3 20:07:34:944
キャリブレーション:4 20:07:36:286
キャリブレーション:5 20:07:37:660
スライド1:1 20:07:49:746
スライド2:2 20:08:01:736
スライド3:1 20:08:09:774
スライド4:4 20:08:15:735
スライド5:3 20:08:28:718
スライド6:1 20:08:34:001
スライド7:2 20:08:43:647
スライド8:2 20:09:00:752
スライド9:1 20:09:12:682
スライド10:3 20:09:20:028
スライド11:4 20:09:28:007
スライド12:1 20:09:37:377
スライド13:4 20:09:41:472
スライド14:3 20:09:45:906
スライド15:3 20:09:52:374
スライド16:3 20:09:59:206
スライド17:3 20:10:05:268
スライド18:3 20:10:15:917
スライド19:2 20:10:21:749
スライド20:4 20:10:31:086
