Record Time,Gaze Lost,X Coordinate,Y Coordinate
192626756187,Visible,1667,166
192626775164,Visible,1670,168
192626792563,Visible,1676,168
192626809506,Visible,1676,168
192626826649,Visible,1676,168
192626843587,Visible,1676,170
192626860868,Visible,1676,170
192626877998,Visible,1682,170
192626895344,Visible,1682,170
192626912567,Visible,1683,168
192626929595,Visible,1683,168
192626946804,Visible,1689,165
192626963971,Visible,1689,165
192626981173,Visible,1686,160
192626998182,Visible,1685,157
192627015564,Visible,1685,157
192627032739,Visible,1684,151
192627050134,Visible,1684,151
192627067311,Visible,1690,148
192627084236,Visible,1690,148
192627101215,Visible,1688,147
192627118273,Visible,1688,147
192627135347,Visible,1690,142
192627152373,Visible,1690,142
192627169837,Visible,1689,135
192627186670,Visible,1689,135
192627204045,Visible,1689,135
192627221179,Visible,1685,128
192627238333,Visible,1680,125
192627255360,Visible,1680,125
192627272391,Visible,1676,121
192627289580,Visible,1676,121
192627306882,Visible,1673,115
192627323812,Visible,1673,115
192627341282,Visible,1670,108
192627358653,Visible,1670,108
192627375840,Visible,1669,100
192627392747,Visible,1669,100
192627409991,Visible,1668,89
192627427130,Visible,1668,89
192627444043,Visible,1665,80
192627461278,Visible,1665,80
192627478466,Visible,1655,74
192627495604,Visible,1655,74
192627512881,Visible,1638,73
192627529894,Visible,1638,73
192627546834,Visible,1621,76
192627564142,Visible,1621,76
192627581534,Visible,1619,77
192627598653,Visible,1619,77
192627615695,Visible,1619,76
192627632731,Visible,1619,76
192627649807,Visible,1615,71
192627666823,Visible,1615,71
192627683964,Visible,1610,72
192627701254,Visible,1610,72
192627718614,Visible,1608,74
192627735810,Visible,1609,77
192627752788,Visible,1609,77
192627769778,Visible,1610,85
192627786993,Visible,1610,85
192627804145,Visible,1608,90
192627821368,Visible,1608,90
192627838275,Visible,1600,106
192627855536,Visible,1600,106
192627872511,Visible,1602,114
192627889413,Visible,1602,114
192627906681,Visible,1602,114
192627923857,Visible,1608,115
192627940971,Visible,1608,115
192627958245,Visible,1614,116
192627975413,Visible,1633,117
192627992352,Visible,1633,117
192628009443,Visible,1643,116
192628026521,Visible,1643,116
192628043888,Visible,1645,117
192628060912,Visible,1645,117
192628078133,Visible,1645,117
192628095280,Visible,1645,117
192628112188,Visible,1642,118
192628129449,Visible,1642,118
192628146477,Visible,1641,120
192628163832,Visible,1641,120
192628180809,Visible,1643,121
192628198110,Visible,1643,122
192628215159,Visible,1643,122
192628232406,Visible,1643,122
192628249441,Visible,1643,122
192628266536,Visible,1643,121
192628283757,Visible,1643,122
192628300611,Visible,1643,122
192628317687,Visible,1642,121
192628334870,Visible,1642,121
192628351684,Visible,1642,121
192628369030,Visible,1642,121
192628386099,Visible,1642,119
192628403354,Visible,1642,119
192628420490,Visible,1640,112
192628437710,Visible,1640,112
192628455034,Visible,1636,106
192628472156,Visible,1634,100
192628489330,Visible,1634,100
192628506782,Visible,1635,86
192628523629,Visible,1635,86
192628540724,Visible,1632,77
192628557935,Visible,1632,77
192628575372,Visible,1633,69
192628592421,Visible,1633,69
192628609617,Visible,1633,69
192628626787,Visible,1632,60
192628643804,Visible,1632,60
192628661056,Visible,1631,57
192628678156,Visible,1626,52
192628695484,Visible,1626,52
192628712783,Visible,1624,42
192628729830,Visible,1624,42
192628747253,Visible,1610,39
192628764318,Visible,1610,39
192628781606,Visible,1601,38
192628798654,Visible,1601,38
192628815862,Visible,1588,36
192628832900,Visible,1588,36
192628850075,Visible,1587,36
192628867093,Visible,1587,36
192628884003,Visible,1586,33
192628901190,Visible,1586,33
192628918240,Visible,1591,32
192628935375,Visible,1591,32
192628952511,Visible,1597,27
192628969652,Visible,1597,27
192628986924,Visible,1597,28
192629003940,Visible,1597,28
192629021008,Visible,1596,28
192629038158,Visible,1596,28
192629054989,Visible,1594,27
192629072285,Visible,1594,27
192629089521,Visible,1063,0
192629106571,Visible,1063,0
192629123692,Visible,1068,7
192629140756,Visible,1068,7
192629158126,Visible,1050,30
192629175479,Visible,1030,65
192629192634,Visible,1030,65
192629209788,Visible,1009,111
192629226651,Visible,1009,111
192629243820,Visible,992,146
192629260675,Visible,992,146
192629277739,Visible,988,153
192629295022,Visible,988,153
192629312446,Visible,988,153
192629329616,Visible,982,192
192629346656,Visible,982,192
192629363583,Visible,966,195
192629380617,Visible,966,195
192629397624,Visible,939,206
192629414643,Visible,916,222
192629431643,Visible,916,222
192629449027,Visible,903,221
192629466302,Visible,903,221
192629483640,Visible,888,236
192629500664,Visible,888,236
192629517873,Visible,889,236
192629534820,Visible,889,236
192629551983,Visible,894,234
192629569219,Visible,894,234
192629586427,Visible,902,231
192629603750,Visible,902,231
192629620685,Visible,901,230
192629637658,Visible,901,230
192629654894,Visible,901,230
192629672139,Visible,892,225
192629689156,Visible,890,224
192629706198,Visible,890,224
192629723271,Visible,887,212
192629740280,Visible,887,212
192629757487,Visible,885,198
192629774628,Visible,885,198
192629791890,Visible,887,188
192629808741,Visible,887,188
192629825921,Visible,892,177
192629843220,Visible,892,177
192629860217,Visible,893,172
192629877392,Visible,893,172
192629894472,Visible,900,162
192629911856,Visible,903,157
192629928984,Visible,903,157
192629945801,Visible,901,161
192629962772,Visible,901,161
192629979898,Visible,901,158
192629997143,Visible,901,158
192630014127,Visible,901,158
192630031212,Visible,901,161
192630048220,Visible,901,161
192630065342,Visible,901,161
192630082298,Visible,901,161
192630099150,Visible,903,159
192630116258,Visible,903,159
192630133315,Visible,904,158
192630150441,Visible,909,160
192630167709,Visible,909,160
192630184851,Visible,911,158
192630201841,Visible,911,158
192630218927,Visible,916,160
192630235828,Visible,916,160
192630253010,Visible,922,160
192630270148,Visible,922,160
192630287323,Visible,935,162
192630304217,Visible,935,162
192630321345,Visible,942,161
192630338542,Visible,942,161
192630355724,Visible,942,161
192630372941,Visible,955,167
192630390054,Visible,955,167
192630407223,Visible,963,167
192630424310,Visible,963,167
192630441185,Visible,977,169
192630458516,Visible,977,169
192630475828,Visible,1006,174
192630493354,Visible,1027,176
192630510552,Visible,1027,176
192630527744,Visible,1039,176
192630544894,Visible,1039,176
192630562183,Visible,1043,176
