Record Time,X Coordinate,Y Coordinate
193645249757 ,1898,812
193645266810 ,1890,813
193645284534 ,1890,813
193645301569 ,1880,818
193645318651 ,1874,820
193645335795 ,1874,820
193645352845 ,1873,824
193645369898 ,1873,824
193645386903 ,1871,823
193645404175 ,1871,823
193645421354 ,1872,821
193645438663 ,1872,821
193645455788 ,1872,820
193645472968 ,1872,820
193645489984 ,1872,820
193645507082 ,1871,819
193645524135 ,1871,819
193645541353 ,1870,817
193645558385 ,1870,817
193645575689 ,1471,777
193645593057 ,1137,746
193645609963 ,1137,746
193645627032 ,1018,684
193645644316 ,1018,684
193645661533 ,929,650
193645678743 ,929,650
193645695700 ,811,649
193645712742 ,811,649
193645729906 ,773,645
193645746995 ,773,645
193645764008 ,715,644
193645781423 ,715,644
193645798538 ,678,645
193645815506 ,678,645
193645832803 ,669,651
193645850049 ,669,651
193645867187 ,660,653
193645884222 ,660,653
193645901343 ,608,660
193645918694 ,608,660
193645936034 ,538,673
193645953222 ,538,673
193645970521 ,497,682
193645987658 ,497,682
193646004775 ,493,693
193646021868 ,493,693
193646038996 ,482,699
193646056195 ,466,702
193646073490 ,466,702
193646090680 ,455,702
193646107761 ,455,702
193646124797 ,440,706
193646141615 ,440,706
193646158970 ,438,710
193646176129 ,438,710
193646193380 ,438,710
193646210734 ,433,709
193646227827 ,433,709
193646244902 ,430,709
193646261954 ,430,709
193646279360 ,433,707
193646296448 ,437,674
193646313395 ,437,674
193646330283 ,421,164
193646347829 ,421,164
193646364988 ,444,163
193646381913 ,444,163
193646398922 ,465,118
193646415939 ,465,118
193646432979 ,520,94
193646450001 ,520,94
193646466922 ,571,39
193646483874 ,571,39
193646500919 ,623,26
193646517938 ,623,26
193646535173 ,623,26
193646552263 ,657,11
193646569545 ,666,9
193646586497 ,666,9
193646603590 ,666,0
193646620816 ,666,0
193646638004 ,702,0
193646655204 ,702,0
193646672234 ,746,0
193646689179 ,746,0
193646706116 ,811,0
193646723509 ,811,0
193646740582 ,872,0
193646757765 ,872,0
193646775117 ,895,0
193646792466 ,933,0
193646809471 ,933,0
193646826811 ,947,0
193646844060 ,947,0
193646861021 ,947,0
193646878175 ,947,0
193646895183 ,947,0
193646912222 ,957,0
193646929170 ,957,0
193646946235 ,959,0
193646963767 ,959,0
193646981016 ,972,0
193646998031 ,972,0
193647015030 ,982,0
193647032257 ,999,0
193647049567 ,999,0
193647066624 ,991,21
193647083778 ,991,21
193647101454 ,782,72
193647118552 ,782,72
193647135757 ,772,105
193647153130 ,772,105
193647170286 ,752,133
193647187643 ,752,133
193647204766 ,720,150
193647222051 ,720,150
193647239162 ,720,150
193647256509 ,701,161
193647273692 ,686,166
193647290552 ,686,166
193647307848 ,672,174
193647324962 ,672,174
193647342153 ,660,178
193647359266 ,660,178
