Record Time,X Coordinate,Y Coordinate
195511146770 ,1527,662
195511163826 ,1527,662
195511180835 ,1524,662
195511197916 ,1524,662
195511215365 ,1524,663
195511232398 ,1524,663
195511249429 ,1523,663
195511266682 ,1523,663
195511283972 ,1540,660
195511301120 ,1540,660
195511318305 ,1567,652
195511335559 ,1567,652
195511352647 ,1560,654
195511370018 ,1560,654
195511387132 ,1538,642
195511404386 ,1538,642
195511421553 ,1472,630
195511438789 ,1472,630
195511456176 ,1378,617
195511473195 ,1378,617
195511490464 ,1307,594
195511507504 ,1238,541
195511524523 ,1238,541
195511541731 ,1238,541
195511558851 ,1168,481
195511576030 ,1104,458
195511593131 ,1104,458
195511610378 ,1005,403
195511627573 ,1005,403
195511644744 ,1005,403
195511661858 ,887,375
195511679095 ,887,375
195511696196 ,807,414
195511713446 ,807,414
195511730780 ,789,382
195511747876 ,789,382
195511764828 ,734,409
195511782236 ,694,401
195511799337 ,694,401
195511816431 ,675,387
195511833635 ,675,387
195511850710 ,699,350
195511867722 ,699,350
195511884781 ,704,372
195511902032 ,704,372
195511919336 ,712,374
195511936236 ,712,374
195511953997 ,730,368
195511971172 ,730,368
195511988480 ,730,364
195512005742 ,730,364
195512023019 ,759,356
195512040057 ,759,356
195512057282 ,759,357
195512074566 ,759,357
195512091617 ,744,360
195512108768 ,744,360
195512126124 ,743,358
195512142972 ,743,358
195512160058 ,741,332
195512177201 ,741,332
195512194054 ,736,311
195512211275 ,730,281
195512228525 ,730,281
195512245581 ,728,257
195512262640 ,728,257
195512279812 ,716,217
195512296973 ,716,217
195512314162 ,707,179
195512331396 ,707,179
195512348226 ,707,179
195512365329 ,700,122
195512382612 ,700,122
195512400021 ,701,122
195512417240 ,701,122
195512434409 ,704,115
195512451509 ,720,111
195512468760 ,720,111
195512485898 ,752,116
195512503150 ,752,116
195512520336 ,787,149
195512537233 ,787,149
195512554264 ,842,221
195512571504 ,842,221
195512588447 ,891,334
195512605888 ,891,334
195512623068 ,928,388
195512640217 ,928,388
195512657342 ,995,401
195512674577 ,995,401
195512691825 ,995,401
195512708923 ,983,425
195512726286 ,966,428
195512743553 ,966,428
195512760664 ,968,450
195512778055 ,968,450
195512795485 ,955,450
195512812849 ,955,450
195512829910 ,935,443
195512846835 ,935,443
195512863910 ,876,457
195512881196 ,876,457
195512898309 ,831,464
195512915298 ,834,458
195512932533 ,834,458
195512949775 ,845,454
195512967093 ,845,454
195512984139 ,848,452
195513001929 ,848,452
195513019182 ,850,451
195513036607 ,850,451
195513053771 ,850,451
195513071003 ,865,440
195513088231 ,865,440
195513105296 ,872,437
195513122554 ,872,437
195513139581 ,879,431
195513157049 ,883,423
195513173969 ,883,423
195513191171 ,882,411
195513208242 ,882,411
195513225314 ,878,403
195513242538 ,878,403
195513259794 ,869,391
195513276753 ,869,391
195513293766 ,868,388
195513310755 ,868,388
195513327966 ,865,383
195513345250 ,865,383
195513362688 ,863,378
195513379967 ,863,378
195513397194 ,854,368
195513414479 ,854,368
195513431700 ,565,452
195513448742 ,565,452
195513465915 ,546,447
195513483304 ,546,447
195513500491 ,528,435
195513517797 ,528,435
195513535428 ,514,436
195513552580 ,514,436
195513569773 ,515,428
195513586908 ,526,396
195513604009 ,526,396
195513621161 ,780,287
195513638541 ,780,287
195513655733 ,783,255
195513672967 ,783,255
195513689974 ,784,248
195513707055 ,784,248
195513724163 ,797,222
195513741408 ,797,222
195513758504 ,797,222
195513775490 ,817,213
195513792554 ,817,213
195513809681 ,834,209
195513826777 ,823,193
195513844165 ,823,193
195513861320 ,820,189
195513878443 ,820,189
195513895854 ,809,199
195513912777 ,809,199
195513929888 ,804,202
195513946968 ,804,202
195513964146 ,803,203
195513981327 ,803,203
195513998467 ,792,200
195514016092 ,792,200
195514033275 ,785,200
195514050670 ,785,200
195514067539 ,775,196
195514084495 ,775,196
195514101507 ,765,195
195514118449 ,765,195
195514135396 ,749,202
195514152526 ,749,202
195514169684 ,745,204
195514186609 ,745,204
195514203664 ,751,201
195514220818 ,751,201
195514238040 ,756,202
195514255132 ,756,202
195514272321 ,764,221
195514289705 ,764,221
195514306951 ,766,253
195514324307 ,766,253
195514341323 ,130,408
195514358630 ,109,400
195514375905 ,109,400
195514393444 ,159,389
195514410740 ,159,389
195514427867 ,538,307
195514445336 ,538,307
195514462200 ,538,307
195514479232 ,529,307
195514496273 ,529,307
195514513266 ,528,306
195514530591 ,531,316
195514547847 ,531,316
195514565327 ,646,695
195514582450 ,646,695
195514599668 ,698,760
195514616938 ,698,760
195514634133 ,805,1079
195514651256 ,805,1079
195514668363 ,824,1079
195514685725 ,824,1079
195514702827 ,854,1079
195514719786 ,854,1079
195514736906 ,927,1054
195514754103 ,927,1054
195514771281 ,949,1070
195514788537 ,949,1070
195514805701 ,955,970
195514823035 ,955,970
195514840218 ,960,959
195514857585 ,960,959
195514874708 ,1010,947
195514891874 ,1010,947
195514909031 ,1039,921
195514926153 ,1039,921
195514943228 ,1054,888
195514960597 ,1054,888
195514978065 ,1065,875
195514995272 ,1047,835
195515012386 ,1047,835
195515030054 ,1042,816
195515047024 ,1042,816
195515064228 ,1046,783
195515081524 ,1046,783
195515099040 ,1050,722
195515116515 ,1050,722
195515133541 ,1069,669
195515150711 ,1069,669
195515167867 ,1069,669
195515184895 ,1084,623
195515202182 ,1084,623
195515219815 ,1088,615
195515236952 ,1088,615
195515254157 ,1092,598
195515271294 ,1059,574
195515288696 ,1059,574
195515305868 ,1025,578
195515323147 ,1025,578
195515340334 ,1018,579
195515357241 ,1018,579
195515374502 ,1003,553
195515391583 ,1003,553
195515408772 ,958,553
195515425812 ,958,553
195515442730 ,848,576
195515459837 ,778,593
195515477321 ,778,593
195515494447 ,778,593
195515511484 ,673,600
195515528505 ,673,600
195515545816 ,619,617
195515563056 ,619,617
195515580111 ,563,631
195515597142 ,563,631
195515614122 ,517,648
195515631227 ,517,648
195515648435 ,525,645
195515665648 ,525,645
195515682838 ,521,641
195515699959 ,535,631
195515717051 ,535,631
195515734399 ,544,623
195515751609 ,544,623
195515768842 ,547,603
195515786280 ,547,603
195515803391 ,555,580
195515820738 ,555,580
195515837725 ,579,533
195515854855 ,579,533
195515872028 ,579,533
195515889573 ,626,446
195515906736 ,668,380
195515924153 ,668,380
195515941338 ,730,284
195515958497 ,730,284
195515975809 ,793,203
195515992947 ,793,203
195516010086 ,813,145
195516027252 ,813,145
195516044835 ,848,65
195516062078 ,848,65
195516079220 ,860,27
195516096123 ,860,27
195516113339 ,852,0
195516130575 ,852,0
195516147650 ,861,0
195516165029 ,900,0
195516182140 ,900,0
195516199355 ,900,0
195516216746 ,952,0
195516233898 ,952,0
195516251380 ,1000,0
195516268511 ,1000,0
195516285601 ,1056,0
195516302704 ,1056,0
195516319947 ,1151,33
195516337128 ,1151,33
195516354188 ,1208,51
195516371389 ,1244,82
195516388298 ,1244,82
195516405479 ,1273,117
195516422388 ,1273,117
195516439416 ,1273,117
195516456519 ,1266,166
195516473597 ,1262,196
195516490675 ,1262,196
195516507814 ,1243,200
