キャリブレーション:1 20:19:34:349
キャリブレーション:2 20:19:35:409
キャリブレーション:3 20:19:36:428
キャリブレーション:4 20:19:38:004
キャリブレーション:5 20:19:39:412
スライド1:4 20:19:53:484
スライド2:2 20:20:05:915
スライド3:1 20:20:22:066
スライド4:2 20:20:32:622
スライド5:3 20:20:39:462
スライド6:3 20:20:48:806
スライド7:2 20:20:57:304
スライド8:1 20:21:11:142
スライド9:2 20:21:27:462
スライド10:1 20:21:35:624
スライド11:2 20:21:44:022
スライド12:3 20:21:52:283
スライド13:3 20:22:02:218
スライド14:2 20:22:07:673
スライド15:4 20:22:14:666
スライド16:3 20:22:20:388
スライド17:3 20:22:25:296
スライド18:1 20:22:30:909
スライド19:3 20:22:35:016
スライド20:1 20:22:44:449
