Record Time,Gaze Lost,X Coordinate,Y Coordinate
180212770484,Visible,324,0
180212790809,Visible,324,0
180212808110,Visible,313,0
180212825305,Visible,318,0
180212842566,Visible,318,0
180212859771,Visible,317,0
180212877077,Visible,317,0
180212894571,Visible,320,0
180212911426,Visible,320,0
180212928288,Visible,331,0
180212945588,Visible,331,0
180212962627,Visible,340,4
180212980053,Visible,340,4
180212997409,Visible,340,4
180213014510,Visible,340,33
180213031630,Visible,340,33
180213048800,Visible,351,45
180213066130,Visible,366,77
180213083397,Visible,366,77
180213100616,Visible,386,146
180213117839,Visible,386,146
180213135497,Visible,480,157
180213152746,Visible,480,157
180213169726,Visible,478,142
180213186778,Visible,478,142
180213204102,Visible,496,153
180213221292,Visible,496,153
180213238508,Visible,485,172
180213255649,Visible,485,172
180213272913,Visible,496,209
180213289914,Visible,515,203
180213307006,Visible,515,203
180213324254,Visible,526,211
180213341458,Visible,526,211
180213358485,Visible,526,211
180213375757,Visible,555,198
180213392850,Visible,555,198
180213409934,Visible,554,94
180213426945,Visible,554,94
180213444224,Visible,532,92
180213461256,Visible,532,92
180213478523,Visible,542,90
180213496057,Visible,542,90
180213513367,Visible,551,88
180213530307,Visible,562,87
180213547392,Visible,562,87
180213564417,Visible,576,89
180213581518,Visible,576,89
180213598575,Visible,578,99
180213615673,Visible,578,99
180213632688,Visible,575,102
180213650121,Visible,575,102
180213667071,Visible,565,98
180213684135,Visible,565,98
180213701155,Visible,565,98
180213718120,Visible,518,112
180213735094,Visible,518,112
180213752010,Visible,502,113
180213768905,Visible,505,110
180213785830,Visible,505,110
180213802860,Visible,568,130
180213819894,Visible,568,130
180213837529,Visible,568,141
180213854704,Visible,568,141
180213871789,Visible,772,171
180213888798,Visible,772,171
180213905712,Visible,1045,199
180213922998,Visible,1045,199
180213940116,Visible,1066,246
180213957143,Visible,1066,246
180213974416,Visible,1070,262
180213991982,Visible,1099,272
180214009128,Visible,1099,272
180214026363,Visible,1099,272
180214043366,Visible,1128,262
180214060408,Visible,1128,262
180214077509,Visible,1148,256
180214094410,Visible,1148,256
180214111454,Visible,1161,250
180214128599,Visible,1161,250
180214145986,Visible,1189,238
180214163199,Visible,1189,238
180214180148,Visible,1219,228
180214197176,Visible,1219,228
180214214107,Visible,1239,218
180214231337,Visible,1239,218
180214248497,Visible,1251,209
180214265770,Visible,1251,205
180214283066,Visible,1251,205
180214300110,Visible,1244,183
180214317423,Visible,1244,183
180214334567,Visible,1236,176
180214351755,Visible,1236,176
180214368769,Visible,1228,171
180214385904,Visible,1228,171
180214403258,Visible,1228,171
180214420710,Visible,1224,163
180214437777,Visible,1224,163
180214455037,Visible,1206,157
180214472333,Visible,1200,146
180214489172,Visible,1200,146
180214506498,Visible,1176,133
180214523420,Visible,1176,133
180214540760,Visible,1154,133
180214558002,Visible,1154,133
180214574986,Visible,1151,126
180214592501,Visible,1151,126
180214609675,Visible,1151,123
180214626777,Visible,1151,123
180214644084,Visible,1152,117
180214661201,Visible,1152,117
180214678454,Visible,1154,120
180214695512,Visible,1153,121
180214712483,Visible,1153,121
180214729632,Visible,1148,117
180214746620,Visible,1148,117
180214763666,Visible,1148,117
180214780815,Visible,1144,119
180214798097,Visible,1144,119
180214815137,Visible,1139,118
180214832440,Visible,1139,118
180214849496,Visible,1138,118
180214867134,Visible,1138,118
180214884462,Visible,1131,113
180214901622,Visible,1131,113
180214918899,Visible,1123,109
180214936035,Visible,1127,105
180214953021,Visible,1127,105
180214970102,Visible,1127,105
180214987319,Visible,1118,103
180215004436,Visible,1117,93
180215021882,Visible,1117,93
180215038901,Visible,1086,93
180215056246,Visible,1086,93
180215073287,Visible,1059,96
180215090321,Visible,1059,96
180215107646,Visible,1059,96
180215125009,Visible,1039,91
180215142042,Visible,1029,91
180215159602,Visible,1029,91
180215176644,Visible,1011,94
180215194034,Visible,1011,94
180215211324,Visible,1011,106
180215228296,Visible,1011,106
180215245321,Visible,1021,106
180215262461,Visible,1021,106
180215279614,Visible,1026,105
180215296708,Visible,1026,105
180215314040,Visible,1026,106
180215331056,Visible,1026,106
180215348354,Visible,1028,106
180215365424,Visible,1028,106
180215382386,Visible,1028,105
180215399306,Visible,1024,97
180215416480,Visible,1024,97
180215433559,Visible,1022,86
180215450614,Visible,1022,86
180215467651,Visible,1022,86
180215484863,Visible,1012,85
180215502039,Visible,1012,85
180215519024,Visible,1013,84
180215536482,Visible,1013,84
180215553528,Visible,1005,90
180215570443,Visible,1005,90
180215587276,Visible,1001,88
180215604671,Visible,1001,88
180215621792,Visible,1007,101
180215638742,Visible,1007,108
180215655797,Visible,1007,108
180215672857,Visible,1007,108
180215689924,Visible,1011,126
180215706938,Visible,1011,136
180215724052,Visible,1011,136
180215740972,Visible,1016,157
180215757911,Visible,1016,157
180215775136,Visible,1017,155
180215792312,Visible,1017,155
180215809367,Visible,1017,155
180215826899,Visible,1018,148
180215843836,Visible,1018,148
180215860992,Visible,1019,147
180215878252,Visible,1020,146
180215895542,Visible,1020,146
180215913568,Visible,1020,146
180215930797,Visible,1043,464
180215948010,Visible,1077,752
180215965088,Visible,1077,752
180215982518,Visible,1125,740
180215999467,Visible,1125,740
180216016576,Visible,1178,727
180216033809,Visible,1178,727
180216051244,Visible,1236,735
180216068273,Visible,1236,735
180216085507,Visible,1322,733
180216102624,Visible,1353,738
180216119847,Visible,1353,738
180216137000,Visible,1387,740
180216154008,Visible,1387,740
180216171248,Visible,1387,740
180216188546,Visible,1411,741
180216205500,Visible,1411,741
180216222718,Visible,1425,743
180216239915,Visible,1425,743
180216257125,Visible,1431,748
180216274095,Visible,1431,748
180216291370,Visible,1428,752
180216308464,Visible,1428,752
180216325834,Visible,1432,750
180216343034,Visible,1432,750
180216360251,Visible,1432,741
180216377541,Visible,1430,733
180216394926,Visible,1430,733
180216412515,Visible,1426,726
180216429640,Visible,1426,726
180216446921,Visible,1423,730
180216464095,Visible,1423,730
180216481155,Visible,1423,734
180216498126,Visible,1423,734
180216515466,Visible,1423,734
180216532480,Visible,1422,745
180216549580,Visible,1422,745
180216567044,Visible,1423,759
180216584381,Visible,1423,787
180216601417,Visible,1423,787
180216618518,Visible,1423,815
180216635599,Visible,1423,815
180216652614,Visible,1428,835
180216669866,Visible,1428,835
180216686923,Visible,1429,844
180216703901,Visible,1429,844
180216720954,Visible,1429,850
180216737989,Visible,1429,850
180216755314,Visible,1431,871
180216772664,Visible,1431,871
180216789699,Visible,1432,880
180216807756,Visible,1432,880
180216824677,Visible,1436,892
180216841613,Visible,1436,892
180216858785,Visible,1438,891
180216876135,Visible,1438,891
180216893238,Visible,1437,884
180216910321,Visible,1437,884
180216927528,Visible,1437,884
180216944604,Visible,1437,880
180216961874,Visible,1437,880
180216978874,Visible,1433,878
180216996208,Visible,1431,879
180217013381,Visible,1431,879
180217030343,Visible,1427,877
180217047281,Visible,1427,877
180217064431,Visible,1425,874
180217081675,Visible,1422,870
180217098980,Visible,1422,870
180217116004,Visible,1420,858
180217132966,Visible,1420,858
180217150564,Visible,1417,843
180217167944,Visible,1417,843
180217185199,Visible,1418,809
180217202110,Visible,1418,809
180217218994,Visible,1418,809
180217236311,Visible,1416,762
180217253629,Visible,1416,762
180217270716,Visible,1414,732
180217288012,Visible,1418,711
180217305219,Visible,1418,711
180217322256,Visible,1429,715
180217339528,Visible,1429,715
180217356721,Visible,1446,704
180217374013,Visible,1446,704
180217391245,Visible,1459,697
180217408519,Visible,1459,697
180217425719,Visible,1467,682
180217442964,Visible,1467,682
180217460331,Visible,1488,653
180217477550,Visible,1488,653
180217494648,Visible,1509,614
180217511845,Visible,1507,582
180217529041,Visible,1507,582
180217546117,Visible,1511,553
180217563151,Visible,1511,553
180217580189,Visible,1511,553
180217597373,Visible,1505,543
180217614363,Visible,1505,543
180217631611,Visible,1506,537
180217648585,Visible,1506,537
180217665807,Visible,1501,532
180217682903,Visible,1501,532
180217699856,Visible,1496,531
180217717192,Visible,1496,531
180217734326,Visible,1498,529
180217751371,Visible,1503,529
180217768428,Visible,1503,529
180217785992,Visible,1511,525
180217803059,Visible,1511,525
180217820236,Visible,1524,529
180217837541,Visible,1524,529
180217854460,Visible,1540,532
180217871299,Visible,1540,532
180217888118,Visible,1546,535
180217905236,Visible,1546,535
180217922524,Visible,1546,535
180217940236,Visible,1553,563
180217957500,Visible,1553,563
180217974521,Visible,1556,571
180217991530,Visible,1556,571
180218011214,Visible,1563,589
180218029143,Visible,1563,589
180218046248,Visible,1566,605
180218064678,Visible,1566,605
180218082441,Visible,1572,624
180218099473,Visible,1573,633
180218116490,Visible,1573,633
180218133961,Visible,1571,631
180218151341,Visible,1571,631
180218168869,Visible,1568,631
180218187143,Visible,1568,631
180218204158,Visible,1566,630
180218221451,Visible,1566,630
180218238370,Visible,1564,641
180218255617,Visible,1559,642
180218272908,Visible,1559,642
180218290144,Visible,1559,642
180218307372,Visible,1547,668
180218324386,Visible,1547,668
180218341626,Visible,1547,668
180218358798,Visible,1547,668
180218375718,Visible,1547,668
180218392836,Visible,1547,668
180218409946,Visible,1547,668
180218426982,Visible,1547,668
180218444110,Visible,1547,668
180218461669,Visible,1547,668
180218478669,Visible,1547,668
180218495730,Visible,1547,668
180218512847,Visible,1547,668
180218530049,Visible,1547,668
180218547082,Visible,1547,668
180218564101,Visible,1547,668
180218581401,Visible,1547,668
180218598450,Visible,1547,668
180218615669,Visible,1547,668
180218632650,Visible,1547,668
180218649646,Visible,1547,668
180218666698,Visible,1547,668
180218683716,Visible,1547,668
180218700842,Visible,1547,668
180218717826,Visible,1547,668
180218735058,Visible,1547,668
180218752131,Visible,1547,668
180218769381,Visible,1547,668
180218786694,Visible,1547,668
180218803731,Visible,1547,668
180218820846,Lost,,
180218838300,Lost,,
180218855319,Lost,,
180218872299,Lost,,
180218889356,Lost,,
180218906724,Lost,,
180218924333,Lost,,
180218941303,Lost,,
180218958594,Lost,,
180218975953,Lost,,
180218992981,Lost,,
180219009973,Lost,,
180219027078,Lost,,
180219044091,Lost,,
180219061279,Lost,,
180219078412,Lost,,
180219095641,Lost,,
180219112903,Lost,,
180219130134,Lost,,
180219147036,Lost,,
180219164350,Lost,,
180219181494,Lost,,
180219198963,Lost,,
180219216182,Lost,,
180219233343,Lost,,
180219250505,Lost,,
180219267906,Lost,,
180219284956,Lost,,
180219302092,Lost,,
180219319229,Lost,,
180219336238,Lost,,
180219353214,Lost,,
180219370097,Lost,,
180219387368,Lost,,
180219404609,Lost,,
180219421596,Lost,,
180219438985,Lost,,
180219456012,Lost,,
180219473483,Lost,,
180219491149,Lost,,
180219508315,Lost,,
180219525510,Lost,,
180219542560,Lost,,
180219559583,Lost,,
180219576677,Lost,,
180219593727,Lost,,
180219610944,Lost,,
180219627798,Lost,,
180219645031,Lost,,
180219662108,Lost,,
180219678997,Lost,,
180219695917,Lost,,
180219713260,Lost,,
180219730343,Lost,,
180219747456,Lost,,
180219764695,Lost,,
180219781931,Lost,,
180219799196,Lost,,
180219816420,Lost,,
180219833697,Lost,,
180219850671,Lost,,
180219867597,Lost,,
180219884497,Lost,,
180219901693,Lost,,
180219918802,Lost,,
180219935746,Lost,,
180219952802,Lost,,
180219971929,Lost,,
180219989955,Lost,,
180220007440,Lost,,
180220024501,Lost,,
180220041556,Lost,,
180220058554,Lost,,
180220075522,Lost,,
180220092639,Lost,,
180220109609,Lost,,
180220126924,Lost,,
180220143876,Lost,,
180220160938,Lost,,
180220178125,Lost,,
180220195398,Lost,,
180220212483,Lost,,
180220229744,Lost,,
180220246895,Lost,,
180220264138,Lost,,
180220281042,Lost,,
180220298340,Lost,,
180220315242,Lost,,
180220332341,Lost,,
180232765455,Visible,940,513
180232783119,Visible,903,512
180232800708,Visible,903,512
180232817811,Visible,897,521
180232835177,Visible,897,521
180232858347,Visible,914,549
180232876175,Visible,1236,589
180232893180,Visible,1236,589
180232910293,Visible,1283,603
180232927747,Visible,1283,603
180232944935,Visible,1353,620
180232962307,Visible,1353,620
180232980136,Visible,1409,637
180232997281,Visible,1409,637
180233014522,Visible,1490,640
180233031517,Visible,1490,640
180233048415,Visible,1518,635
180233065419,Visible,1518,635
180233082544,Visible,1553,635
180233099978,Visible,1553,635
180233116945,Visible,1586,641
180233135015,Visible,1586,641
180233152139,Visible,1601,639
180233169422,Visible,1601,639
180233186733,Visible,1601,641
180233204855,Visible,1601,641
180233222087,Visible,1613,656
180233240314,Visible,1627,656
180233257479,Visible,1627,656
180233274669,Visible,1644,662
180233291746,Visible,1644,662
180233308761,Visible,1683,673
180233326016,Visible,1683,673
180233343382,Visible,1697,689
180233360461,Visible,1697,689
180233377503,Visible,1695,684
180233394841,Visible,1695,684
180233412294,Visible,1695,684
180233429634,Visible,1711,686
180233446728,Visible,1711,686
180233464120,Visible,1710,682
180233481292,Visible,1710,682
180233498334,Visible,1707,682
180233515560,Visible,1709,684
180233532905,Visible,1709,684
180233550014,Visible,1711,684
180233567266,Visible,1711,684
180233584461,Visible,1718,671
180233601778,Visible,1718,671
180233618735,Visible,1728,628
180233635764,Visible,1728,628
180233652936,Visible,1739,616
180233670147,Visible,1739,616
180233687334,Visible,1770,610
180233704736,Visible,1795,606
180233721707,Visible,1795,606
180233738781,Visible,1805,596
180233755897,Visible,1805,596
180233773046,Visible,1805,596
180233790494,Visible,1825,527
180233807859,Visible,1825,527
180233825339,Visible,1835,502
180233842301,Visible,1835,502
180233859421,Visible,1854,464
180233876444,Visible,1854,464
180233893550,Visible,1881,474
180233910663,Visible,1859,429
180233927999,Visible,1859,429
180233945088,Visible,1840,413
180233962496,Visible,1840,413
180233979778,Visible,1859,430
180233997119,Visible,1859,430
180234014235,Visible,1855,439
180234031454,Visible,1855,439
180234048589,Visible,1869,412
180234065769,Visible,1869,412
180234082886,Visible,1859,389
180234100434,Visible,1859,389
180234117464,Visible,1859,389
180234134681,Visible,1856,400
180234151947,Visible,1864,405
180234168984,Visible,1864,405
180234186452,Visible,1866,402
180234203502,Visible,1866,402
180234220526,Visible,1863,382
180234237802,Visible,1863,382
180234254776,Visible,1863,378
180234271981,Visible,1863,378
180234289111,Visible,1872,356
180234306303,Visible,1872,356
180234323291,Visible,1864,344
180234340396,Visible,1864,344
180234357623,Visible,1862,340
180234375057,Visible,1859,328
180234392363,Visible,1859,328
180234409737,Visible,1857,296
180234427098,Visible,1857,296
180234444403,Visible,1880,172
180234461744,Visible,1880,172
180234478868,Visible,1880,172
180234495805,Visible,1901,139
180234513212,Visible,1901,139
180234530260,Visible,1919,136
180234547329,Visible,1919,136
180234564515,Visible,1919,166
180234581828,Visible,1919,166
180234599031,Visible,1919,174
180234616357,Visible,1919,178
180234633368,Visible,1919,178
180234650513,Visible,1919,221
180234667882,Visible,1919,221
180234684916,Visible,1919,260
180234701927,Visible,1919,260
180234719199,Visible,1902,289
180234736444,Visible,1902,289
180234754177,Visible,1899,333
180234771338,Visible,1899,333
180234788822,Visible,1881,374
180234806156,Visible,1881,374
180234823576,Visible,1881,374
180234840859,Visible,1880,569
180234858379,Visible,1896,687
180234875925,Visible,1896,687
180234893007,Visible,1911,645
180234910047,Visible,1911,645
180234927243,Visible,1905,663
180234944298,Visible,1905,663
180234961225,Visible,1898,623
180234978412,Visible,1898,623
180234995646,Visible,1895,601
180235012790,Visible,1895,601
180235029967,Visible,1895,530
180235047218,Visible,1895,530
180235064426,Visible,1882,512
180235081551,Visible,1882,512
180235098834,Visible,1802,460
180235115839,Visible,1754,439
180235133719,Visible,1754,439
180235151100,Visible,1607,455
180235168327,Visible,1607,455
180235185660,Visible,1607,455
180235203089,Visible,1252,381
180235220434,Visible,1252,381
180235237740,Visible,1230,348
180235254711,Visible,1230,348
180235271875,Visible,1232,302
180235289432,Visible,1212,232
180235306627,Visible,1212,232
180235324107,Visible,1208,189
180235341406,Visible,1208,189
180235358607,Visible,1185,180
180235375631,Visible,1185,180
180235393112,Visible,1194,210
180235410331,Visible,1194,210
180235427355,Visible,1201,223
180235444418,Visible,1201,223
180235461405,Visible,1193,287
180235478502,Visible,1193,287
180235495775,Visible,1190,350
180235512784,Visible,1190,350
180235529799,Visible,1188,440
180235547249,Visible,1188,440
180235564389,Visible,1182,482
180235581442,Visible,1182,482
180235598465,Visible,1180,522
180235615497,Visible,1180,522
180235632704,Visible,1169,590
180235649635,Visible,1169,590
180235666641,Visible,1159,628
180235684163,Visible,1159,628
180235701265,Visible,1149,642
180235718352,Visible,1149,642
180235735461,Visible,1137,598
180235752763,Visible,1126,582
180235770064,Visible,1126,582
180235787423,Visible,1130,555
180235804654,Visible,1130,555
180235822196,Visible,1134,472
180235839303,Visible,1134,472
180235857165,Visible,1141,362
180235874516,Visible,1141,362
180235892698,Visible,1141,362
180235910131,Visible,1143,220
180235927242,Visible,1151,154
180235944706,Visible,1151,154
180235961596,Visible,1150,118
180235978870,Visible,1150,118
180235995979,Visible,1156,91
180236013139,Visible,1156,91
180236030299,Visible,1159,41
180236047358,Visible,1159,41
180236064542,Visible,1161,0
180236081777,Visible,1161,0
180236098804,Visible,1153,0
180236116219,Visible,1153,0
180236133856,Visible,1138,0
180236151462,Visible,1138,0
180236168642,Visible,1115,0
180236186311,Visible,1115,0
180236203759,Visible,1101,0
180236221027,Visible,1101,0
180236238467,Visible,1090,0
180236255603,Visible,1090,0
180236272872,Visible,1086,0
180236290397,Visible,1086,0
180236307414,Visible,1078,0
180236324782,Visible,1078,0
180236341909,Visible,1057,0
180236359075,Visible,1057,0
180236376164,Visible,1030,0
180236393180,Visible,1000,0
180236410603,Visible,1000,0
180236427824,Visible,978,0
180236445159,Visible,978,0
180236462525,Visible,955,0
180236479862,Visible,955,0
180236496795,Visible,949,0
180236513815,Visible,949,0
180236530933,Visible,938,0
180236548082,Visible,938,0
180236565190,Visible,943,0
180236582796,Visible,943,0
180236600301,Visible,943,0
180236617422,Visible,932,0
180236634825,Visible,938,0
180236651975,Visible,938,0
180236669392,Visible,930,0
180236686825,Visible,930,0
180236703935,Visible,932,0
180236721013,Visible,932,0
180236738456,Visible,935,0
180236755556,Visible,935,0
180236772909,Visible,940,0
180236790553,Visible,940,0
180236807919,Visible,937,0
180236825454,Visible,941,0
180236842812,Visible,941,0
180236860162,Visible,939,0
180236877258,Visible,939,0
180236894950,Visible,935,0
180236912508,Visible,935,0
180236929989,Visible,935,0
180236947310,Visible,937,0
180236964500,Visible,937,0
180236981636,Visible,937,2
180236998652,Visible,936,3
180237015551,Visible,936,3
180237032658,Visible,937,5
180237050148,Visible,937,5
180237067330,Visible,937,2
180237084455,Visible,937,2
180237101560,Visible,938,1
180237119123,Visible,938,1
180237136230,Visible,939,2
180237153255,Visible,939,2
180237170478,Visible,938,2
180237187498,Visible,938,2
180237204527,Visible,941,1
180237221751,Visible,941,1
180237238931,Visible,941,4
180237256132,Visible,941,4
180237273478,Visible,936,3
180237290562,Visible,936,3
180237307617,Visible,926,1
180237324734,Visible,926,1
180237342026,Visible,918,0
180237359529,Visible,918,0
180237376670,Visible,909,0
180237393968,Visible,909,0
180237411040,Visible,906,3
180237428177,Visible,906,3
180237445725,Visible,908,5
180237462984,Visible,909,5
180237480337,Visible,909,5
180237497862,Visible,909,5
180237514899,Visible,907,4
180237532046,Visible,905,4
180237549394,Visible,905,4
180237566428,Visible,902,2
180237583903,Visible,902,2
180237601213,Visible,901,0
180237618633,Visible,901,0
180237635808,Visible,901,0
180237653096,Visible,901,0
180237670675,Visible,901,0
180237687815,Visible,901,0
180237705181,Visible,899,0
180237722664,Visible,899,0
180237740075,Visible,897,0
180237757341,Visible,897,0
180237774462,Visible,897,0
180237791609,Visible,897,0
180237808938,Visible,898,0
180237826373,Visible,898,0
180237843397,Visible,891,0
180237860779,Visible,891,0
180237877765,Visible,884,0
180237894778,Visible,887,0
180237911903,Visible,887,0
180237929190,Visible,887,0
180237946399,Visible,887,0
180237963585,Visible,887,0
180237980809,Visible,887,0
180237998108,Visible,887,0
180238015388,Visible,882,0
180238032630,Visible,882,0
180238050349,Visible,887,0
180238067243,Visible,887,0
180238084435,Visible,896,0
180238101712,Visible,896,0
180238118829,Visible,901,0
180238136177,Visible,901,0
180238153533,Visible,912,0
180238170647,Visible,916,0
180238187860,Visible,916,0
180238204847,Visible,933,0
180238222231,Visible,933,0
180238239453,Visible,931,0
180238256571,Visible,931,0
180238273597,Visible,937,5
180238291139,Visible,937,5
180238308405,Visible,937,4
180238325583,Visible,937,4
180238342947,Visible,938,3
180238360219,Visible,938,3
180238377266,Visible,937,4
180238394688,Visible,937,4
180238411861,Visible,937,8
180238428976,Visible,937,8
180238446387,Visible,939,14
180238463611,Visible,939,14
180238480721,Visible,937,16
180238498053,Visible,937,16
180238514981,Visible,940,23
180238532117,Visible,940,23
180238549433,Visible,944,23
180238566628,Visible,944,23
180238583930,Visible,954,38
180238601372,Visible,954,38
180238618418,Visible,958,76
180238635990,Visible,955,112
180238653432,Visible,955,112
