Record Time,Gaze Lost,X Coordinate,Y Coordinate
191657204992,Visible,1825,876
191657222229,Visible,1825,876
191657239469,Visible,1830,877
191657256611,Visible,1830,877
191657273644,Visible,1832,874
191657290656,Visible,1832,874
191657307902,Visible,1832,869
191657324975,Visible,1832,869
191657342258,Visible,1829,861
191657359231,Visible,1829,861
191657376302,Visible,1825,844
191657393781,Visible,1825,844
191657411039,Visible,1822,846
191657428195,Visible,1822,846
191657445300,Visible,1818,851
191657462359,Visible,1816,854
191657479409,Visible,1816,854
191657496428,Visible,1808,854
191657513451,Visible,1808,854
191657530481,Visible,1803,855
191657547491,Visible,1803,855
191657564516,Visible,1794,856
191657581533,Visible,1794,856
191657598567,Visible,1794,856
191657615600,Visible,1753,845
191657632720,Visible,1753,845
191657649999,Visible,1656,826
191657667097,Visible,1656,826
191657684396,Visible,1563,812
191657701410,Visible,1432,792
191657718721,Visible,1432,792
191657735965,Visible,1279,772
191657752889,Visible,1279,772
191657769993,Visible,1123,748
191657787158,Visible,1123,748
191657804165,Visible,982,728
191657821545,Visible,982,728
191657839011,Visible,937,730
191657856113,Visible,937,730
191657873139,Visible,917,736
191657890428,Visible,917,736
191657907491,Visible,871,738
191657924506,Visible,871,738
191657941656,Visible,828,731
191657958762,Visible,797,729
191657975964,Visible,797,729
191657993161,Visible,797,729
191658010225,Visible,726,718
191658027237,Visible,726,718
191658044482,Visible,712,713
191658061612,Visible,712,713
191658078764,Visible,690,703
191658095928,Visible,690,703
191658112933,Visible,679,697
191658130072,Visible,679,697
191658147321,Visible,677,655
191658164694,Visible,677,655
191658182093,Visible,664,600
191658199245,Visible,648,544
191658216480,Visible,648,544
191658233725,Visible,643,484
191658250683,Visible,643,484
191658267750,Visible,653,425
191658284862,Visible,653,425
191658301889,Visible,654,409
191658318924,Visible,654,409
191658336165,Visible,657,396
191658353314,Visible,657,396
191658370343,Visible,689,403
191658387519,Visible,689,403
191658404549,Visible,689,403
191658421674,Visible,756,429
191658439157,Visible,757,423
191658456259,Visible,757,423
191658473269,Visible,755,421
191658490449,Visible,755,421
191658507610,Visible,755,420
191658524628,Visible,755,420
191658542074,Visible,755,419
191658559085,Visible,755,419
191658576257,Visible,755,418
191658593209,Visible,755,418
191658610543,Visible,787,478
