Record Time,Gaze Lost,X Coordinate,Y Coordinate
183610090831,Visible,1709,656
183610107951,Visible,1709,656
183610124965,Visible,1705,676
183610142173,Visible,1705,676
183610159170,Visible,1702,688
183610176708,Visible,1702,688
183610193610,Visible,1699,709
183610210656,Visible,1699,709
183610227976,Visible,1697,720
183610244823,Visible,1698,715
183610261877,Visible,1698,715
183610279043,Visible,1706,715
183610296017,Visible,1706,715
183610313297,Visible,1707,711
183610330337,Visible,1707,711
183610347620,Visible,1716,709
183610364759,Visible,1716,709
183610382229,Visible,1727,712
183610399601,Visible,1727,712
183610416505,Visible,1727,712
183610433769,Visible,1737,704
183610450989,Visible,1737,704
183610467974,Visible,1735,687
183610485317,Visible,1735,687
183610502425,Visible,1708,654
183610519595,Visible,1649,600
183610536610,Visible,1649,600
183610553814,Visible,1593,522
183610570911,Visible,1593,522
183610588008,Visible,1546,440
183610605229,Visible,1546,440
183610622494,Visible,1286,331
183610639685,Visible,1286,331
183610656869,Visible,1219,273
183610674102,Visible,1219,273
183610691171,Visible,1184,268
183610708401,Visible,1184,268
183610725387,Visible,1176,258
183610742632,Visible,1176,258
183610759911,Visible,1176,255
183610776964,Visible,1116,219
183610794304,Visible,1116,219
183610811500,Visible,1116,219
183610828819,Visible,1068,196
183610846067,Visible,1068,196
183610863145,Visible,1003,167
183610880075,Visible,1003,167
183610897132,Visible,938,96
183610914419,Visible,938,96
183610931644,Visible,890,33
183610948737,Visible,890,33
183610966068,Visible,822,0
183610983541,Visible,778,0
183611000883,Visible,778,0
183611017955,Visible,775,0
183611035175,Visible,775,0
183611052317,Visible,784,0
183611069170,Visible,784,0
183611086423,Visible,803,0
183611103635,Visible,803,0
183611120799,Visible,811,0
183611137700,Visible,811,0
183611154896,Visible,820,0
183611172150,Visible,820,0
183611189205,Visible,823,0
183611206218,Visible,823,0
183611223252,Visible,835,0
183611240420,Visible,835,0
183611257584,Visible,856,0
183611274681,Visible,856,0
183611291622,Visible,896,0
183611308738,Visible,896,0
183611325678,Visible,911,0
183611342974,Visible,911,0
183611359950,Visible,913,0
183611376993,Visible,913,0
183611394000,Visible,916,0
183611411137,Visible,916,0
183611428330,Visible,923,0
183611445602,Visible,913,0
183611462716,Visible,913,0
183611479976,Visible,909,0
183611496955,Visible,909,0
183611513982,Visible,899,0
183611530945,Visible,899,0
183611548048,Visible,891,0
183611565264,Visible,891,0
183611582485,Visible,891,0
183611599619,Visible,872,0
183611616955,Visible,872,0
183611634242,Visible,861,0
183611651335,Visible,861,0
183611668463,Visible,849,0
183611685615,Visible,835,5
183611702793,Visible,835,5
183611719948,Visible,830,37
183611737015,Visible,830,37
183611754073,Visible,804,40
183611771239,Visible,804,40
183611788270,Visible,797,61
183611805439,Visible,797,61
183611822575,Visible,805,88
183611839906,Visible,805,88
183611856879,Visible,809,97
183611874039,Visible,809,97
183611891019,Visible,814,101
183611908068,Visible,814,101
183611925338,Visible,818,92
183611942680,Visible,820,84
