Record Time,Gaze Lost,X Coordinate,Y Coordinate
204222764040,Visible,725,683
204222782632,Visible,636,560
204222799805,Visible,636,560
204222817094,Visible,663,504
204222834108,Visible,663,504
204222851175,Visible,665,504
204222868354,Visible,665,504
204222885579,Visible,665,504
204222902616,Visible,644,447
204222919706,Visible,644,447
204222936883,Visible,592,410
204222954089,Visible,579,346
204222971277,Visible,579,346
204222988557,Visible,559,285
204223005677,Visible,559,285
204223022752,Visible,513,259
204223039805,Visible,513,259
204223056827,Visible,485,277
204223074010,Visible,485,277
204223091451,Visible,435,278
204223108475,Visible,435,278
204223125541,Visible,399,285
204223142569,Visible,399,285
204223159495,Visible,381,302
204223176878,Visible,373,320
204223194019,Visible,373,320
204223211270,Visible,372,335
204223228300,Visible,372,335
204223245492,Visible,369,346
204223262729,Visible,369,346
204223279722,Visible,369,346
204223297256,Visible,368,345
204223314362,Visible,368,345
204223331386,Visible,368,337
204223348552,Visible,368,337
204223365715,Visible,339,338
204223382612,Visible,339,338
204223399623,Visible,296,347
204223416715,Visible,296,347
204223434033,Visible,281,369
204223451158,Visible,284,366
204223468020,Visible,284,366
204223485110,Visible,278,371
204223501994,Visible,278,371
204223519037,Visible,283,370
204223536388,Visible,283,370
204223553223,Visible,283,370
204223570502,Visible,283,370
204223587662,Visible,285,369
204223605075,Visible,285,369
204223622152,Visible,293,368
204223639253,Visible,293,368
204223656359,Visible,293,368
204223673377,Visible,319,361
204223690545,Visible,378,371
204223707800,Visible,378,371
204223724890,Visible,481,398
204223742147,Visible,481,398
204223759209,Visible,600,430
204223776304,Visible,600,430
204223793634,Visible,686,434
204223810563,Visible,686,434
204223827785,Visible,773,416
204223844814,Visible,773,416
204223861885,Visible,840,435
204223879192,Visible,840,435
204223896387,Visible,837,421
204223913583,Visible,837,421
204223930523,Visible,854,426
204223947793,Visible,908,442
204223964641,Visible,908,442
204223981516,Visible,975,458
204223998394,Visible,975,458
204224015487,Visible,1021,480
204224032877,Visible,1021,480
204224049906,Visible,1021,480
204224066808,Visible,1109,586
204224083690,Visible,1109,586
204224100608,Visible,1141,701
204224117962,Visible,1141,701
204224134881,Visible,1134,738
204224151958,Visible,1134,738
204224169199,Visible,1153,777
204224186288,Visible,1143,840
204224203627,Visible,1143,840
204224220666,Visible,1162,874
204224237848,Visible,1162,874
204224255290,Visible,1213,899
204224272524,Visible,1213,899
204224289720,Visible,1276,928
204224306886,Visible,1276,928
204224323846,Visible,1320,968
204224340811,Visible,1320,968
204224357805,Visible,1320,1031
204224374984,Visible,1320,1031
204224392143,Visible,1305,1075
204224409169,Visible,1305,1075
204224426047,Visible,1580,1079
204224443026,Visible,1580,1079
204224460139,Visible,1606,1079
204224477498,Visible,1606,1079
204224494744,Visible,1571,1079
204224511722,Visible,1571,1079
204224529005,Visible,1554,1079
204224546217,Visible,1554,1079
204224563386,Visible,1556,1079
204224580437,Visible,1556,1079
204224597738,Visible,1541,1079
204224614909,Visible,1541,1079
204224631939,Visible,1551,1079
204224648950,Visible,1551,1079
204224666048,Visible,1538,1079
204224683149,Visible,1538,1079
204224700445,Visible,1487,1079
204224717630,Visible,1414,1079
204224734675,Visible,1414,1079
204224751627,Visible,1327,1079
204224768639,Visible,1327,1079
204224785944,Visible,1236,1079
204224803039,Visible,1236,1079
204224820077,Visible,1148,1079
204224837334,Visible,1148,1079
204224854526,Visible,1148,1079
204224871918,Visible,1110,1079
204224889009,Visible,1110,1079
204224906224,Visible,1081,1079
204224923244,Visible,1015,1079
204224940621,Visible,1015,1079
204224957584,Visible,887,1079
204224974524,Visible,887,1079
204224991861,Visible,808,1079
204225008952,Visible,808,1079
204225025920,Visible,751,1079
204225042953,Visible,751,1079
204225060253,Visible,789,1079
204225077548,Visible,789,1079
204225094572,Visible,756,1079
204225111586,Visible,756,1079
204225128506,Visible,751,1079
204225145642,Visible,736,1079
204225162668,Visible,736,1079
204225179844,Visible,737,1079
