キャリブレーション:1 20:42:51:450
キャリブレーション:2 20:42:52:928
キャリブレーション:3 20:42:53:747
キャリブレーション:4 20:42:54:716
キャリブレーション:5 20:42:55:492
スライド1:1 20:43:09:246
スライド2:2 20:43:14:946
スライド3:1 20:43:21:434
スライド4:1 20:43:29:860
スライド5:3 20:43:48:975
スライド6:1 20:44:06:790
スライド7:2 20:44:14:053
スライド8:2 20:44:22:874
スライド9:4 20:44:35:306
スライド10:3 20:44:40:368
スライド11:3 20:44:48:390
スライド12:1 20:44:57:544
スライド13:4 20:45:02:656
スライド14:4 20:45:05:549
スライド15:3 20:45:10:120
スライド16:1 20:45:25:248
スライド17:4 20:45:31:407
スライド18:1 20:45:36:962
スライド19:2 20:45:44:594
スライド20:4 20:45:50:657
