Record Time,Gaze Lost,X Coordinate,Y Coordinate
173012764663,Visible,1350,216
173012783477,Visible,1338,202
173012800773,Visible,1338,202
173012817642,Visible,1348,203
173012834971,Visible,1348,203
173012852082,Visible,1343,207
173012869220,Visible,1341,226
173012886212,Visible,1341,226
173012903386,Visible,1338,222
173012920602,Visible,1338,222
173012938046,Visible,1338,224
173012955605,Visible,1338,224
173012972572,Visible,1337,266
173012989832,Visible,1337,266
173013006720,Visible,1338,277
173013023929,Visible,1338,277
173013041101,Visible,1328,317
173013058125,Visible,1328,317
173013075180,Visible,1328,313
173013092053,Visible,1328,313
173013109080,Visible,1500,0
173013126422,Visible,1500,0
173013143562,Visible,1500,0
173013160441,Visible,1500,0
173013177594,Visible,1492,28
173013194646,Visible,1492,28
173013211746,Visible,1498,35
173013229080,Visible,1498,35
173013246343,Visible,1467,20
173013263360,Visible,1467,20
173013280749,Visible,1469,15
173013297612,Visible,1469,15
173013314636,Visible,1472,26
173013331684,Visible,1472,26
173013348824,Visible,1428,122
173013366087,Visible,1427,123
173013383371,Visible,1427,123
173013400185,Visible,1435,131
173013417484,Visible,1435,131
173013434710,Visible,1435,131
173013451881,Visible,1474,153
173013469233,Visible,1474,153
173013486252,Visible,1484,159
173013503420,Visible,1484,159
173013520371,Visible,1491,153
173013537598,Visible,1491,153
173013554861,Visible,1490,151
173013572066,Visible,1490,151
173013589267,Visible,1485,149
173013606293,Visible,1454,133
173013623356,Visible,1454,133
173013640660,Visible,1432,120
173013657619,Visible,1432,120
173013674790,Visible,1390,90
173013692088,Visible,1390,90
173013709108,Visible,1356,70
173013726195,Visible,1356,70
173013743385,Visible,1299,27
173013760739,Visible,1299,27
173013777769,Visible,1299,27
173013794612,Visible,1315,39
173013811912,Visible,1318,47
173013828744,Visible,1318,47
173013845864,Visible,1315,55
173013863230,Visible,1315,55
173013880249,Visible,1289,26
173013897279,Visible,1289,26
173013914778,Visible,1283,5
173013931955,Visible,1283,5
173013949180,Visible,1304,0
173013966745,Visible,1304,0
173013983810,Visible,1313,0
173014000842,Visible,1313,0
173014017775,Visible,1315,0
173014035025,Visible,1315,0
173014052329,Visible,1314,0
173014069206,Visible,1283,0
173014086170,Visible,1283,0
173014103375,Visible,1289,0
173014120411,Visible,1289,0
173014137656,Visible,1289,0
173014154983,Visible,1288,0
173014172000,Visible,1288,0
173014189037,Visible,1291,0
173014206072,Visible,1291,0
173014223522,Visible,1281,0
173014240718,Visible,1281,0
173014258073,Visible,1261,0
173014275102,Visible,1261,0
173014292371,Visible,1260,0
173014309385,Visible,1266,0
173014326304,Visible,1266,0
173014343602,Visible,1272,0
173014360530,Visible,1272,0
173014377384,Visible,1270,0
173014394705,Visible,1270,0
173014411646,Visible,1266,0
173014429041,Visible,1266,0
