Record Time,Gaze Lost,X Coordinate,Y Coordinate
183553757987,Visible,554,344
183553776743,Visible,554,344
183553793746,Visible,559,308
183553811145,Visible,559,308
183553828208,Visible,565,290
183553845356,Visible,565,290
183553862642,Visible,572,274
183553879869,Visible,572,274
183553896757,Visible,599,237
183553914216,Visible,626,223
183553931274,Visible,626,223
183553948344,Visible,649,222
183553965488,Visible,649,222
183553982550,Visible,681,224
183553999760,Visible,681,224
183554016857,Visible,681,224
183554034063,Visible,702,218
183554051091,Visible,702,218
183554068162,Visible,732,222
183554085260,Visible,732,222
183554102453,Visible,745,228
183554119571,Visible,745,228
183554136676,Visible,752,233
183554153867,Visible,752,233
183554171171,Visible,757,251
183554188345,Visible,746,264
183554205371,Visible,746,264
183554222435,Visible,742,285
183554239694,Visible,742,285
183554256861,Visible,738,312
183554274398,Visible,738,312
183554291245,Visible,736,340
183554308464,Visible,736,340
183554325908,Visible,736,361
183554342876,Visible,736,361
183554360095,Visible,735,358
183554377308,Visible,730,360
183554394704,Visible,730,360
183554411778,Visible,730,360
183554429165,Visible,723,338
183554446184,Visible,723,338
183554463362,Visible,693,320
183554480343,Visible,693,320
183554497465,Visible,658,260
183554514521,Visible,658,260
183554531590,Visible,633,268
183554548837,Visible,633,268
183554566166,Visible,520,234
183554583421,Visible,520,234
183554600225,Visible,441,204
183554617347,Visible,363,206
183554634627,Visible,363,206
183554651532,Visible,320,210
183554668539,Visible,320,210
183554685538,Visible,271,192
183554702645,Visible,271,192
183554719772,Visible,294,184
183554736865,Visible,294,184
183554754076,Visible,311,162
183554771136,Visible,311,162
183554788013,Visible,328,146
183554805044,Visible,328,146
183554822075,Visible,328,146
183554839038,Visible,343,129
183554856287,Visible,343,129
183554873317,Visible,417,104
183554890523,Visible,932,113
183554907538,Visible,932,113
183554924521,Visible,991,102
183554941869,Visible,991,102
183554958933,Visible,991,99
183554976219,Visible,991,99
183554993721,Visible,1041,78
183555010742,Visible,1041,78
183555027799,Visible,1034,73
183555045049,Visible,1034,73
183555062035,Visible,1087,72
183555079335,Visible,1087,72
183555096609,Visible,1090,69
183555113566,Visible,1122,80
183555130663,Visible,1122,80
183555147907,Visible,1162,95
183555165093,Visible,1162,95
183555182324,Visible,1162,95
183555199474,Visible,1155,140
183555216527,Visible,1155,140
183555233610,Visible,1168,235
183555250752,Visible,1168,235
183555268046,Visible,1162,318
183555285347,Visible,1162,318
183555302458,Visible,1168,351
183555319736,Visible,1168,351
183555336631,Visible,1220,328
183555353906,Visible,1247,372
183555370725,Visible,1247,372
183555388200,Visible,1279,418
183555405521,Visible,1279,418
183555422507,Visible,1257,439
183555439579,Visible,1257,439
183555456912,Visible,1275,731
183555474154,Visible,1275,731
183555491207,Visible,1288,735
183555508466,Visible,1288,735
183555525766,Visible,1320,714
183555542999,Visible,1320,714
183555560150,Visible,1291,1017
183555577490,Visible,1291,1017
183555594620,Lost,,
183555611932,Lost,,
183555629142,Lost,,
183555646469,Lost,,
183555663422,Lost,,
183555680665,Lost,,
183555697846,Lost,,
183555715128,Lost,,
183555732592,Lost,,
183555749833,Lost,,
183555766663,Lost,,
183555783840,Lost,,
183555801232,Visible,1335,1079
183555818558,Visible,1345,1062
183555835737,Visible,1345,1062
183555852903,Visible,1387,1029
183555869895,Visible,1387,1029
183555886932,Visible,1396,989
183555903951,Visible,1396,989
183555921099,Visible,1418,929
183555938406,Visible,1418,929
183555955893,Visible,1414,838
183555972948,Visible,1414,838
183555989911,Visible,1414,838
183556007308,Visible,1385,792
183556024427,Visible,1361,761
183556041597,Visible,1361,761
183556058766,Visible,1348,761
183556075689,Visible,1348,761
183556092807,Visible,1335,764
183556109846,Visible,1335,764
183556127235,Visible,1325,738
183556144366,Visible,1325,738
183556161337,Visible,1326,714
183556178439,Visible,1326,714
183556195427,Visible,1328,692
183556212744,Visible,1328,692
183556229798,Visible,1336,656
183556247044,Visible,1336,656
183556264275,Visible,1348,621
183556281482,Visible,1373,567
183556298778,Visible,1373,567
183556315763,Visible,1388,517
183556332650,Visible,1388,517
183556349848,Visible,1439,511
183556366919,Visible,1439,511
183556384188,Visible,1439,511
183556401141,Visible,1524,503
183556418255,Visible,1524,503
183556435699,Visible,1520,492
183556452853,Visible,1520,492
183556469858,Visible,1573,505
183556486871,Visible,1573,505
183556504010,Visible,1608,516
183556521109,Visible,1686,515
183556538220,Visible,1686,515
183556555273,Visible,1724,517
183556572427,Visible,1724,517
183556589580,Visible,1723,515
183556606639,Visible,1723,515
183556623947,Visible,1721,509
183556640990,Visible,1721,509
183556658010,Visible,1717,510
183556675061,Visible,1717,510
183556692080,Visible,1711,510
183556709202,Visible,1711,510
183556726173,Visible,1706,512
183556743041,Visible,1706,512
183556760231,Visible,1710,513
183556777542,Visible,1710,513
183556794784,Visible,1704,514
183556812014,Visible,1704,514
183556828976,Visible,1703,519
183556846159,Visible,1703,519
183556863398,Visible,1700,518
183556880720,Visible,1700,518
183556897767,Visible,1694,525
183556914651,Visible,1694,525
183556931657,Visible,1691,534
183556948937,Visible,1691,534
183556965972,Visible,1692,542
183556983192,Visible,1694,542
183557000316,Visible,1694,542
183557017387,Visible,1694,539
183557034500,Visible,1694,539
183557051545,Visible,1692,543
183557068591,Visible,1692,543
183557085756,Visible,1667,540
183557102616,Visible,1667,540
183557119736,Visible,1663,540
183557136758,Visible,1663,540
183557153599,Visible,1667,539
183557170817,Visible,1667,539
183557187942,Visible,1667,539
183557204996,Visible,1665,547
183557222107,Visible,1665,547
183557239071,Visible,1664,560
183557256137,Visible,1662,590
183557273334,Visible,1662,590
183557290175,Visible,1663,589
183557307376,Visible,1663,589
183557324301,Visible,1661,597
183557341417,Visible,1661,597
183557358456,Visible,1656,616
183557375762,Visible,1656,616
183557393073,Visible,1653,636
183557410075,Visible,1653,636
183557427153,Visible,1641,635
183557444209,Visible,1641,635
183557461458,Visible,1631,636
183557478473,Visible,1631,636
183557495634,Visible,1630,632
183557512671,Visible,1632,633
183557529880,Visible,1632,633
183557546887,Visible,1632,633
183557564322,Visible,1626,644
183557581494,Visible,1626,644
183557598578,Visible,1634,666
183557615815,Visible,1634,666
183557632971,Visible,1631,693
183557649859,Visible,1631,693
183557666935,Visible,1629,702
183557684329,Visible,1629,702
183557701401,Visible,1634,710
183557718329,Visible,1634,710
183557735352,Visible,1633,720
183557752880,Visible,1629,715
183557769857,Visible,1629,715
183557787101,Visible,1632,709
183557804159,Visible,1632,709
183557821350,Visible,1629,718
183557838623,Visible,1629,718
183557855635,Visible,1628,716
183557872430,Visible,1628,716
183557889464,Visible,1625,721
183557906742,Visible,1625,721
183557924057,Visible,1622,733
183557941191,Visible,1622,733
183557958113,Visible,1622,733
183557975115,Visible,1607,776
183557992499,Visible,1607,776
183558009392,Visible,1560,818
183558026701,Visible,1532,821
183558043658,Visible,1532,821
183558060676,Visible,1504,828
183558077656,Visible,1504,828
183558094671,Visible,1479,856
183558111698,Visible,1479,856
183558128802,Visible,1467,859
183558145707,Visible,1467,859
183558162807,Visible,1446,856
183558179770,Visible,1446,856
183558196828,Visible,1446,844
183558213938,Visible,1446,844
183558231523,Visible,1454,840
183558248617,Visible,1464,828
183558265669,Visible,1464,828
183558282969,Visible,1478,791
183558300268,Visible,1478,791
183558317491,Visible,1498,730
183558334438,Visible,1498,730
183558351513,Visible,1498,730
183558368564,Visible,1551,657
183558385743,Visible,1551,657
183558402713,Visible,1569,643
183558419644,Visible,1569,643
183558436557,Visible,1621,632
183558453736,Visible,1621,632
183558470553,Visible,1658,590
183558487767,Visible,1658,590
183558504776,Visible,1669,568
183558521878,Visible,1672,574
183558539081,Visible,1672,574
183558556175,Visible,1691,566
183558573525,Visible,1691,566
183558590608,Visible,1724,543
183558608000,Visible,1724,543
183558625554,Visible,1776,516
183558642802,Visible,1776,516
183558659784,Visible,1799,521
183558676920,Visible,1799,521
183558693948,Visible,1814,538
183558710887,Visible,1814,538
183558728261,Visible,1811,532
183558745497,Visible,1811,532
183558762800,Visible,1815,526
183558779947,Visible,1815,526
183558796955,Visible,1812,520
183558813890,Visible,1812,520
183558830936,Visible,1812,487
183558848011,Visible,1812,487
183558865289,Visible,1809,463
183558882285,Visible,1809,463
183558899180,Visible,1813,411
183558916480,Visible,1813,411
183558933442,Visible,1810,365
183558950662,Visible,1810,365
183558967804,Visible,1785,303
183558984936,Visible,1745,223
183559002025,Visible,1745,223
183559019219,Visible,1681,168
183559036187,Visible,1681,168
183559053326,Visible,1627,156
183559070518,Visible,1627,156
183559087543,Visible,1559,127
183559104551,Visible,1559,127
183559121693,Visible,1499,102
183559138760,Visible,1499,102
183559156281,Visible,1499,102
183559173364,Visible,1464,120
183559190352,Visible,1464,120
183559207348,Visible,1467,134
183559224308,Visible,1467,134
183559241178,Visible,1478,144
183559258190,Visible,1492,154
183559275246,Visible,1492,154
183559292632,Visible,1500,206
183559309799,Visible,1500,206
183559327400,Visible,1505,263
183559344679,Visible,1505,263
183559361781,Visible,1523,357
183559378770,Visible,1523,357
183559396107,Visible,1544,445
183559413406,Visible,1544,445
183559430443,Visible,1549,536
183559447670,Visible,1549,536
183559464941,Visible,1557,600
183559481920,Visible,1557,600
183559499136,Visible,1565,698
183559516170,Visible,1565,698
183559533281,Visible,1565,698
183559550673,Visible,1565,698
183559567695,Visible,1565,698
183559584836,Visible,1565,698
183559601861,Visible,1565,698
183559618965,Visible,1565,698
183559636223,Visible,1565,698
183559653453,Visible,1565,698
183559670472,Visible,1565,698
183559687476,Visible,1565,698
183559704632,Visible,1565,698
183559722750,Visible,1565,698
183559739781,Visible,1565,698
183559756716,Visible,1565,698
183559773742,Visible,1565,698
183559790769,Visible,1565,698
183559807782,Visible,1565,698
183559824910,Visible,1565,698
183559841953,Visible,1565,698
183559859012,Visible,1565,698
183559876026,Visible,1565,698
183559893099,Visible,1565,698
183559910143,Visible,1565,698
183559927099,Visible,1565,698
183559944031,Visible,1565,698
183559961398,Visible,1565,698
183559978547,Visible,1565,698
183559995617,Lost,,
183600012669,Lost,,
183600029777,Lost,,
183600046882,Lost,,
183600064018,Lost,,
183600081079,Lost,,
183600098174,Lost,,
183600115172,Lost,,
183600132191,Lost,,
183600149354,Lost,,
183600166523,Lost,,
183600183724,Lost,,
183600201028,Lost,,
183600218179,Lost,,
183600235858,Lost,,
183600253126,Lost,,
183600270491,Lost,,
183600287669,Lost,,
183600304986,Lost,,
183600322210,Lost,,
183600339474,Lost,,
183600356699,Lost,,
183600374117,Lost,,
183600391277,Lost,,
183600408378,Lost,,
183600425483,Lost,,
183600442290,Lost,,
183600459718,Lost,,
183600477015,Lost,,
183600494044,Lost,,
183600511057,Lost,,
183600528075,Lost,,
183600545090,Lost,,
183600562123,Lost,,
183600579281,Lost,,
183600596497,Lost,,
183600613607,Lost,,
183600630639,Lost,,
183600647851,Lost,,
183600664860,Lost,,
183600682060,Lost,,
183600698969,Lost,,
183600716267,Lost,,
183600733663,Lost,,
183600750647,Lost,,
183600767812,Lost,,
183600785038,Lost,,
183600801987,Lost,,
183600819170,Lost,,
183600836313,Lost,,
183600853354,Lost,,
183600870542,Lost,,
183600887676,Lost,,
183600905046,Lost,,
183600921985,Lost,,
183600939087,Lost,,
183600956441,Lost,,
183600973611,Lost,,
183600991008,Lost,,
183601008385,Lost,,
183601025733,Lost,,
183601042693,Lost,,
183601060054,Lost,,
183601076934,Lost,,
183601093901,Lost,,
183601110803,Lost,,
183601127923,Lost,,
183601145149,Lost,,
183601162259,Lost,,
183601179438,Lost,,
183601196595,Lost,,
183601213728,Lost,,
183601231205,Lost,,
183601248194,Lost,,
183601265233,Lost,,
183601282147,Lost,,
183601299166,Lost,,
183601316396,Lost,,
183601333574,Lost,,
183601350705,Lost,,
183601367600,Lost,,
183601384756,Lost,,
183601401656,Lost,,
183601418769,Lost,,
183601435991,Lost,,
183601452961,Lost,,
183601469946,Lost,,
183601487219,Lost,,
183601504178,Lost,,
183601521462,Lost,,
183614765511,Lost,,
183614783247,Lost,,
183614800256,Lost,,
183614817551,Lost,,
183614834700,Lost,,
183614852035,Lost,,
183614869118,Lost,,
183614886286,Lost,,
183614903672,Lost,,
183614920653,Lost,,
183614937790,Lost,,
183614955017,Lost,,
183614972123,Lost,,
183614989050,Lost,,
183615006510,Lost,,
183615023401,Lost,,
183615040443,Lost,,
183615057532,Lost,,
183615074834,Lost,,
183615092095,Lost,,
183615109112,Lost,,
183615126244,Lost,,
183615143446,Lost,,
183615160347,Lost,,
183615177152,Lost,,
183615194425,Lost,,
183615211385,Lost,,
183615228704,Lost,,
183615245643,Lost,,
183615262695,Lost,,
183615279591,Lost,,
183615296685,Lost,,
183615313731,Lost,,
183615330930,Lost,,
183615348184,Lost,,
183615365199,Lost,,
183615382491,Visible,1321,609
183615399503,Visible,1321,609
183615416832,Visible,1304,609
183615434100,Visible,1286,599
183615451079,Visible,1286,599
183615468280,Visible,1247,585
183615485387,Visible,1247,585
183615502467,Visible,1208,557
183615519590,Visible,1208,557
183615536668,Visible,1172,536
183615553678,Visible,1172,536
183615570546,Visible,1153,525
183615587763,Visible,1153,525
183615604793,Visible,1148,493
183615621664,Visible,1148,493
183615638679,Visible,1134,440
183615655687,Visible,1134,440
183615672704,Visible,1134,408
183615689735,Visible,1134,408
183615706751,Visible,1134,408
183615723779,Visible,1129,399
183615740815,Visible,1132,359
183615757827,Visible,1132,359
183615775070,Visible,1135,352
183615792171,Visible,1135,352
183615809223,Visible,1154,349
183615826376,Visible,1154,349
183615843661,Visible,1192,350
183615860711,Visible,1192,350
183615877913,Visible,1275,316
183615895184,Visible,1275,316
183615912179,Visible,1339,281
183615929376,Visible,1403,270
183615946688,Visible,1403,270
183615963959,Visible,1451,245
183615980999,Visible,1451,245
183615998195,Visible,1501,217
183616015392,Visible,1501,217
183616032359,Visible,1521,210
183616049357,Visible,1521,210
183616066644,Visible,1521,210
183616083727,Visible,1547,214
183616100726,Visible,1547,214
183616118319,Visible,1541,218
183616135694,Visible,1541,218
183616152859,Visible,1540,216
183616170202,Visible,1197,591
183616187163,Visible,1197,591
183616204480,Visible,1200,589
183616221692,Visible,1200,589
183616238733,Visible,1205,591
183616256166,Visible,1205,591
183616273538,Visible,905,603
183616290737,Visible,905,603
183616307872,Visible,916,616
183616324913,Visible,916,616
183616342460,Visible,925,605
183616359510,Visible,925,605
183616376616,Visible,928,522
183616393805,Visible,937,459
183616410764,Visible,937,459
183616427929,Visible,948,437
183616445332,Visible,948,437
183616462463,Visible,948,437
183616479643,Visible,981,388
183616496750,Visible,981,388
183616513785,Visible,1014,379
183616530993,Visible,1014,379
183616547957,Visible,1074,377
183616564928,Visible,1074,377
183616582122,Visible,1149,369
183616599239,Visible,1186,357
183616616218,Visible,1186,357
183616633615,Visible,1223,353
183616650790,Visible,1223,353
183616667976,Visible,1244,342
183616685147,Visible,1244,342
183616702144,Visible,1256,320
183616719127,Visible,1256,320
183616736162,Visible,1276,313
183616753139,Visible,1276,313
183616770065,Visible,1313,302
183616787049,Visible,1313,302
183616804299,Visible,1353,285
183616821534,Visible,1353,285
183616838396,Visible,1376,271
183616855454,Visible,1376,271
183616872475,Visible,1376,271
183616889677,Visible,1395,253
183616906703,Visible,1421,235
183616923937,Visible,1421,235
183616941198,Visible,1438,222
183616958557,Visible,1438,222
183616975919,Visible,1439,207
183616993045,Visible,1439,207
183617010178,Visible,1436,198
183617027140,Visible,1436,198
183617044492,Visible,1430,173
183617061628,Visible,1430,173
183617078689,Visible,1426,178
183617095805,Visible,1425,175
183617113056,Visible,1425,175
183617130642,Visible,1425,165
183617147531,Visible,1425,165
183617164664,Visible,1425,159
183617181924,Visible,1425,159
183617198906,Visible,1426,153
183617216368,Visible,1426,153
183617233616,Visible,1426,153
183617250811,Visible,1426,148
183617267973,Visible,1426,148
183617285180,Visible,1426,145
183617302195,Visible,1426,145
183617319557,Visible,1368,1079
183617336568,Visible,1289,1071
183617353614,Visible,1289,1071
183617370786,Visible,1219,1050
183617388049,Visible,1219,1050
183617405754,Visible,1169,1040
183617422973,Visible,1169,1040
183617439788,Visible,1142,1001
183617456976,Visible,1142,1001
183617474033,Visible,1144,932
183617491381,Visible,1144,932
183617508503,Visible,1143,838
183617526091,Visible,1143,838
183617543142,Visible,1157,736
183617560154,Visible,1167,677
183617577174,Visible,1167,677
183617594187,Visible,1174,624
183617611216,Visible,1174,624
183617628236,Visible,1174,624
183617645243,Visible,1183,497
183617662259,Visible,1183,497
183617679267,Visible,1198,462
183617696601,Visible,1198,462
183617713608,Visible,1220,441
183617730793,Visible,1220,441
183617747749,Visible,1249,385
183617764936,Visible,1249,385
183617781949,Visible,1293,364
183617799311,Visible,1293,364
183617816767,Visible,1328,322
183617834045,Visible,1361,292
183617851054,Visible,1361,292
183617868157,Visible,1415,244
183617884974,Visible,1415,244
183617901937,Visible,1461,204
183617919002,Visible,1461,204
183617936116,Visible,1497,166
183617953141,Visible,1497,166
183617970448,Visible,1547,113
183617987461,Visible,1547,113
183618004666,Visible,1575,89
183618021620,Visible,1575,89
183618038747,Visible,1575,89
183618056021,Visible,1584,52
183618073139,Visible,1584,52
183618090208,Visible,1578,35
183618107480,Visible,1567,15
183618124617,Visible,1567,15
183618141714,Visible,1560,17
183618158818,Visible,1560,17
183618175908,Visible,1545,40
183618192931,Visible,1545,40
183618210222,Visible,1498,452
183618227339,Visible,1498,452
183618244593,Visible,1498,448
183618261657,Visible,1498,448
183618278694,Visible,1498,440
183618295711,Visible,1498,440
183618312734,Visible,1499,434
183618329910,Visible,1500,426
183618347022,Visible,1500,426
183618364195,Visible,927,428
183618381213,Visible,927,428
183618398224,Visible,406,435
183618415253,Visible,406,435
183618432338,Visible,406,435
183618449543,Visible,371,388
183618466623,Visible,371,388
183618483964,Visible,353,367
183618501062,Visible,353,367
183618518035,Visible,325,338
183618535262,Visible,325,338
183618552284,Visible,301,326
183618569471,Visible,271,291
183618586774,Visible,271,291
183618603870,Visible,233,280
183618620935,Visible,233,280
183618638123,Visible,235,262
183618655325,Visible,235,262
183618672468,Visible,219,260
183618689680,Visible,219,260
183618706696,Visible,186,261
183618723740,Visible,186,261
183618740842,Visible,191,265
183618757862,Visible,191,265
183618774896,Visible,193,274
183618792006,Visible,202,276
183618809282,Visible,202,276
183618826418,Visible,202,276
183618843531,Visible,206,278
183618860824,Visible,206,278
183618877913,Visible,208,278
183618895194,Visible,208,278
183618912300,Visible,206,294
183618929323,Visible,206,294
183618946430,Visible,154,850
183618963644,Visible,154,850
183618980662,Visible,156,831
183618997607,Visible,156,831
183619014876,Visible,154,830
183619032093,Visible,154,830
183619049122,Visible,156,805
183619066137,Visible,154,806
183619083181,Visible,154,806
183619100250,Visible,170,482
183619117623,Visible,170,482
183619134674,Visible,172,503
183619151872,Visible,172,503
183619168900,Visible,174,506
183619185962,Visible,174,506
183619202977,Visible,184,474
183619220195,Visible,184,474
183619237262,Visible,184,474
183619254475,Visible,190,428
183619271497,Visible,190,428
183619288601,Visible,201,378
183619305711,Visible,208,333
183619322692,Visible,208,333
183619339629,Visible,217,290
183619356770,Visible,217,290
