キャリブレーション:1 20:34:47:970
キャリブレーション:2 20:34:50:003
キャリブレーション:3 20:34:51:776
キャリブレーション:4 20:34:53:413
キャリブレーション:5 20:34:54:766
スライド1:4 20:35:05:337
スライド2:2 20:35:11:933
スライド3:4 20:35:24:937
スライド4:2 20:35:39:784
スライド5:3 20:35:45:353
スライド6:3 20:35:52:272
スライド7:2 20:35:58:653
スライド8:1 20:36:09:678
スライド9:2 20:36:15:706
スライド10:1 20:36:35:633
スライド11:4 20:36:38:261
スライド12:3 20:36:45:319
スライド13:3 20:36:52:095
スライド14:2 20:36:57:672
スライド15:4 20:37:03:033
スライド16:3 20:37:10:109
スライド17:3 20:37:17:369
スライド18:1 20:37:27:285
スライド19:3 20:37:31:669
スライド20:4 20:37:42:371
