被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,266.056885,993.5763582,4129.5,16.1845938,84.71749283,1418.741493,466.0701556,101.9558676,0.154452175
J1-02,,,,,,,,,
J2-01,190.7093645,779.2391263,3607,16.83790526,64.91029719,917.4288022,428.4199578,59.33688666,0.130134363
J2-02,252.56082,1126.156459,3803.5,16.21272453,97.33957845,1157.174369,474.9201638,111.594444,0.159242701
J2-03,128.287831,1224.940372,2138,15.74100741,111.0114673,965.5532413,495.2726649,69.15924427,0.139288705
J2-04,136.310386,1008.29068,2223,15.31589456,92.02849561,807.0683594,433.0739426,63.5567625,0.151877986
J2-05,312.3546345,1049.482593,5124,16.44338797,88.96474955,1144.392819,499.573623,126.4094875,0.16990856
J2-06,280.891321,1053.961215,3700.5,13.02068245,109.3726271,1369.189516,526.5692521,124.0194542,0.15682637
J2-07,173.7363505,1208.859601,2874,15.87486288,104.9605122,1249.89073,487.1910308,92.77105537,0.143160012
J2-08,156.6986005,1068.993256,2673,16.92057971,90.2356558,1152.361513,512.0456365,69.09985611,0.162232519
J2-09,262.823847,1139.392066,4053,16.3253919,99.16492793,1296.747204,445.6033478,127.225587,0.143225559
J2-10,,,,,,,,,
J3-01,226.508654,1236.975635,3566,14.95373814,112.3201704,813.1057711,412.4858939,142.3337425,0.149393106
J3-02,221.522028,908.466837,4507,19.29030224,67.61462238,831.2390997,417.4605556,88.96846957,0.158362797
J3-03,137.062815,1466.037794,1909.5,13.87844501,146.11232,1149.451616,507.8552601,82.07513558,0.147521877
J3-04,,,,,,,,,
J3-05,157.97459,836.7307727,3029,16.71133165,80.49011264,878.5942219,368.8588444,49.86571207,0.185584945
J3-06,157.79628,561.6713241,3381,20.32677406,40.12828402,607.2643499,326.7852951,41.57234036,0.154554865
J3-07,,,,,,,,,
J3-08,147.460241,1170.626675,2810,18.42477022,89.05809617,854.1219178,458.7860112,84.09736329,0.137182658
J3-09,176.738059,1003.491358,3164,16.91058806,82.40202016,883.6577568,466.1787267,81.90304378,0.163736295
J3-10,168.2959735,1167.221483,2458,14.63341334,118.9769769,1343.242196,494.3570228,68.03555641,0.167706282
J3-11,180.7311,1060.258492,2228.5,11.53215734,121.9933987,1029.455027,510.9793892,81.51939344,0.148335233
J3-12,142.525882,1117.518724,2558,16.26222419,99.2241995,1160.66875,473.2803711,73.96452699,0.151925232
J3-13,204.7806335,1001.444294,3772,17.95567942,79.51160314,1096.531273,394.1193633,89.44962162,0.156193578
J3-14,164.8649895,1098.049842,2872,15.39953617,97.71256066,974.7864712,470.4334052,77.6163553,0.151137432
H1-01,145.285609,1133.917737,2568,16.94590713,89.48986113,1183.167359,530.7881889,76.18291958,0.163544732
H1-02,116.110743,914.4304171,1910,15.89234702,78.98222883,749.4431266,430.6180883,53.20180098,0.165445026
H2-01,,,,,,,,,
H2-02,,,,,,,,,
H2-03,117.637536,1070.268858,2142,17.87151587,83.94953375,771.7668042,498.5615325,56.49226899,0.18767507
H2-04,178.255881,1156.83658,2818,15.39226409,101.7129443,1042.585728,505.456653,90.828072,0.162526615
H3-01,,,,,,,,,
