被験者,注視時間(ms),平均サッケード振幅(px),最大サッケード振幅(px),サッケード数,平均速度,視覚的探索距離(px),視覚的探索の均一性,平均視線回転(rad)
J1-01,14428,74.09650385,1245.906096,2879,901.9294488,258573.625,143.3049626,0.121815039
J1-02,,,,,,,,
J2-01,,,,,,,,
J2-02,,,,,,,,
J2-03,,,,,,,,
J2-04,,,,,,,,
J2-05,,,,,,,,
J2-06,,,,,,,,
J2-07,,,,,,,,
J2-08,,,,,,,,
J2-09,,,,,,,,
J2-10,,,,,,,,
J3-01,,,,,,,,
J3-02,,,,,,,,
J3-03,,,,,,,,
J3-04,,,,,,,,
J3-05,,,,,,,,
J3-06,,,,,,,,
J3-07,,,,,,,,
J3-08,,,,,,,,
J3-09,,,,,,,,
J3-10,,,,,,,,
J3-11,,,,,,,,
J3-12,,,,,,,,
J3-13,,,,,,,,
J3-14,,,,,,,,
