被験者,得点率(％),解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,80,220.226174,1085.223268,2958,15.73429999,95.33848181,1591.576891,541.5551191,84.26428731,0.160243408
J1-02,,,,,,,,,,
J2-01,90,94.449429,986.6489441,1496,14.6394756,87.1155479,848.2269743,480.676918,44.11588066,0.127005348
J2-02,80,184.343467,1318.965124,2698,17.13225919,109.943865,874.3140168,532.6014144,96.13694059,0.152705708
J2-03,70,81.426495,1237.059958,1208,14.33651923,122.5704278,808.5072665,532.7632079,47.3360942,0.139072848
J2-04,80,99.220605,1109.974699,1272,12.94843049,112.621489,746.0670211,447.5904731,53.33804977,0.146226042
J2-05,70,132.329346,1128.806285,1888,14.90024055,101.9626003,1261.405962,545.8844199,61.9215645,0.172669492
J2-06,90,189.270256,1093.029668,2202,12.04214752,120.5898718,1537.598452,579.2617626,84.78948701,0.161671208
J2-07,90,115.288806,1345.861344,1876,15.45193904,120.4205899,1369.972627,545.9224445,68.49467589,0.138592751
J2-08,90,109.720816,1288.710977,1652,16.3652641,110.8875244,1463.266551,572.014883,60.4798853,0.170702179
J2-09,90,177.026205,1111.302429,3228,18.10653307,86.68777328,1117.919943,472.0832202,82.73653046,0.147459727
J2-10,,,,,,,,,,
J3-01,100,172.383572,1222.467431,2746,15.16073421,109.7727506,771.5244649,404.1273902,106.1393895,0.14785142
J3-02,80,122.979209,1005.742572,2251,18.4686019,77.59692565,907.4497231,455.8104145,58.56120881,0.161741861
J3-03,80,89.115228,1867.698136,1016,12.56202075,196.2539473,1288.706716,587.0170556,64.1851602,0.151574803
J3-04,,,,,,,,,,
J3-05,100,92.222385,1203.109498,1228,12.76150628,128.1666569,1098.479859,423.7420501,52.91298886,0.210093285
J3-06,80,91.865765,652.9906011,1932,19.9923911,47.44299969,555.8201148,339.5949515,36.32624544,0.148033126
J3-07,,,,,,,,,,
J3-08,90,127.334482,1314.340204,2352,18.25866441,101.0040568,899.6493761,469.0406407,79.06152052,0.136054422
J3-09,80,132.465624,1071.77871,2210,15.84507042,92.43674053,827.3197689,485.141923,67.07035582,0.163800905
J3-10,90,116.770446,1520.6354,946,11.73932788,173.0483133,1555.721376,592.0351138,52.14839296,0.174222446
J3-11,60,125.890211,1169.340957,1354,10.21775544,146.7050639,1114.070913,555.8739586,65.7749389,0.158050222
J3-12,90,90.334671,1381.783852,1254,13.44868266,135.3283987,1283.955217,517.0874684,57.30749287,0.154704944
J3-13,90,129.421066,1102.057091,2276,17.64870932,89.60987396,1112.173098,395.7044484,69.61877656,0.164323374
J3-14,90,78.214453,1263.329847,1086,13.18827709,122.6697578,873.3870849,491.804009,47.36884358,0.152854512
H1-01,100,145.285609,1133.917737,2568,16.94590713,89.48986113,1183.167359,530.7881889,76.18291958,0.163544732
H1-02,80,116.110743,914.4304171,1910,15.89234702,78.98222883,749.4431266,430.6180883,53.20180098,0.165445026
H2-01,,,,,,,,,,
H2-02,,,,,,,,,,
H2-03,70,117.637536,1070.268858,2142,17.87151587,83.94953375,771.7668042,498.5615325,56.49226899,0.18767507
H2-04,80,178.255881,1156.83658,2818,15.39226409,101.7129443,1042.585728,505.456653,90.828072,0.162526615
H3-01,,,,,,,,,,
