被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,220.226174,1085.223267639498,2958,15.734299990202802,95.33848181081558,1591.5768910109243,541.5551191021898,84.26428730972849,0.16024340770791076
J1-02,,,,,,,,,
J2-01,94.449429,986.6489441220161,1496,14.639475600874,87.11554789683264,848.2269743411842,480.6769180149515,44.11588066022289,0.1270053475935829
J2-02,184.343467,1318.9651241182626,2698,17.132259186275647,109.9438649771863,874.3140168154689,532.601414360332,96.13694058992384,0.15270570793180133
J2-03,81.426495,1237.059957729549,1208,14.336519226494776,122.57042777296466,808.5072665103264,532.7632079472844,47.33609420030619,0.1390728476821192
J2-04,99.220605,1109.9746986094906,1272,12.948430493273545,112.62148904160384,746.0670211180762,447.5904730818755,53.33804976783007,0.14622604215538698
J2-05,132.329346,1128.806284680978,1888,14.900240554690816,101.96260027280472,1261.4059616158472,545.8844198925706,61.92156450273299,0.17266949152542374
J2-06,189.270256,1093.0296678466782,2202,12.042147516307075,120.58987178479826,1537.5984521324156,579.2617625979534,84.7894870056712,0.16167120799273388
J2-07,115.288806,1345.8613435547786,1876,15.451939037271767,120.42058990582505,1369.9726274637753,545.9224444889347,68.49467588626311,0.13859275053304904
J2-08,109.720816,1288.7109773556815,1652,16.365264100268575,110.88752440682312,1463.2665512475846,572.01488300535,60.47988530187259,0.17070217917675545
J2-09,177.026205,1111.3024291428667,3228,18.10653307432778,86.68777328040194,1117.9199434664363,472.08322017206086,82.73653045637774,0.14745972738537794
J2-10,,,,,,,,,
J3-01,172.383572,1222.4674310604685,2746,15.160734205455837,109.77275060843245,771.5244649393823,404.12739021315855,106.13938952686964,0.14785142024763293
J3-02,122.979209,1005.7425722731684,2251,18.468601895734597,77.59692565473938,907.4497231251988,455.81041446872456,58.56120881289996,0.16174186121605888
J3-03,89.115228,1867.698136420342,1016,12.562020748759586,196.25394732529546,1288.7067160529582,587.0170555886687,64.18516020053919,0.1515748031496063
J3-04,,,,,,,,,
J3-05,92.222385,1203.109498223501,1228,12.761506276150628,128.16665692599713,1098.47985871385,423.7420501214886,52.912988864039846,0.21009328512933617
J3-06,91.865765,652.9906010999041,1932,19.99239109758417,47.44299968806408,555.8201147853504,339.5949514537421,36.32624543654041,0.14803312629399587
J3-07,,,,,,,,,
J3-08,127.334482,1314.340203959246,2352,18.258664412510566,101.00405679244966,899.6493761460628,469.0406407297557,79.0615205182903,0.1360544217687075
J3-09,132.465624,1071.7787095745573,2210,15.845070422535212,92.43674052860477,827.3197688922947,485.1419229988681,67.07035581895545,0.16380090497737557
J3-10,116.770446,1520.6353996618568,946,11.739327883742053,173.0483132526966,1555.7213760824911,592.0351138162325,52.14839296098277,0.17422244641577636
J3-11,125.890211,1169.3409574121667,1354,10.217755443886096,146.7050638518611,1114.0709133623407,555.8739586317505,65.77493889886212,0.15805022156573117
J3-12,90.334671,1381.7838523823077,1254,13.448682658277624,135.3283987420835,1283.9552172875813,517.0874684162198,57.30749286734342,0.1547049441786284
J3-13,129.421066,1102.057090811884,2276,17.64870931537598,89.60987396045269,1112.1730980382506,395.7044484250252,69.61877655894091,0.16432337434094904
J3-14,78.214453,1263.3298468620192,1086,13.188277087033748,122.6697578124778,873.3870848598575,491.80400901132316,47.36884357629102,0.15285451197053407
H1-01,145.285609,1133.9177367221268,2568,16.94590713259933,89.48986112871822,1183.167359252274,530.7881889184815,76.18291957564735,0.16354473154052862
H1-02,116.110743,914.4304171269669,1910,15.892347015486394,78.98222883229262,749.4431265946736,430.6180883212143,53.201800983647445,0.16544502617801046
H2-01,,,,,,,,,
H2-02,,,,,,,,,
H2-03,117.637536,1070.268858442053,2142,17.87151587419884,83.94953374752795,771.7668041578363,498.5615325447407,56.492268989011365,0.1876750700280112
H2-04,178.255881,1156.8365799287951,2818,15.392264094660435,101.7129442722581,1042.5857278900378,505.4566529986482,90.8280720017441,0.16252661462029808
H3-01,,,,,,,,,
