Record Time,Gaze Lost,X Coordinate,Y Coordinate
224250770679,Visible,869,775
224250790158,Visible,869,775
224250807061,Visible,881,771
224250824075,Visible,881,771
224250841425,Visible,912,775
224250858779,Visible,912,775
224250876126,Visible,929,764
224250893347,Visible,929,764
224250910459,Visible,954,759
224250927705,Visible,954,759
224250944904,Visible,954,759
224250962239,Visible,940,748
224250979832,Visible,940,748
224250997164,Visible,956,729
224251014616,Visible,972,726
224251031634,Visible,972,726
224251049194,Visible,1002,704
224251066442,Visible,1002,704
224251083959,Visible,1004,705
224251101173,Visible,1004,705
224251118080,Visible,1001,707
224251135613,Visible,1001,707
224251152631,Visible,1005,698
224251169723,Visible,1005,698
224251186902,Visible,1007,680
224251203979,Visible,1011,672
224251221018,Visible,1011,672
224251237912,Visible,1012,663
224251255071,Visible,1012,663
224251272278,Visible,1028,664
224251289551,Visible,1028,664
224251306717,Visible,1034,648
224251323795,Visible,1034,648
224251340972,Visible,1034,648
224251358144,Visible,1040,627
224251376621,Visible,1040,627
224251393740,Visible,1037,626
224251411071,Visible,1033,627
224251428211,Visible,1033,627
224251445577,Visible,1034,633
224251462585,Visible,1034,633
224251480134,Visible,1036,633
224251497117,Visible,1036,633
224251514120,Visible,1037,634
224251531271,Visible,1037,634
224251548514,Visible,1035,634
224251565821,Visible,1035,634
224251582966,Visible,1034,630
224251600401,Visible,1034,630
224251617391,Visible,1031,626
224251634408,Visible,1031,626
224251651702,Visible,1016,613
224251668754,Visible,997,601
224251685836,Visible,997,601
224251703133,Visible,979,607
224251720294,Visible,979,607
224251737938,Visible,979,607
224251755131,Visible,984,604
224251772774,Visible,984,604
224251789922,Visible,981,607
224251807273,Visible,981,607
224251824490,Visible,987,610
224251841861,Visible,987,610
224251859120,Visible,991,624
224251876367,Visible,1035,651
224251893377,Visible,1035,651
224251910659,Visible,1077,691
224251927577,Visible,1077,691
224251945572,Visible,1092,708
224251962528,Visible,1092,708
224251979756,Visible,1127,767
224251997202,Visible,1127,767
224252014153,Visible,1137,828
224252031700,Visible,1137,828
224252048729,Visible,1167,871
224252065787,Visible,1192,927
224252082977,Visible,1192,927
224252100398,Visible,1231,982
224252117333,Visible,1231,982
224252134391,Visible,1231,982
224252151973,Visible,1262,1049
224252169000,Visible,1262,1049
224252186693,Visible,1277,1079
224252203676,Visible,1277,1079
224252220872,Visible,1291,1079
224252237980,Visible,1291,1079
224252254983,Visible,1298,1079
224252272837,Visible,1298,1079
224252289757,Visible,1299,1079
224252306737,Visible,1298,1079
