Record Time,X Coordinate,Y Coordinate
191439174738 ,1610,901
191439191756 ,1618,907
191439208876 ,1618,907
191439225891 ,1621,917
191439243110 ,1621,917
191439260229 ,1621,927
191439277430 ,1621,927
191439294762 ,1625,930
191439311959 ,1625,930
191439328932 ,1632,936
191439345819 ,1632,936
191439363163 ,1646,933
191439380417 ,1646,933
191439397894 ,1639,929
191439414742 ,1639,929
191439431646 ,1642,931
191439449190 ,1642,931
191439466085 ,1633,926
191439483315 ,1633,926
191439500785 ,934,789
191439517889 ,934,789
191439534962 ,880,760
191439552060 ,880,760
191439569182 ,836,727
191439586301 ,836,727
191439603138 ,791,684
191439620208 ,775,647
191439637357 ,775,647
191439654823 ,450,584
191439672007 ,450,584
191439689130 ,427,553
191439706342 ,427,553
191439723449 ,412,547
191439740458 ,412,547
191439757476 ,412,547
191439774769 ,371,486
191439791874 ,371,486
191439809200 ,343,457
191439826490 ,343,457
191439843862 ,316,412
191439861008 ,295,359
191439878269 ,295,359
191439895721 ,279,312
191439912781 ,279,312
191439929962 ,266,258
191439947530 ,266,258
191439964631 ,254,198
191439981855 ,254,198
191439998852 ,239,183
191440015821 ,239,183
191440032815 ,231,141
191440049969 ,231,141
191440067213 ,221,117
191440084830 ,221,117
191440101847 ,202,115
191440118850 ,202,115
191440135875 ,199,97
191440153022 ,199,97
191440170349 ,197,81
191440187410 ,197,81
191440204783 ,194,73
191440221906 ,194,73
191440238777 ,190,75
191440255790 ,190,75
191440272989 ,186,78
191440289936 ,186,78
191440306902 ,189,76
191440324256 ,188,71
191440341648 ,188,71
191440359005 ,189,69
191440376375 ,189,69
191440393297 ,189,67
191440410569 ,189,67
191440427747 ,232,79
191440444930 ,232,79
191440461955 ,232,79
191440479004 ,354,118
191440496125 ,354,118
191440513587 ,428,132
191440530733 ,428,132
191440548017 ,499,174
191440565188 ,561,224
191440582647 ,561,224
191440599906 ,603,273
191440616835 ,603,273
191440633971 ,603,276
191440651136 ,603,276
191440668072 ,603,278
191440684982 ,603,278
191440702280 ,602,279
191440719585 ,602,279
191440736594 ,603,280
191440753813 ,603,280
191440770926 ,611,291
191440788036 ,611,291
191440805148 ,611,291
191440822529 ,609,279
191440839740 ,575,274
191440857116 ,575,274
191440874205 ,535,261
191440891614 ,535,261
191440909094 ,485,248
191440926277 ,485,248
191440943365 ,428,238
191440960683 ,428,238
191440977957 ,398,232
191440995036 ,398,232
191441012251 ,373,234
191441029646 ,361,241
191441046709 ,361,241
191441063745 ,348,250
191441081102 ,348,250
191441098180 ,324,250
191441115465 ,324,250
191441132892 ,324,253
191441150091 ,324,253
191441167327 ,324,253
191441184536 ,330,253
191441201651 ,330,253
191441218669 ,330,251
191441235840 ,333,247
191441253021 ,333,247
191441270270 ,332,239
191441287313 ,332,239
191441304562 ,335,232
191441321726 ,335,232
191441338800 ,336,230
191441355818 ,336,230
191441372884 ,335,232
191441390152 ,335,232
191441407517 ,331,269
191441424811 ,331,269
191441442000 ,332,268
191441459173 ,332,268
191441476414 ,332,268
191441493456 ,332,268
191441510594 ,332,268
191441527579 ,332,268
191441544639 ,332,268
191441561872 ,332,268
191441579289 ,330,273
191441596552 ,330,273
191441613620 ,327,264
191441630742 ,327,264
191441647714 ,320,256
191441664936 ,320,256
191441682115 ,324,241
191441699397 ,324,241
191441716592 ,340,226
191441733658 ,380,197
191441751059 ,380,197
191441768142 ,429,177
191441785217 ,429,177
191441802628 ,512,211
191441820045 ,512,211
191441837311 ,585,223
191441854457 ,585,223
191441871624 ,585,223
191441888703 ,583,223
191441905686 ,583,223
191441922883 ,583,223
191441940063 ,583,223
191441957046 ,582,224
191441974613 ,639,258
191441991542 ,639,258
191442008613 ,689,310
191442025848 ,689,310
191442043231 ,712,355
191442060251 ,712,355
191442077183 ,682,387
191442094353 ,682,387
191442111387 ,660,410
191442128712 ,660,410
191442146411 ,641,425
191442163635 ,641,425
191442180840 ,599,395
191442197850 ,599,395
191442214953 ,532,370
191442232116 ,532,370
191442249345 ,516,360
191442266498 ,516,360
191442283919 ,516,333
191442300885 ,516,333
191442318064 ,522,322
191442335213 ,522,322
191442352406 ,532,327
191442369554 ,532,327
191442386725 ,535,331
191442404259 ,535,331
191442421467 ,556,340
191442438638 ,577,365
191442455882 ,577,365
191442473270 ,624,408
191442490349 ,624,408
191442507566 ,654,447
191442524568 ,654,447
191442542200 ,685,476
191442559328 ,685,476
191442576424 ,685,476
191442593889 ,714,486
191442611026 ,714,486
191442628052 ,724,490
191442645496 ,811,504
191442662934 ,811,504
191442680073 ,1191,574
191442697276 ,1191,574
191442714378 ,1264,596
191442731605 ,1264,596
191442748741 ,1334,625
191442765891 ,1334,625
191442783358 ,1419,647
191442800722 ,1419,647
191442817936 ,1443,661
191442835174 ,1443,661
191442852079 ,1445,666
191442869221 ,1414,701
191442886332 ,1414,701
191442903360 ,1414,701
191442920390 ,1375,703
191442937656 ,1375,703
191442954577 ,1323,710
191442971681 ,1323,710
191442989318 ,1257,715
191443006739 ,1257,715
191443024085 ,1178,718
191443041235 ,1178,718
191443058603 ,1081,724
191443075857 ,1081,724
191443093376 ,941,718
191443110651 ,832,701
191443127631 ,832,701
191443144709 ,736,687
191443161748 ,736,687
191443178876 ,674,688
191443195927 ,674,688
191443213047 ,630,679
191443230373 ,630,679
191443247680 ,602,681
191443264742 ,602,681
191443281974 ,602,681
191443298918 ,1217,764
191443316159 ,1221,762
191443333336 ,1221,762
191443350703 ,1227,751
191443367740 ,1227,751
191443384990 ,1244,747
191443402192 ,1244,747
191443419365 ,1275,741
191443436818 ,1275,741
191443454000 ,1307,747
191443471348 ,1307,747
191443488289 ,1352,759
191443505803 ,1352,759
191443522809 ,1365,766
191443539933 ,1365,766
191443557130 ,1357,776
191443574320 ,1389,815
191443591524 ,1389,815
191443608785 ,1389,815
191443626134 ,1399,857
191443643397 ,1399,857
191443660644 ,1387,882
191443677800 ,1387,882
191443694991 ,1340,851
191443712225 ,1340,851
191443729355 ,1008,810
191443746555 ,1008,810
191443763493 ,971,818
191443780799 ,938,807
191443797915 ,938,807
191443815217 ,947,448
191443832236 ,947,448
191443849379 ,345,11
191443866428 ,345,11
191443883639 ,403,12
191443900830 ,403,12
191443917984 ,351,0
191443935381 ,351,0
191443952728 ,337,14
191443970167 ,337,14
191443987248 ,337,14
191444004817 ,311,26
191444021916 ,323,48
191444039307 ,323,48
191444056387 ,326,93
191444073761 ,326,93
191444091175 ,325,145
191444108165 ,325,145
191444125046 ,321,164
191444142183 ,321,164
191444159553 ,313,179
191444176731 ,313,179
191444193858 ,305,184
191444211074 ,305,184
191444228139 ,304,236
191444245618 ,309,287
191444262785 ,309,287
191444279947 ,325,344
191444297226 ,325,344
191444314241 ,325,344
191444331456 ,364,353
191444348816 ,364,353
191444365861 ,379,344
191444382845 ,379,344
191444399941 ,384,341
191444417300 ,384,341
191444434558 ,384,330
191444451690 ,384,330
191444468988 ,378,324
191444486191 ,375,317
191444503275 ,375,317
191444520374 ,369,307
191444537515 ,369,307
191444554318 ,362,293
191444571488 ,362,293
191444588797 ,356,273
191444606063 ,356,273
191444623625 ,343,252
191444640887 ,343,252
