Record Time,Gaze Lost,X Coordinate,Y Coordinate
163523179992,Visible,1687,654
163523197125,Visible,1687,654
163523213972,Visible,1334,654
163523230844,Visible,1334,654
163523247859,Visible,1261,651
163523264999,Visible,1261,651
163523282221,Visible,1183,635
163523299436,Visible,1183,635
163523316491,Visible,1053,612
163523333399,Visible,1053,612
163523350612,Visible,990,603
163523367881,Visible,990,603
163523384802,Visible,947,587
163523401974,Visible,947,587
163523419198,Visible,915,568
163523436433,Visible,915,568
163523453570,Visible,891,562
163523470931,Visible,891,562
163523488007,Visible,886,543
163523505232,Visible,886,543
163523522535,Visible,882,537
163523540023,Visible,877,538
163523557006,Visible,877,538
163523574180,Visible,865,540
163523591563,Visible,865,540
163523608733,Visible,835,534
163523625705,Visible,835,534
163523643049,Visible,835,534
163523660071,Visible,796,540
163523677442,Visible,796,540
163523694632,Visible,760,544
163523711746,Visible,760,544
163523728723,Visible,718,547
163523746131,Visible,676,550
163523763145,Visible,676,550
163523780251,Visible,621,553
163523797593,Visible,621,553
163523814934,Visible,565,555
163523832059,Visible,565,555
163523849337,Visible,483,555
163523866366,Visible,483,555
163523883440,Visible,427,555
163523900665,Visible,427,555
163523917742,Visible,364,553
163523934715,Visible,364,553
163523951731,Visible,350,551
163523968756,Visible,350,551
163523986031,Visible,334,540
163524003225,Visible,334,540
163524020729,Visible,299,513
163524038068,Visible,299,513
163524055282,Visible,299,492
163524072567,Visible,299,492
163524089590,Visible,298,472
163524106731,Visible,298,472
163524123922,Visible,290,442
163524141068,Visible,290,442
163524158123,Visible,291,429
163524175390,Visible,291,429
163524192617,Visible,299,375
163524209627,Visible,299,375
163524227102,Visible,311,272
163524244370,Visible,356,198
163524261748,Visible,356,198
163524278897,Visible,411,110
163524295966,Visible,411,110
163524313373,Visible,449,49
163524330480,Visible,449,49
163524347646,Visible,449,49
163524364892,Visible,484,30
163524382248,Visible,484,30
163524399375,Visible,509,25
163524416464,Visible,509,25
163524433660,Visible,486,29
163524450576,Visible,478,43
163524467835,Visible,478,43
163524485228,Visible,475,47
163524502640,Visible,475,47
163524519641,Visible,473,50
163524537080,Visible,473,50
163524554151,Visible,471,53
163524571292,Visible,471,53
163524588422,Visible,472,61
163524605421,Visible,472,61
163524622521,Visible,470,67
163524639538,Visible,470,67
163524656564,Visible,489,692
163524673912,Visible,488,656
163524690756,Visible,488,656
163524707778,Visible,488,656
163524724988,Visible,454,636
163524742075,Visible,454,636
163524759179,Visible,435,610
163524776090,Visible,435,610
163524793220,Visible,425,551
163524810497,Visible,425,551
163524827631,Visible,426,442
163524844560,Visible,426,442
163524861587,Visible,426,341
163524878695,Visible,426,341
163524895773,Visible,416,295
163524913311,Visible,416,295
163524930579,Visible,416,208
163524947771,Visible,416,184
163524964922,Visible,416,184
163524982809,Visible,458,101
163525000048,Visible,458,101
163525017262,Visible,507,45
163525034575,Visible,507,45
163525051547,Visible,507,45
163525068777,Visible,586,0
163525085785,Visible,586,0
163525102825,Visible,644,0
163525120268,Visible,644,0
163525137456,Visible,1014,0
163525154450,Visible,1014,0
163525171382,Visible,956,0
163525188764,Lost,,
163525206043,Lost,,
163525223265,Lost,,
163525240631,Lost,,
163525257772,Lost,,
163525275012,Lost,,
163525292186,Lost,,
163525309034,Lost,,
163525326147,Lost,,
163525343231,Lost,,
163525360508,Lost,,
163525377672,Lost,,
163525394779,Lost,,
163525412046,Lost,,
163525429217,Lost,,
163525446439,Lost,,
163525463456,Lost,,
163525480566,Lost,,
163525497889,Lost,,
163525515260,Lost,,
163525532696,Lost,,
163525550052,Lost,,
163525567173,Visible,1663,839
163525584471,Lost,,
163525601760,Lost,,
163525619534,Lost,,
163525636740,Lost,,
163525654414,Lost,,
163525671640,Lost,,
163525688839,Lost,,
163525706039,Lost,,
163525723545,Lost,,
163525740662,Lost,,
163525757909,Lost,,
163525774958,Lost,,
163525792071,Lost,,
163525809189,Lost,,
163525826269,Lost,,
163525843237,Lost,,
163525860369,Lost,,
163525877319,Lost,,
163525894574,Lost,,
163525911615,Lost,,
163525928566,Lost,,
163525945793,Lost,,
163525962976,Lost,,
163525980050,Lost,,
163525997991,Lost,,
163526015071,Lost,,
163526032150,Lost,,
163526049200,Lost,,
163526066461,Lost,,
163526083658,Lost,,
163526100644,Lost,,
163526118053,Lost,,
163526135153,Lost,,
163526152310,Visible,830,241
163526169410,Visible,822,205
163526186287,Visible,822,205
163526203515,Visible,806,213
163526220526,Visible,806,213
163526237595,Visible,783,224
163526254646,Visible,783,224
163526271679,Visible,776,226
163526288886,Visible,776,226
163526305974,Visible,774,223
163526323208,Visible,774,223
163526340354,Visible,773,177
163526357685,Visible,788,154
163526375034,Visible,788,154
163526392019,Visible,797,125
163526409152,Visible,797,125
163526426343,Visible,809,91
163526443629,Visible,809,91
163526460678,Visible,809,91
163526477690,Visible,818,94
163526495014,Visible,818,94
163526512113,Visible,832,82
163526529199,Visible,832,82
163526546573,Visible,847,36
163526563779,Visible,894,0
163526580868,Visible,894,0
163526598268,Visible,968,0
163526615488,Visible,968,0
163526632873,Visible,1013,0
163526649989,Visible,1013,0
163526666894,Visible,1074,0
163526683925,Visible,1074,0
163526700940,Visible,1098,0
163526718057,Visible,1098,0
163526735306,Visible,1105,0
163526752533,Visible,1113,0
163526769544,Visible,1113,0
163526786954,Visible,1105,0
163526804140,Visible,1105,0
163526821346,Visible,1105,0
163526838444,Visible,1091,0
163526855633,Visible,1091,0
163526872721,Visible,1090,0
163526890017,Visible,1090,0
163526907047,Visible,1091,0
163526924117,Visible,1091,0
163526941293,Visible,1090,0
163526958607,Visible,1090,0
163526975807,Visible,1094,0
163526992632,Visible,1094,0
163527010372,Visible,1102,0
163527027492,Visible,1111,0
163527044988,Visible,1111,0
163527062127,Visible,1110,0
163527079271,Visible,1110,0
163527096417,Visible,1122,0
163527113586,Visible,1122,0
163527131014,Visible,1124,0
163527148259,Visible,1124,0
163527165402,Visible,1124,0
163527182514,Visible,1143,9
163527199792,Visible,1143,9
163527217158,Visible,1155,7
163527234233,Visible,1156,21
163527251255,Visible,1156,21
163527268436,Visible,1149,32
163527285668,Visible,1149,32
163527302878,Visible,1131,42
163527319929,Visible,1131,42
163527337011,Visible,1074,86
163527354091,Visible,1074,86
163527371204,Visible,998,138
163527388252,Visible,998,138
163527405326,Visible,921,197
163527422651,Visible,921,197
163527439996,Visible,873,279
163527457104,Visible,873,279
163527474324,Visible,850,376
163527491568,Visible,840,498
163527508671,Visible,840,498
163527525836,Visible,840,498
163527543140,Visible,862,622
163527560172,Visible,862,622
163527577166,Visible,873,647
163527594491,Visible,873,647
163527611678,Visible,878,696
163527628776,Visible,878,696
163527645787,Visible,886,738
163527663028,Visible,886,738
163527680386,Visible,874,735
163527697743,Visible,833,736
163527714799,Visible,833,736
163527731872,Visible,764,709
163527748872,Visible,764,709
163527765703,Visible,684,698
163527782993,Visible,684,698
163527800001,Visible,596,696
163527817244,Visible,596,696
163527834349,Visible,542,697
163527851425,Visible,542,697
163527868565,Visible,542,697
163527885604,Visible,500,690
163527902813,Visible,500,690
163527919959,Visible,465,691
163527937094,Visible,465,691
163527954134,Visible,499,691
163527971230,Visible,523,691
163527988371,Visible,523,691
163528005465,Visible,544,691
163528022772,Visible,544,691
163528040211,Visible,597,692
163528057452,Visible,597,692
163528074762,Visible,666,687
163528091973,Visible,666,687
163528109208,Visible,757,682
163528126409,Visible,757,682
163528143793,Visible,833,677
163528161031,Visible,833,677
163528178056,Visible,900,672
163528195136,Visible,956,659
163528212236,Visible,956,659
163528229247,Visible,956,659
163528246558,Visible,1034,644
163528263997,Visible,1034,644
163528281539,Visible,1067,632
163528298437,Visible,1067,632
163528315490,Visible,1079,616
163528332418,Visible,1079,616
163528349511,Visible,1073,598
163528366748,Visible,1073,598
163528383768,Visible,1060,580
163528400883,Visible,1060,580
163528418084,Visible,1061,564
163528435132,Visible,1058,553
163528452317,Visible,1058,553
163528469307,Visible,1052,553
163528486704,Visible,1052,553
163528504094,Visible,1038,544
163528521416,Visible,1038,544
163528538826,Visible,983,536
163528556106,Visible,983,536
163528573068,Visible,983,536
163528590119,Visible,865,527
163528607320,Visible,865,527
163528624628,Visible,790,528
163528641768,Visible,701,538
163528658980,Visible,701,538
163528676255,Visible,627,539
163528693555,Visible,627,539
163528710590,Visible,573,542
163528728086,Visible,573,542
163528745311,Visible,531,545
163528762642,Visible,531,545
163528779811,Visible,506,547
163528797006,Visible,506,547
163528814227,Visible,473,547
163528831299,Visible,473,547
163528848791,Visible,458,546
163528865830,Visible,440,541
163528882971,Visible,440,541
163528900252,Visible,429,527
163528917257,Visible,429,527
163528934258,Visible,429,527
163528951203,Visible,420,502
163528968465,Visible,420,502
163528985447,Visible,423,481
163529002795,Visible,423,481
163529020113,Visible,417,465
163529037679,Visible,417,465
163529054878,Visible,411,439
163529072100,Visible,411,439
163529089584,Visible,410,406
163529106681,Visible,409,387
163529124100,Visible,409,387
163529141308,Visible,403,388
163529158611,Visible,403,388
163529175555,Visible,399,400
163529192843,Visible,399,400
163529210159,Visible,397,406
163529227375,Visible,397,406
163529244499,Visible,392,408
163529261627,Visible,392,408
163529278677,Visible,392,408
163529295520,Visible,395,413
163529312505,Visible,395,413
163529329713,Visible,392,419
163529347072,Visible,395,428
163529364146,Visible,395,428
163529381524,Visible,397,448
163529398832,Visible,397,448
163529415989,Visible,401,468
163529433388,Visible,401,468
163529450490,Visible,407,503
163529467347,Visible,407,503
163529484303,Visible,413,503
163529501280,Visible,413,503
163529518489,Visible,442,501
163529535744,Visible,442,501
