Record Time,X Coordinate,Y Coordinate
174940494124 ,1715,778
174940511323 ,1719,777
174940528513 ,1719,777
174940545638 ,1719,777
174940562880 ,1738,775
174940579893 ,1738,775
174940597097 ,1746,773
174940613979 ,1764,772
174940631230 ,1764,772
174940648404 ,1761,769
174940666671 ,1761,769
174940684146 ,1764,765
174940701284 ,1764,765
174940718218 ,1761,758
174940735199 ,1761,758
174940752097 ,1763,763
174940769335 ,1763,763
174940786589 ,1757,758
174940803758 ,1757,758
174940820844 ,1748,755
174940838063 ,1727,750
174940855424 ,1727,750
174940872716 ,1727,750
174940890303 ,1683,746
174940907733 ,1683,746
174940925534 ,1638,744
174940942821 ,1638,744
174940959958 ,1533,729
174940977303 ,1533,729
174940994763 ,1453,710
174941011880 ,1453,710
174941029394 ,1371,691
174941046515 ,1303,643
174941063919 ,1303,643
174941081029 ,1291,561
174941098298 ,1291,561
174941115394 ,1267,495
174941132737 ,1267,495
174941149870 ,1236,466
174941167049 ,1236,466
174941184131 ,1190,432
174941201261 ,1190,432
174941218519 ,1174,404
174941235638 ,1174,404
174941252757 ,1174,404
174941270248 ,1138,363
174941287458 ,1127,361
174941304396 ,1127,361
174941321400 ,1083,364
174941338288 ,1083,364
174941355610 ,1052,365
174941372827 ,1052,365
174941390016 ,980,370
174941406954 ,980,370
174941423959 ,912,374
174941441439 ,912,374
174941458625 ,880,380
174941475898 ,822,385
174941492889 ,822,385
174941510337 ,756,393
174941527860 ,756,393
174941545268 ,687,408
174941562576 ,687,408
174941579853 ,687,408
174941596953 ,580,444
174941613993 ,580,444
174941631465 ,542,452
174941648612 ,542,452
174941665790 ,492,475
174941682824 ,492,475
174941700144 ,485,473
174941717441 ,485,473
174941734454 ,487,464
174941751615 ,496,449
174941768968 ,496,449
174941786217 ,503,422
174941803365 ,503,422
174941820764 ,504,384
174941837715 ,504,384
174941854666 ,507,336
174941871561 ,507,336
174941889041 ,509,318
174941906321 ,509,318
174941923247 ,507,314
174941941076 ,507,314
174941958219 ,501,311
174941975143 ,501,311
174941992229 ,494,318
174942009520 ,494,318
174942026683 ,479,322
174942043624 ,479,322
174942060674 ,462,325
174942077854 ,462,325
174942094920 ,466,328
174942112325 ,466,328
174942129386 ,462,332
174942146587 ,462,332
174942163769 ,466,331
174942181009 ,466,327
174942197891 ,466,327
174942214901 ,465,302
174942231909 ,465,302
174942249186 ,467,280
174942266364 ,467,280
174942283617 ,467,280
174942300892 ,469,237
174942318144 ,469,237
174942335236 ,470,231
174942352570 ,470,231
174942369722 ,471,224
174942386860 ,471,224
174942404092 ,470,225
174942421022 ,470,225
174942438356 ,476,226
174942455379 ,491,227
174942472166 ,491,227
174942489087 ,525,228
174942506097 ,525,228
174942523236 ,565,230
174942540271 ,565,230
174942557219 ,632,227
174942574425 ,632,227
174942591611 ,693,205
174942608641 ,693,205
174942625935 ,796,200
174942643089 ,796,200
174942660126 ,796,200
174942677482 ,916,189
174942694570 ,984,187
174942711623 ,984,187
174942728688 ,1040,191
174942745565 ,1040,191
174942762743 ,1069,194
174942779835 ,1069,194
174942796988 ,1091,195
174942814015 ,1091,195
174942831184 ,1109,200
174942848625 ,1109,200
174942865798 ,1118,202
174942882798 ,1118,202
174942900003 ,1139,200
174942917310 ,1137,191
174942934468 ,1137,191
174942952199 ,1138,189
174942969338 ,1138,189
174942986843 ,1138,189
174943004058 ,1141,187
174943021066 ,1141,187
174943038511 ,1143,191
174943055611 ,1143,191
174943072760 ,1146,197
174943089725 ,1146,197
174943106698 ,1089,181
174943123810 ,1089,181
174943141261 ,1015,176
174943158371 ,961,180
174943175689 ,961,180
174943192723 ,914,189
174943209625 ,914,189
174943227174 ,852,194
174943244312 ,852,194
174943261515 ,801,195
174943278721 ,801,195
174943295889 ,720,199
174943313092 ,720,199
174943330163 ,660,204
174943347086 ,660,204
174943364128 ,660,204
174943381641 ,614,218
174943398652 ,614,218
174943416157 ,628,225
174943433341 ,639,228
174943450556 ,639,228
174943467662 ,639,232
174943485050 ,639,232
174943502262 ,657,245
174943519289 ,657,245
174943536491 ,683,254
174943553377 ,683,254
174943570409 ,698,275
174943587425 ,698,275
174943604443 ,719,289
174943621499 ,719,289
174943638830 ,745,299
174943656168 ,752,314
174943673202 ,752,314
174943690271 ,752,314
174943707300 ,744,375
174943724531 ,744,375
174943741844 ,745,443
174943759138 ,745,443
174943776297 ,764,557
174943793456 ,764,557
174943810464 ,782,558
174943827729 ,782,558
174943844920 ,800,555
174943861835 ,800,555
174943879343 ,825,522
174943896528 ,826,506
174943913700 ,826,506
174943930943 ,837,456
174943948158 ,837,456
174943965397 ,849,406
174943982598 ,849,406
174943999708 ,859,382
174944016681 ,859,382
174944033830 ,869,389
174944050873 ,869,389
174944068057 ,869,389
174944085122 ,907,408
174944102331 ,907,408
174944119418 ,935,408
174944136624 ,973,410
174944153788 ,973,410
174944170905 ,1027,413
174944188059 ,1027,413
174944205269 ,1056,412
174944222110 ,1056,412
174944239147 ,1066,405
174944256152 ,1066,405
174944273087 ,1064,376
174944290257 ,1064,376
174944307293 ,1065,366
174944324494 ,1065,366
174944341525 ,1061,360
