Record Time,Gaze Lost,X Coordinate,Y Coordinate
190059768175,Visible,483,0
190059786961,Visible,483,0
190059804007,Visible,483,0
190059820917,Visible,457,0
190059838239,Visible,457,0
190059855439,Visible,457,0
190059872307,Visible,457,0
190059889383,Visible,469,0
190059906761,Visible,469,0
190059923924,Visible,469,0
190059941018,Visible,469,0
190059958281,Visible,480,0
190059975729,Visible,480,0
190059992658,Visible,480,0
190100009774,Visible,468,182
190100026786,Visible,468,182
190100043792,Visible,468,182
190100060745,Visible,468,182
190100078008,Visible,468,182
190100094987,Lost,,
190100112413,Lost,,
190100129596,Lost,,
190100146829,Lost,,
190100164142,Lost,,
190100181246,Lost,,
190100198357,Lost,,
190100215642,Lost,,
190100232603,Lost,,
190100249601,Lost,,
190100266695,Lost,,
190100283800,Lost,,
190100301078,Lost,,
190100318238,Lost,,
190100335401,Lost,,
190100352277,Lost,,
190100369428,Lost,,
190100386443,Lost,,
190100403346,Lost,,
190100420874,Lost,,
190100437846,Lost,,
190100454926,Lost,,
190100472100,Lost,,
190100489004,Lost,,
190100506008,Lost,,
190100523260,Lost,,
190100540409,Lost,,
190100557558,Lost,,
190100574711,Lost,,
190100591739,Lost,,
190100608799,Lost,,
190100626106,Lost,,
190100643500,Lost,,
190100660533,Lost,,
190100677524,Lost,,
190100694370,Lost,,
190100711638,Lost,,
190100728704,Lost,,
190100745721,Lost,,
190100763162,Lost,,
190100780387,Lost,,
190100797436,Lost,,
190100814456,Lost,,
190100831588,Lost,,
190100848817,Lost,,
190100865711,Lost,,
190100882926,Lost,,
190100899829,Lost,,
190100916911,Lost,,
190100934017,Lost,,
190100950828,Lost,,
190100968111,Lost,,
190100984987,Lost,,
190101002022,Lost,,
190101019207,Lost,,
190101036196,Lost,,
190101053159,Lost,,
190101070188,Lost,,
190101087259,Lost,,
190101104423,Lost,,
190101121239,Lost,,
190101138540,Lost,,
190101155854,Lost,,
190101172990,Lost,,
190101190102,Lost,,
190101207263,Lost,,
190101224411,Lost,,
190101241800,Lost,,
190101258892,Lost,,
190101275921,Lost,,
190101293042,Lost,,
190101310141,Lost,,
190101327051,Lost,,
190101344181,Lost,,
190101361090,Lost,,
190101378184,Lost,,
190101395604,Lost,,
190101412480,Lost,,
190101429767,Lost,,
190101447243,Lost,,
190101464553,Lost,,
190101481568,Lost,,
190101498736,Lost,,
190101516102,Lost,,
190101533599,Lost,,
190101550716,Lost,,
190101567923,Lost,,
190101585065,Lost,,
190101601940,Lost,,
190101619150,Lost,,
190101636255,Lost,,
190101653307,Lost,,
190101670694,Lost,,
190101687758,Lost,,
190101704969,Visible,1439,309
190101721922,Visible,1443,309
190101738987,Visible,1443,309
190101756196,Visible,1447,303
190101773339,Visible,1447,303
190101790464,Visible,1454,294
190101807514,Visible,1454,294
190101824797,Visible,1462,283
190101841950,Visible,1462,283
190101858977,Visible,1462,283
190101876228,Visible,1478,264
190101893269,Visible,1489,256
190101910286,Visible,1489,256
190101927399,Visible,1505,263
190101944417,Visible,1505,263
190101961670,Visible,1257,254
190101978928,Visible,1257,254
190101996028,Visible,1276,255
190102013002,Visible,1276,255
190102030147,Visible,1279,261
190102047399,Visible,1279,261
190102064352,Visible,1297,270
190102081545,Visible,1297,270
190102098767,Visible,1311,279
190102115804,Visible,1351,302
190102133005,Visible,1351,302
190102150047,Visible,1367,325
190102167313,Visible,1367,325
190102184537,Visible,1417,348
190102201469,Visible,1417,348
190102218423,Visible,1417,348
190102235853,Visible,1470,380
190102252953,Visible,1470,380
190102269793,Visible,1548,371
190102286878,Visible,1548,371
190102303737,Visible,1593,373
190102320934,Visible,1593,373
190102338448,Visible,1595,374
190102355602,Visible,1595,374
190102372632,Visible,1594,380
190102390044,Visible,1590,390
190102407565,Visible,1590,390
190102424887,Visible,1594,396
190102441928,Visible,1594,396
190102458915,Visible,1653,398
190102475844,Visible,1653,398
190102493127,Visible,1738,413
190102510150,Visible,1738,413
190102527009,Visible,1817,426
190102544176,Visible,1817,426
190102561087,Visible,1817,426
190102578137,Visible,1919,431
190102595154,Visible,1919,430
190102612400,Visible,1919,430
190102629619,Visible,1919,429
190102646448,Visible,1919,429
190102663630,Visible,1919,427
190102680859,Visible,1919,427
190102697759,Visible,1919,428
190102714919,Visible,1919,428
190102732514,Visible,1919,426
190102749712,Visible,1919,426
190102767039,Visible,1919,430
190102783966,Visible,1919,430
190102801326,Visible,1919,434
