Record Time,Gaze Lost,X Coordinate,Y Coordinate
194310770052,Lost,,
194310788150,Lost,,
194310805155,Lost,,
194310822514,Lost,,
194310839626,Lost,,
194310857045,Lost,,
194310874177,Lost,,
194310891232,Lost,,
194310908148,Lost,,
194310925426,Lost,,
194310942652,Lost,,
194310959781,Lost,,
194310977069,Lost,,
194310994194,Lost,,
194311011257,Lost,,
194311028261,Lost,,
194311045381,Lost,,
194311062450,Lost,,
194311079828,Lost,,
194311096940,Lost,,
194311114150,Lost,,
194311131104,Lost,,
194311148356,Lost,,
194311165552,Lost,,
194311182474,Lost,,
194311199662,Lost,,
194311216520,Lost,,
194311233628,Lost,,
194311250695,Lost,,
194311268096,Lost,,
194311285269,Lost,,
194311302585,Lost,,
194311319776,Lost,,
194311336979,Lost,,
194311354083,Lost,,
194311371222,Lost,,
194311388399,Lost,,
194311405396,Lost,,
194311422590,Lost,,
194311440005,Lost,,
194311456974,Lost,,
194311474023,Lost,,
194311491062,Lost,,
194311508229,Lost,,
194311525261,Lost,,
194311542432,Lost,,
194311559548,Lost,,
194311576625,Lost,,
194311593947,Lost,,
194311611092,Lost,,
194311628375,Lost,,
194311645583,Lost,,
194311662624,Lost,,
194311679868,Lost,,
194311697004,Lost,,
194311714129,Lost,,
194311731070,Lost,,
194311748104,Lost,,
194311765372,Lost,,
194311782678,Lost,,
194311799713,Lost,,
194311816857,Lost,,
194311834012,Lost,,
194311851337,Lost,,
194311868519,Lost,,
194311885843,Lost,,
194311902975,Lost,,
194311919927,Lost,,
194311936976,Lost,,
194311954168,Lost,,
194311971271,Lost,,
194311988324,Lost,,
194312005328,Lost,,
194312022433,Lost,,
194312039406,Lost,,
194312056513,Lost,,
194312073741,Lost,,
194312090991,Lost,,
194312108011,Lost,,
194312125431,Lost,,
194312142393,Lost,,
194312159424,Lost,,
194312176316,Lost,,
194312193533,Lost,,
194312210605,Lost,,
194312227798,Lost,,
194312245081,Lost,,
194312262250,Lost,,
194312279461,Lost,,
194312296673,Lost,,
194312313717,Lost,,
194312330693,Lost,,
194312348133,Lost,,
194312365035,Lost,,
194312382100,Lost,,
194312399032,Lost,,
194312416252,Lost,,
194312433470,Lost,,
194312450587,Lost,,
194312467490,Lost,,
194312484808,Lost,,
194312501860,Lost,,
194312519108,Lost,,
194312536207,Lost,,
194312553204,Lost,,
194312570410,Lost,,
194312587610,Lost,,
194312604568,Lost,,
194312621517,Lost,,
194312638594,Lost,,
194312655761,Lost,,
194312672859,Lost,,
194312689970,Lost,,
194312707085,Lost,,
194312724183,Lost,,
194312741174,Lost,,
194312758185,Lost,,
194312775597,Lost,,
194312792814,Lost,,
194312809929,Lost,,
194312827319,Lost,,
194312844201,Lost,,
194312861248,Lost,,
194312878184,Lost,,
194312895459,Lost,,
194312912926,Lost,,
194312930301,Lost,,
194312947314,Lost,,
194312964417,Lost,,
194312981426,Lost,,
194312998524,Lost,,
194313015368,Lost,,
194313032530,Lost,,
194313049744,Lost,,
194313067283,Visible,901,0
194313084594,Visible,901,0
194313101558,Visible,870,0
194313118464,Visible,870,0
194313135866,Visible,877,0
194313153106,Visible,877,0
194313170148,Visible,1034,0
194313187517,Visible,1034,0
194313204829,Visible,1076,0
194313221776,Visible,1076,0
194313238787,Visible,1076,0
194313256122,Visible,1080,0
194313272975,Visible,1120,0
194313289820,Visible,1120,0
194313307091,Visible,1170,0
194313323922,Visible,1170,0
194313341101,Visible,1180,0
194313358161,Visible,1180,0
194313375618,Visible,1188,0
194313392948,Visible,1188,0
194313409856,Visible,1201,0
194313426913,Visible,1201,0
194313444118,Visible,1199,0
194313461217,Visible,1199,0
194313478435,Visible,1191,0
194313495447,Visible,1196,0
194313512480,Visible,1196,0
194313529780,Visible,1212,0
194313546778,Visible,1212,0
194313563893,Visible,1212,0
194313581073,Visible,1280,391
194313598057,Visible,1280,391
194313615231,Visible,1329,413
194313632142,Visible,1329,413
194313649143,Visible,1423,445
194313666121,Visible,1423,445
194313682976,Visible,1447,485
194313700080,Visible,1447,485
194313717108,Visible,1473,522
194313734196,Visible,1473,522
194313751216,Visible,1484,536
194313768277,Visible,1503,545
194313785567,Visible,1503,545
194313802839,Visible,1546,621
194313819997,Visible,1546,621
194313837004,Visible,1578,663
194313853972,Visible,1578,663
194313871002,Visible,1619,691
194313888151,Visible,1619,691
194313905273,Visible,1685,738
194313922222,Visible,1685,738
194313939360,Visible,1685,738
194313956433,Visible,1728,805
194313973749,Visible,1728,805
194313990623,Visible,1744,828
194314007709,Visible,1786,818
194314024933,Visible,1786,818
194314042113,Visible,1789,821
194314059130,Visible,1789,821
194314076083,Visible,1764,803
194314093716,Visible,1764,803
194314110733,Visible,1767,804
194314128045,Visible,1767,804
194314145131,Visible,1758,807
194314162164,Visible,1758,807
194314179360,Visible,1756,815
194314196735,Visible,1756,815
194314213820,Visible,1753,830
194314231219,Visible,1733,831
194314248487,Visible,1733,831
194314265686,Visible,1733,831
194314283075,Visible,1728,855
194314299970,Visible,1728,855
194314317143,Visible,1721,874
194314334294,Visible,1721,874
194314351382,Visible,1711,872
194314368259,Visible,1711,872
194314385351,Visible,1700,871
194314402604,Visible,1700,871
194314419960,Visible,1703,875
194314437075,Visible,1703,875
194314454032,Visible,1705,882
194314471134,Visible,1705,882
194314488368,Visible,1698,888
194314505213,Visible,1698,888
194314522108,Visible,1698,904
194314539042,Visible,1700,930
194314555990,Visible,1700,930
