Record Time,Gaze Lost,X Coordinate,Y Coordinate
201127769817,Visible,1017,481
201127788400,Visible,1014,478
201127805623,Visible,1014,478
201127822820,Visible,1015,478
201127840266,Visible,1015,478
201127857701,Visible,1015,476
201127874997,Visible,1015,476
201127892035,Visible,1013,477
201127909215,Visible,1013,480
201127926464,Visible,1013,480
201127943566,Visible,1013,482
201127960686,Visible,1013,482
201127977726,Visible,1016,481
201127994600,Visible,1016,481
201128011650,Visible,1020,481
201128028678,Visible,1020,481
201128045816,Visible,1020,481
201128062963,Visible,1030,482
201128079934,Visible,1030,482
201128097427,Visible,1036,482
201128114649,Visible,1038,483
201128131771,Visible,1038,483
201128149037,Visible,1040,484
201128165940,Visible,1040,484
201128183259,Visible,1040,493
201128200594,Visible,1040,493
201128217868,Visible,1043,498
201128235101,Visible,1043,498
201128252301,Visible,1043,505
201128269125,Visible,1043,505
201128285925,Visible,1047,514
201128302838,Visible,1047,514
201128320053,Visible,1046,521
201128337241,Visible,1046,521
201128354262,Visible,1047,525
201128371383,Visible,1047,525
201128388460,Visible,1047,523
201128405262,Visible,1047,523
201128422237,Visible,1048,520
201128439253,Visible,1048,520
201128456483,Visible,1047,519
201128473540,Visible,1047,519
201128490590,Visible,1049,519
201128507424,Visible,1049,519
201128524437,Visible,1048,518
201128541488,Visible,1048,518
201128558507,Visible,1049,517
201128575726,Visible,1049,517
201128592942,Visible,1050,517
201128609964,Visible,1050,517
201128627174,Visible,1051,515
201128644297,Visible,1051,515
201128661217,Visible,1051,515
201128678177,Visible,1056,565
201128695188,Visible,1056,565
201128712262,Visible,1056,565
201128729356,Visible,1056,565
201128746376,Visible,1056,565
201128763519,Visible,1056,564
201128780789,Visible,1056,564
201128797741,Visible,1061,612
201128814867,Visible,1061,612
201128831782,Visible,1079,939
201128848804,Visible,1079,939
201128865997,Visible,1049,954
201128883208,Visible,1009,946
201128900259,Visible,1009,946
201128917744,Visible,941,909
201128934977,Visible,941,909
201128952158,Visible,910,857
201128969204,Visible,910,857
201128986161,Visible,887,806
201129003189,Visible,887,806
201129020169,Visible,857,756
201129037132,Visible,857,756
201129054111,Visible,840,717
201129071398,Visible,840,717
201129088664,Visible,832,699
201129105879,Visible,832,699
201129123080,Visible,832,699
201129139978,Visible,843,674
201129157108,Visible,842,657
201129174239,Visible,842,657
201129191409,Visible,845,639
201129208426,Visible,845,639
201129225533,Visible,849,624
201129242638,Visible,849,624
201129259687,Visible,853,605
201129276844,Visible,853,605
201129293784,Visible,852,590
201129310911,Visible,852,590
201129328208,Visible,852,580
201129345315,Visible,852,580
201129362382,Visible,853,570
201129379406,Visible,861,566
201129396444,Visible,861,566
201129413707,Visible,880,567
201129430969,Visible,880,567
201129448187,Visible,880,567
201129465394,Visible,897,558
201129482443,Visible,897,558
201129499256,Visible,903,553
201129516422,Visible,903,553
201129533541,Visible,908,552
201129550607,Visible,908,552
201129567948,Visible,912,553
201129585118,Visible,912,553
201129602511,Visible,910,547
201129619537,Visible,910,547
201129636436,Visible,910,547
201129653922,Visible,915,545
201129670874,Visible,915,545
201129688172,Visible,918,539
201129705620,Visible,918,539
201129723032,Visible,914,532
201129739982,Visible,914,532
201129757349,Visible,916,519
201129774640,Visible,916,519
201129791691,Visible,916,510
201129809002,Visible,916,510
201129826021,Visible,916,510
201129843096,Visible,927,478
201129860192,Visible,918,461
201129877123,Visible,918,461
201129894275,Visible,919,459
201129911344,Visible,919,459
201129928356,Visible,918,456
201129945690,Visible,918,456
201129962840,Visible,916,454
201129980101,Visible,916,454
201129997288,Visible,894,455
201130014536,Visible,894,455
201130031661,Visible,879,456
201130048844,Visible,879,456
201130065995,Visible,856,589
201130083194,Visible,848,592
201130100079,Visible,848,592
201130117165,Visible,822,591
201130134356,Visible,822,591
201130151616,Visible,822,591
201130168944,Visible,784,593
201130186118,Visible,784,593
201130203225,Visible,781,596
201130220252,Visible,781,596
201130237288,Visible,771,596
201130254422,Visible,771,596
201130271560,Visible,740,604
201130288545,Visible,740,604
201130305644,Visible,711,629
201130323177,Visible,721,684
201130340378,Visible,721,684
201130357623,Visible,692,728
201130374802,Visible,692,728
201130392383,Visible,620,794
201130409732,Visible,620,794
201130426850,Visible,609,848
201130444025,Visible,609,848
201130461221,Visible,588,877
201130478436,Visible,588,877
201130495471,Visible,546,931
201130512753,Visible,546,931
201130529815,Visible,546,931
201130546713,Visible,524,951
201130563919,Visible,515,951
201130580859,Visible,515,951
201130597925,Visible,538,1026
201130615181,Visible,538,1026
201130632355,Visible,513,1070
201130649397,Visible,513,1070
201130666559,Visible,508,1079
201130683708,Visible,508,1079
201130701009,Visible,506,1079
201130718232,Visible,506,1079
201130735332,Visible,494,1079
201130752591,Visible,494,1079
