Record Time,Gaze Lost,X Coordinate,Y Coordinate
184434532813,Visible,1830,878
184434550134,Visible,1830,878
184434567252,Visible,1830,878
184434584152,Visible,1857,875
184434601252,Visible,1883,873
184434618371,Visible,1883,873
184434635417,Visible,1883,873
184434652588,Visible,1919,874
184434669741,Visible,1919,868
184434687035,Visible,1919,868
184434704166,Visible,1919,852
184434721487,Visible,1919,852
184434738686,Visible,1919,841
184434755826,Visible,1919,841
184434772829,Visible,1919,828
184434789819,Visible,1919,820
184434806811,Visible,1919,820
184434824048,Visible,1919,802
184434841407,Visible,1919,802
184434858655,Visible,1916,780
184434875814,Visible,1916,780
184434892898,Visible,1916,780
184434910019,Visible,1914,766
184434927214,Visible,1914,766
184434944628,Visible,1910,773
184434961740,Visible,1910,773
184434978930,Visible,1908,769
184434995769,Visible,1908,769
184435013057,Visible,1909,771
184435030131,Visible,1909,772
184435047285,Visible,1909,772
184435064401,Visible,1909,772
184435081569,Visible,1908,771
184435098745,Visible,992,706
184435115978,Visible,992,706
184435132938,Visible,972,688
184435150264,Visible,972,688
184435167428,Visible,986,661
184435184588,Visible,986,661
184435201817,Visible,994,585
184435218985,Visible,994,585
184435236445,Visible,988,523
184435253757,Visible,988,523
184435270939,Visible,992,462
184435287843,Visible,992,462
184435305040,Visible,997,443
184435322117,Visible,997,443
184435339298,Visible,990,424
184435356250,Visible,990,424
184435373352,Visible,987,396
184435390660,Visible,987,396
184435407859,Visible,990,388
184435425186,Visible,990,388
184435442267,Visible,993,377
184435459245,Visible,993,377
184435476529,Visible,1000,357
184435493802,Visible,1000,357
184435511495,Visible,1003,335
184435528699,Visible,1003,335
184435545912,Visible,1011,325
184435563043,Visible,1013,316
184435580198,Visible,1013,316
184435597388,Visible,1013,316
184435614672,Visible,998,316
184435631840,Visible,998,316
184435648784,Visible,963,316
184435665866,Visible,963,316
184435682921,Visible,910,315
184435700017,Visible,910,315
184435716905,Visible,788,304
184435733937,Visible,788,304
184435750989,Visible,721,294
184435768351,Visible,625,270
184435785678,Visible,625,270
184435802940,Visible,499,245
184435820363,Visible,499,245
184435837537,Visible,417,225
184435854802,Visible,417,225
184435871765,Visible,415,200
184435888900,Visible,415,200
184435905919,Visible,409,166
184435923259,Visible,409,166
184435940223,Visible,421,154
184435957984,Visible,421,154
184435975141,Visible,421,154
184435992127,Visible,438,133
184436009455,Visible,435,150
184436026666,Visible,435,150
184436043872,Visible,431,150
184436060884,Visible,431,150
184436077870,Visible,423,149
184436095188,Visible,423,149
184436112324,Visible,417,149
184436129682,Visible,417,149
184436146601,Visible,416,149
184436163881,Visible,416,149
184436180959,Visible,349,198
184436198318,Visible,349,198
184436215277,Visible,341,232
184436232424,Visible,351,235
184436249644,Visible,351,235
184436266732,Visible,364,229
184436284212,Visible,364,229
184436301161,Visible,364,229
184436318430,Visible,327,227
184436335667,Visible,327,227
184436352548,Visible,289,240
184436369760,Visible,289,240
184436386720,Lost,,
184436403774,Lost,,
184436420928,Lost,,
184436437894,Lost,,
184436455479,Lost,,
184436472816,Lost,,
184436490064,Lost,,
184436507088,Lost,,
184436523978,Lost,,
184436540924,Lost,,
184436558363,Lost,,
184436575353,Lost,,
184436592760,Lost,,
184436610135,Lost,,
184436627492,Lost,,
184436644442,Lost,,
184436661429,Lost,,
184436678374,Lost,,
184436695468,Lost,,
184436712575,Lost,,
184436729644,Lost,,
184436746823,Lost,,
184436764219,Lost,,
184436781328,Lost,,
184436798652,Lost,,
184436815746,Lost,,
184436833260,Lost,,
184436850391,Lost,,
184436867402,Lost,,
184436884394,Lost,,
184436901545,Lost,,
184436918975,Lost,,
184436936192,Lost,,
184436953342,Lost,,
184436970660,Lost,,
184436987610,Lost,,
184437004680,Lost,,
184437022078,Lost,,
184437039156,Lost,,
184437056106,Lost,,
184437073611,Lost,,
184437090739,Lost,,
184437107949,Lost,,
184437125153,Lost,,
184437142195,Lost,,
184437159538,Lost,,
