Record Time,X Coordinate,Y Coordinate
201834209487 ,1805,579
201834226501 ,1805,579
201834243387 ,1809,577
201834260404 ,1811,576
201834277404 ,1811,576
201834294725 ,1814,577
201834311968 ,1814,577
201834328931 ,1816,576
201834346085 ,1816,576
201834363332 ,1818,575
201834380227 ,1818,575
201834397558 ,1817,577
201834414745 ,1817,577
201834431996 ,1817,576
201834449190 ,1817,576
201834466289 ,1821,574
201834483563 ,1810,579
201834500638 ,1810,579
201834517830 ,1775,587
201834535224 ,1775,587
201834552393 ,1745,589
201834570057 ,1745,589
201834587364 ,1745,589
201834604404 ,1505,626
201834621437 ,1505,626
201834638466 ,1021,276
201834655453 ,1021,276
201834672714 ,728,308
201834689809 ,728,308
201834706879 ,678,294
201834724081 ,650,285
201834741324 ,650,285
201834758424 ,626,270
201834775405 ,626,270
201834792443 ,579,249
201834809635 ,579,249
201834827064 ,531,227
201834844097 ,531,227
201834861292 ,476,210
201834878452 ,476,210
201834895453 ,435,154
201834912598 ,435,154
201834929854 ,435,154
201834946858 ,398,104
201834964045 ,367,78
201834981258 ,367,78
201834998347 ,377,76
201835015563 ,377,76
201835032533 ,366,50
201835049751 ,366,50
201835066802 ,373,34
201835083737 ,373,34
201835100790 ,355,7
201835118027 ,355,7
201835134942 ,336,7
201835152159 ,336,7
201835169011 ,299,6
201835186329 ,276,0
201835203466 ,276,0
201835220520 ,258,0
201835237370 ,258,0
201835254378 ,224,0
201835271432 ,224,0
201835288650 ,224,0
201835305869 ,227,0
201835323087 ,227,0
201835340073 ,232,0
201835357375 ,232,0
201835374484 ,233,1
201835391878 ,233,1
201835408892 ,235,12
201835426081 ,237,18
201835443398 ,237,18
201835460617 ,239,31
201835477561 ,239,31
201835494882 ,252,44
201835511870 ,252,44
201835529054 ,269,42
201835545900 ,269,42
201835563073 ,288,56
201835580169 ,288,56
201835597279 ,309,155
201835614346 ,309,155
201835631550 ,309,155
201835648694 ,353,269
201835665807 ,353,269
201835683234 ,363,248
201835700253 ,363,248
201835717148 ,366,227
201835734192 ,362,216
201835751159 ,362,216
201835768683 ,358,205
201835785860 ,358,205
201835803015 ,356,187
201835820301 ,356,187
201835837409 ,352,169
201835854566 ,352,169
201835871572 ,348,155
201835888775 ,348,155
201835905703 ,342,144
201835922794 ,341,135
201835939881 ,341,135
201835957383 ,373,124
201835974475 ,373,124
201835991579 ,373,124
201836009044 ,389,116
201836026555 ,389,116
201836043948 ,405,114
201836061015 ,405,114
201836078321 ,414,103
201836095507 ,414,103
201836112729 ,425,96
201836129849 ,445,91
201836146973 ,445,91
201836164371 ,451,90
201836181704 ,451,90
201836198905 ,455,87
201836216130 ,455,87
201836233398 ,476,78
201836250384 ,476,78
201836267596 ,499,73
201836284993 ,499,73
201836302001 ,518,69
201836319088 ,518,69
201836336139 ,518,69
201836353487 ,549,62
201836370875 ,558,59
201836388107 ,558,59
201836405060 ,573,51
201836422020 ,573,51
201836438992 ,595,47
201836456105 ,595,47
201836473332 ,623,41
201836490403 ,623,41
201836507731 ,632,40
201836524749 ,632,40
201836541809 ,662,32
201836559215 ,662,32
201836576344 ,910,0
201836593429 ,940,0
201836610840 ,940,0
201836628052 ,957,0
201836645220 ,957,0
201836662276 ,970,0
201836679730 ,970,0
201836697319 ,970,0
201836714891 ,976,0
201836732039 ,976,0
201836749228 ,981,0
201836766380 ,981,0
201836783300 ,983,0
201836800690 ,983,0
201836817870 ,1038,186
201836834879 ,1042,194
201836851963 ,1042,194
201836868990 ,1042,182
201836885867 ,1042,182
201836902875 ,1039,173
201836919937 ,1039,173
201836936991 ,1097,441
201836953964 ,1097,441
201836971199 ,1062,456
201836988313 ,1062,456
201837005218 ,1039,454
201837022280 ,1039,454
201837039643 ,1039,454
201837056986 ,1022,446
201837074182 ,1030,443
201837091097 ,1030,443
201837108221 ,1033,442
201837125470 ,1033,442
201837142705 ,1033,444
201837160011 ,1033,444
201837177374 ,1036,444
201837194430 ,1036,444
201837211767 ,1044,443
201837228740 ,1044,443
201837245887 ,1062,436
201837262945 ,1062,436
201837280245 ,1086,426
201837297342 ,1115,412
201837314244 ,1115,412
201837331309 ,1142,403
201837348655 ,1142,403
201837365861 ,1163,395
201837382865 ,1163,395
201837399872 ,1163,395
201837417056 ,1125,390
201837434170 ,1125,390
201837451367 ,394,559
201837468372 ,394,559
201837485577 ,387,552
201837502873 ,387,552
201837519791 ,366,551
201837536952 ,366,551
201837554193 ,350,548
201837571089 ,344,530
201837588086 ,344,530
201837605438 ,340,516
201837622597 ,340,516
201837639582 ,339,502
201837656558 ,339,502
201837673760 ,338,499
201837690606 ,338,499
201837707688 ,335,503
