Record Time,X Coordinate,Y Coordinate
184434532813 ,1830,878
184434550134 ,1830,878
184434567252 ,1830,878
184434584152 ,1857,875
184434601252 ,1883,873
184434618371 ,1883,873
184434635417 ,1883,873
184434652588 ,1919,874
184434669741 ,1919,868
184434687035 ,1919,868
184434704166 ,1919,852
184434721487 ,1919,852
184434738686 ,1919,841
184434755826 ,1919,841
184434772829 ,1919,828
184434789819 ,1919,820
184434806811 ,1919,820
184434824048 ,1919,802
184434841407 ,1919,802
184434858655 ,1916,780
184434875814 ,1916,780
184434892898 ,1916,780
184434910019 ,1914,766
184434927214 ,1914,766
184434944628 ,1910,773
184434961740 ,1910,773
184434978930 ,1908,769
184434995769 ,1908,769
184435013057 ,1909,771
184435030131 ,1909,772
184435047285 ,1909,772
184435064401 ,1909,772
184435081569 ,1908,771
184435098745 ,992,706
184435115978 ,992,706
184435132938 ,972,688
184435150264 ,972,688
184435167428 ,986,661
184435184588 ,986,661
184435201817 ,994,585
184435218985 ,994,585
184435236445 ,988,523
184435253757 ,988,523
184435270939 ,992,462
184435287843 ,992,462
184435305040 ,997,443
184435322117 ,997,443
184435339298 ,990,424
184435356250 ,990,424
184435373352 ,987,396
184435390660 ,987,396
184435407859 ,990,388
184435425186 ,990,388
184435442267 ,993,377
184435459245 ,993,377
184435476529 ,1000,357
184435493802 ,1000,357
184435511495 ,1003,335
184435528699 ,1003,335
184435545912 ,1011,325
184435563043 ,1013,316
184435580198 ,1013,316
184435597388 ,1013,316
184435614672 ,998,316
184435631840 ,998,316
184435648784 ,963,316
184435665866 ,963,316
184435682921 ,910,315
184435700017 ,910,315
184435716905 ,788,304
184435733937 ,788,304
184435750989 ,721,294
184435768351 ,625,270
184435785678 ,625,270
184435802940 ,499,245
184435820363 ,499,245
184435837537 ,417,225
184435854802 ,417,225
184435871765 ,415,200
184435888900 ,415,200
184435905919 ,409,166
184435923259 ,409,166
184435940223 ,421,154
184435957984 ,421,154
184435975141 ,421,154
184435992127 ,438,133
184436009455 ,435,150
184436026666 ,435,150
184436043872 ,431,150
184436060884 ,431,150
184436077870 ,423,149
184436095188 ,423,149
184436112324 ,417,149
184436129682 ,417,149
184436146601 ,416,149
184436163881 ,416,149
184436180959 ,349,198
184436198318 ,349,198
184436215277 ,341,232
184436232424 ,351,235
184436249644 ,351,235
184436266732 ,364,229
184436284212 ,364,229
184436301161 ,364,229
184436318430 ,327,227
184436335667 ,327,227
184436352548 ,289,240
184436369760 ,289,240
184436386720 ,,
184436403774 ,,
184436420928 ,,
184436437894 ,,
184436455479 ,,
184436472816 ,,
184436490064 ,,
184436507088 ,,
