Record Time,Gaze Lost,X Coordinate,Y Coordinate
174907769760,Visible,990,477
174907788554,Visible,947,486
174907806024,Visible,947,486
174907823200,Visible,947,486
174907840159,Visible,868,496
174907857505,Visible,868,496
174907874742,Visible,770,494
174907891951,Visible,770,494
174907909111,Visible,687,495
174907926109,Visible,628,498
174907942989,Visible,628,498
174907960071,Visible,556,497
174907977202,Visible,556,497
174907994305,Visible,526,496
174908011417,Visible,526,496
174908028823,Visible,865,487
174908046052,Visible,865,487
174908063050,Visible,886,483
174908080079,Visible,886,483
174908097299,Visible,900,480
174908114563,Visible,900,480
174908131782,Visible,902,476
174908149166,Visible,902,476
174908166059,Visible,941,469
174908182950,Visible,941,469
174908200335,Visible,972,465
174908217578,Visible,972,465
174908234575,Visible,997,462
174908251475,Visible,997,462
174908268584,Visible,1046,454
174908286104,Visible,1046,454
174908303432,Visible,1073,448
174908320636,Visible,1073,448
174908337474,Visible,1080,444
174908354357,Visible,1080,444
174908371544,Visible,1095,442
174908388362,Visible,1095,442
174908405669,Visible,1119,439
174908422879,Visible,1147,431
174908440175,Visible,1147,431
174908457426,Visible,1171,425
174908474622,Visible,1171,425
174908491607,Visible,1182,422
174908508686,Visible,1182,422
174908525834,Visible,1182,422
174908542780,Visible,1207,416
174908559952,Visible,1207,416
174908576974,Visible,1217,413
174908594036,Visible,1217,413
174908611030,Visible,1218,415
174908628218,Visible,1218,415
174908645374,Visible,1220,416
174908662341,Visible,1219,415
174908679279,Visible,1219,415
174908696295,Visible,1216,417
174908713673,Visible,1216,417
174908731309,Visible,1220,416
174908748619,Visible,1220,416
174908765971,Visible,1222,417
174908783132,Visible,1222,417
174908800190,Visible,1222,418
174908817211,Visible,1222,418
174908834155,Visible,1224,419
174908851341,Visible,1224,419
174908868749,Visible,1224,419
174908885968,Visible,1228,423
174908903196,Visible,1229,425
174908920324,Visible,1229,425
174908937733,Visible,1229,425
174908954881,Visible,1229,425
174908972135,Visible,1231,428
174908989157,Visible,1231,428
174909006375,Visible,1230,460
174909023413,Visible,1230,460
174909040505,Visible,1235,504
174909057954,Visible,1235,504
174909074934,Visible,1238,535
174909091939,Visible,1238,535
174909108963,Visible,1240,568
174909126105,Visible,1243,627
174909143130,Visible,1243,627
174909160451,Visible,1243,685
174909177544,Visible,1243,685
174909194807,Visible,1255,720
174909211898,Visible,1255,720
174909229050,Visible,1255,720
174909245870,Visible,1258,774
174909263126,Visible,1258,774
174909280115,Visible,1260,796
174909297428,Visible,1260,796
174909314610,Visible,1265,818
174909331651,Visible,1265,818
174909349128,Visible,1272,838
174909366276,Visible,1293,847
174909383558,Visible,1293,847
174909401036,Visible,1331,845
174909418298,Visible,1331,845
174909435429,Visible,1379,840
174909452650,Visible,1379,840
174909469711,Visible,1415,837
174909486629,Visible,1415,837
174909503985,Visible,1436,833
174909521094,Visible,1436,833
174909538167,Visible,1464,835
174909555254,Visible,1464,835
174909572533,Visible,1464,835
174909589627,Visible,1495,838
174909606993,Visible,1501,838
174909624098,Visible,1501,838
174909641585,Visible,1508,837
174909659044,Visible,1508,837
174909676274,Visible,1530,836
174909693567,Visible,1530,836
174909710958,Visible,1540,837
174909728401,Visible,1540,837
174909745470,Visible,1534,842
174909762918,Visible,1534,842
174909780081,Visible,1530,849
174909797192,Visible,1530,849
174909814375,Visible,1526,850
174909831739,Visible,1522,853
174909849094,Visible,1522,853
174909866152,Visible,1522,860
174909883172,Visible,1522,860
174909900252,Visible,1521,861
174909917344,Visible,1521,861
174909934331,Visible,1521,861
174909951678,Visible,1519,863
174909968537,Visible,1519,863
174909986049,Visible,1518,863
174910003332,Visible,1518,863
174910020746,Visible,1517,867
174910038327,Visible,1516,868
174910055322,Visible,1516,868
174910072475,Visible,1515,872
174910089529,Visible,1515,872
174910106729,Visible,1516,876
174910123746,Visible,1516,876
174910140701,Visible,1521,890
174910158033,Visible,1521,890
174910175071,Visible,1523,903
174910192045,Visible,1523,903
174910209086,Visible,1522,915
174910226320,Visible,1522,915
174910243616,Visible,1521,925
174910260642,Visible,1521,925
174910277701,Visible,1523,924
174910294609,Visible,1523,924
174910311853,Visible,1523,927
174910329020,Visible,1523,927
174910346208,Visible,1525,938
174910363219,Visible,1525,938
174910380391,Visible,1527,938
174910397650,Visible,1527,938
174910414765,Visible,1528,940
174910432094,Visible,1528,940
174910449029,Visible,1533,945
174910465997,Visible,1533,945
174910483063,Visible,1532,952
174910500269,Visible,1532,952
174910517327,Visible,1535,956
174910534361,Visible,1536,955
174910551635,Visible,1536,955
174910568964,Visible,1535,952
174910586007,Visible,1535,952
174910603349,Visible,1535,952
174910620771,Visible,1535,952
174910637970,Visible,1535,952
174910655002,Visible,1536,953
174910672114,Visible,1536,953
174910689392,Visible,1536,953
174910706395,Visible,1536,953
174910723574,Visible,1536,953
174910740673,Visible,1536,953
174910757644,Visible,1539,969
174910774916,Visible,1542,968
174910792156,Visible,1542,968
174910809231,Visible,1546,977
174910826250,Visible,1546,977
174910843215,Visible,1543,987
174910860141,Visible,1543,987
174910877476,Visible,1543,1002
174910894504,Visible,1543,1002
174910911529,Visible,1525,1012
174910928742,Visible,1525,1012
174910945721,Visible,1508,1009
174910962733,Visible,1508,1009
174910980114,Visible,1508,1009
174910997134,Visible,1492,1020
174911014478,Visible,1484,1033
174911031361,Visible,1484,1033
174911048501,Visible,1475,1049
174911065598,Visible,1475,1049
174911082551,Visible,1453,1047
174911099785,Visible,1453,1047
174911116612,Visible,1440,1079
174911133528,Visible,1440,1079
174911150710,Visible,1424,1079
174911167931,Visible,1424,1079
174911185663,Visible,1416,1079
174911202815,Visible,1416,1079
174911219983,Visible,1415,1079
174911237307,Visible,1406,1079
174911254591,Visible,1406,1079
174911271622,Visible,1387,1079
174911288573,Visible,1387,1079
174911305926,Visible,1375,1079
174911322879,Visible,1375,1079
174911340170,Visible,1375,1079
174911357450,Visible,1376,1036
174911374896,Visible,1376,1036
174911391854,Visible,1375,1030
174911409036,Visible,1375,1030
174911426126,Visible,1375,1025
174911443137,Visible,1375,1025
174911460158,Visible,1385,1022
174911477181,Visible,1385,1022
174911494194,Visible,1394,1021
174911511218,Visible,1394,1021
174911528229,Visible,1410,1017
174911545248,Visible,1415,1018
174911562363,Visible,1415,1018
174911579550,Visible,1413,1017
174911596567,Visible,1413,1017
174911613765,Visible,1418,1014
174911631186,Visible,1418,1014
174911648357,Visible,1426,1008
174911665508,Visible,1426,1008
174911682648,Visible,1426,1008
174911699660,Visible,1432,996
174911717157,Visible,1449,992
174911734252,Visible,1449,992
174911751678,Visible,1447,978
174911768760,Visible,1447,978
174911785946,Visible,1441,965
174911802920,Visible,1441,965
174911820136,Visible,1442,959
174911837058,Visible,1442,959
174911853976,Visible,1449,932
174911871243,Visible,1449,932
174911888175,Visible,1443,910
174911905441,Visible,1443,910
174911922490,Visible,1437,893
174911939510,Visible,1437,893
174911956654,Visible,1430,885
174911974010,Visible,1432,874
174911991139,Visible,1432,874
174912008332,Visible,1435,877
174912025532,Visible,1435,877
174912042601,Visible,1435,877
174912060105,Visible,1434,877
174912077272,Visible,1434,877
174912094421,Visible,1435,877
174912111794,Visible,1435,877
174912129208,Visible,1434,877
174912146430,Visible,1434,877
174912163631,Visible,1435,878
174912180843,Visible,1435,878
174912197913,Visible,1425,880
174912215220,Visible,1433,880
174912232471,Visible,1433,880
174912249584,Visible,1430,881
174912266612,Visible,1430,881
174912284390,Visible,1432,882
174912301597,Visible,1432,882
174912318917,Visible,1438,884
174912336138,Visible,1438,884
174912353510,Visible,1444,885
174912370595,Visible,1444,885
174912387720,Visible,1444,885
174912404932,Visible,1446,883
174912422293,Visible,1446,880
174912439240,Visible,1446,880
174912456606,Visible,1445,878
174912473757,Visible,1445,878
174912490836,Visible,1445,878
174912507849,Visible,1445,878
174912525063,Visible,1443,877
174912542248,Visible,1443,877
174912559365,Visible,1434,867
174912576736,Visible,1434,867
174912593922,Visible,1421,864
174912611143,Visible,1421,864
174912628342,Visible,1406,861
174912646152,Visible,1394,863
174912663512,Visible,1394,863
174912680627,Visible,1377,857
174912697660,Visible,1377,857
174912714944,Visible,1376,852
174912732401,Visible,1376,852
174912749412,Visible,1376,852
174912767159,Visible,1378,852
174912784462,Visible,1378,852
174912801469,Visible,1376,848
174912818598,Visible,1376,848
174912835876,Visible,1380,834
