Record Time,Gaze Lost,X Coordinate,Y Coordinate
191354763428,Visible,1125,523
191354782444,Visible,1129,488
191354799568,Visible,1129,488
191354816902,Visible,1138,458
191354834002,Visible,1138,458
191354851043,Visible,1139,452
191354868290,Visible,1139,452
191354885470,Visible,1140,441
191354902589,Visible,1141,428
191354919593,Visible,1141,428
191354936864,Visible,1143,417
191354953818,Visible,1143,417
191354970789,Visible,1146,412
191354988076,Visible,1146,412
191355005097,Visible,1144,425
191355021922,Visible,1144,425
191355039252,Visible,1124,454
191355056464,Visible,1124,454
191355073638,Visible,1124,454
191355090782,Visible,1142,452
191355108008,Visible,1142,452
191355125155,Visible,1168,454
191355142745,Visible,1177,455
191355160026,Visible,1177,455
191355177188,Visible,1178,452
191355194496,Visible,1178,452
191355211524,Visible,1147,477
191355228573,Visible,1147,477
191355245451,Visible,1118,521
191355262472,Visible,1118,521
191355279720,Visible,1107,565
191355296735,Visible,1107,565
191355313775,Visible,1079,607
191355330929,Visible,1079,607
191355347897,Visible,1052,627
191355364930,Visible,990,631
191355382289,Visible,990,631
191355399403,Visible,990,631
191355416633,Visible,872,625
191355433492,Visible,872,625
191355450516,Visible,766,620
191355467646,Visible,766,620
191355484929,Visible,727,603
191355502139,Visible,727,603
191355519272,Visible,713,592
191355536105,Visible,713,592
191355553278,Visible,707,574
191355570580,Visible,707,574
191355587866,Visible,706,574
191355604947,Visible,705,575
191355622079,Visible,705,575
191355639227,Visible,711,570
191355656447,Visible,711,570
191355673521,Visible,736,597
191355690686,Visible,736,597
191355707977,Visible,779,659
191355725016,Visible,779,659
191355742447,Visible,863,718
191355759336,Visible,863,718
191355776347,Visible,863,718
191355793677,Visible,966,835
191355810896,Visible,966,835
191355828212,Visible,1021,850
191355845243,Visible,1041,843
191355862460,Visible,1041,843
191355879476,Visible,1044,865
191355896503,Visible,1044,865
191355913663,Visible,1073,872
191355930574,Visible,1073,872
191355947600,Visible,1085,877
191355964639,Visible,1085,877
191355981582,Visible,1083,876
191355998784,Visible,1083,876
191356016224,Visible,1090,876
191356033252,Visible,1090,876
191356050549,Visible,1123,883
191356067562,Visible,1123,883
191356084386,Visible,1199,897
191356101624,Visible,1199,897
191356118771,Visible,1199,897
191356135911,Visible,1300,928
191356153370,Visible,1368,970
191356170372,Visible,1368,970
191356187451,Visible,1420,1001
191356204404,Visible,1420,1001
191356221388,Visible,1438,1079
191356238530,Visible,1438,1079
191356255738,Visible,1465,1079
191356272755,Visible,1465,1079
191356289928,Visible,1527,1079
191356307035,Visible,1527,1079
191356324000,Visible,1583,1079
191356341164,Visible,1672,1079
191356358348,Visible,1672,1079
191356375357,Visible,1719,1079
191356392331,Visible,1719,1079
191356409425,Visible,1791,1079
191356426765,Visible,1791,1079
191356443680,Visible,1812,1079
191356460760,Visible,1812,1079
191356477738,Visible,1812,1079
191356494776,Visible,1909,1079
191356512040,Visible,1909,1079
191356528973,Visible,1892,1079
191356546307,Visible,1892,1079
191356563536,Visible,1896,1079
191356580984,Visible,1897,1079
191356598169,Visible,1897,1079
191356615469,Visible,1885,1079
191356632422,Visible,1885,1079
191356649454,Visible,1884,1079
191356666734,Visible,1884,1079
191356684136,Visible,1872,1079
191356701281,Visible,1872,1079
191356718439,Visible,1863,1079
191356735495,Visible,1863,1079
191356752714,Visible,1845,1079
191356769701,Visible,1845,1079
191356786847,Visible,1820,1079
191356803902,Visible,1820,1079
191356821069,Visible,1820,1079
191356837993,Visible,1804,1079
191356855139,Visible,1806,1079
191356872088,Visible,1806,1079
191356888903,Visible,1813,1079
191356906250,Visible,1813,1079
191356923633,Visible,1821,1079
191356940762,Visible,1821,1079
191356957722,Visible,1809,1079
191356974848,Visible,1809,1079
191356991916,Visible,1796,1079
191357009070,Visible,1796,1079
191357026239,Visible,1788,1079
191357043285,Visible,1788,1079
191357060406,Visible,1787,1079
191357077600,Visible,1778,1079
191357094944,Visible,1778,1079
191357111887,Visible,1767,1079
191357128768,Visible,1767,1079
191357146416,Visible,1763,1079
191357163584,Visible,1763,1079
191357180835,Visible,1763,1079
191357197808,Visible,1743,1079
191357214871,Visible,1743,1079
191357232006,Visible,1745,1079
191357249202,Visible,1745,1079
191357266063,Visible,1746,1079
191357282942,Visible,1746,1079
191357300274,Visible,1746,1079
191357317366,Visible,1748,1079
191357334448,Visible,1748,1079
191357351469,Visible,1744,1079
191357368687,Visible,1744,1079
191357385597,Visible,1736,1079
191357402803,Visible,1736,1079
191357419891,Visible,1730,1079
191357437132,Visible,1730,1079
191357454283,Lost,,
191357471312,Lost,,
191357488465,Lost,,
191357505650,Lost,,
191357522860,Lost,,
191357539935,Lost,,
191357557261,Lost,,
191357574281,Lost,,
191357591583,Lost,,
191357608502,Lost,,
191357625411,Lost,,
191357642422,Lost,,
191357659382,Lost,,
191357676385,Lost,,
191357693447,Lost,,
191357710628,Lost,,
191357727726,Lost,,
191357744848,Lost,,
191357761751,Lost,,
191357778803,Lost,,
191357795767,Lost,,
191357812684,Lost,,
191357830045,Lost,,
191357847141,Lost,,
191357864091,Lost,,
191357881179,Lost,,
191357898193,Lost,,
191357915459,Lost,,
191357932364,Lost,,
191357949459,Lost,,
191357966434,Lost,,
191357983540,Lost,,
191358000840,Lost,,
191358017959,Lost,,
191358034979,Lost,,
191358052190,Lost,,
191358069194,Lost,,
191358086483,Lost,,
191358103703,Lost,,
191358120934,Lost,,
191358137796,Lost,,
191358154721,Lost,,
191358171752,Lost,,
191358188708,Lost,,
191358205657,Lost,,
191358222528,Lost,,
191358239813,Lost,,
191358256803,Lost,,
191358274056,Lost,,
191358291410,Lost,,
191358308445,Lost,,
191358325480,Lost,,
191358342837,Lost,,
191358359755,Lost,,
191358376701,Lost,,
191358393625,Lost,,
191358410532,Lost,,
191358427423,Lost,,
191358444950,Lost,,
191358462067,Lost,,
191358478939,Lost,,
191358495830,Lost,,
191358513030,Lost,,
191358530383,Lost,,
191358547645,Lost,,
191358564573,Lost,,
191358581965,Lost,,
191358599118,Lost,,
191358616367,Lost,,
191358633352,Lost,,
191358650312,Lost,,
191358667568,Lost,,
191358684870,Lost,,
191358702111,Lost,,
191358719110,Lost,,
191358736058,Lost,,
191358753107,Lost,,
191358770024,Lost,,
191358787138,Lost,,
191358804137,Lost,,
191358821230,Lost,,
191358838023,Lost,,
191358855040,Lost,,
191358872371,Lost,,
191358889656,Lost,,
191358907087,Lost,,
191358924108,Lost,,
191358941386,Lost,,
191358958610,Lost,,
191358975568,Lost,,
191358992612,Lost,,
191359009570,Lost,,
191359026599,Lost,,
191359043788,Lost,,
191359060848,Lost,,
191359077754,Lost,,
191359094905,Lost,,
191359112172,Lost,,
191359129128,Lost,,
191359146515,Lost,,
191359163531,Lost,,
191359180630,Lost,,
191359197506,Lost,,
191359214665,Lost,,
191359232510,Lost,,
191359249838,Lost,,
191359266985,Lost,,
191359284376,Lost,,
191359301616,Lost,,
191359318816,Lost,,
191359336018,Visible,1894,1079
191359352951,Visible,1894,1079
191359370250,Visible,1908,1079
191359387538,Visible,1908,1079
191359404650,Visible,1919,1079
191359421932,Visible,1919,1079
191359439251,Visible,1919,1079
191359456534,Visible,1919,1079
191359473657,Visible,1919,1079
191359490781,Visible,1919,1079
191359508097,Visible,1919,1079
191359524916,Visible,1919,1079
191359541969,Visible,1919,1079
191359558984,Visible,1919,1079
191359576025,Visible,1919,1079
191359593059,Visible,1919,1079
191359610228,Visible,1919,1079
191359627208,Visible,1919,1079
191359644463,Visible,1919,1079
191359661545,Visible,1919,1079
191359678705,Visible,1919,1079
191359695764,Visible,1919,1079
191359713057,Visible,1919,1079
191359730403,Visible,1919,1079
191359747595,Visible,1919,1079
191359764611,Visible,1919,1079
191359781622,Visible,1919,1079
191359798666,Visible,1919,1079
191359815700,Visible,1919,1079
191359833240,Visible,1919,1079
191359850253,Visible,1919,1079
191359867412,Visible,1919,1079
191359884460,Visible,1919,1079
191359901606,Visible,1919,1079
191359918670,Visible,1919,1079
191359935768,Visible,1919,1079
191359952807,Visible,1919,1079
191359970032,Visible,1919,1079
191359987589,Visible,1919,1079
191400004806,Visible,1919,1079
191400022198,Lost,,
191400039254,Lost,,
191400056362,Lost,,
191400073481,Lost,,
191400090518,Lost,,
191400107534,Lost,,
191400124538,Lost,,
191400141684,Lost,,
191400158908,Lost,,
191400175911,Lost,,
191400192986,Lost,,
191400210113,Lost,,
191400227499,Lost,,
191400244303,Lost,,
191400261592,Lost,,
191400278805,Lost,,
191400296113,Lost,,
191400312953,Lost,,
191400330245,Lost,,
191400347540,Lost,,
191400364504,Lost,,
191400381928,Lost,,
191400399075,Lost,,
191400415994,Lost,,
191400433298,Lost,,
191400450543,Lost,,
191400467844,Lost,,
191400485193,Lost,,
191400502388,Lost,,
191400519503,Lost,,
191400536410,Lost,,
191400553755,Lost,,
191400570706,Lost,,
191400587861,Lost,,
191400604912,Lost,,
191400621715,Lost,,
191400638807,Lost,,
191400655770,Lost,,
191400672924,Lost,,
191400689889,Lost,,
191400706740,Lost,,
191400724020,Lost,,
191400741251,Lost,,
191400758122,Lost,,
191400775463,Lost,,
191400792514,Lost,,
191400809530,Lost,,
191400826735,Lost,,
191400843918,Lost,,
191400860792,Lost,,
191400877956,Lost,,
191400895200,Lost,,
191400912154,Lost,,
191400929268,Lost,,
191400946296,Lost,,
191400963708,Lost,,
191400980779,Lost,,
191400997983,Lost,,
191401015105,Lost,,
191401032314,Lost,,
191401049598,Lost,,
191401066653,Lost,,
191401083795,Lost,,
191401101101,Lost,,
191401118332,Lost,,
191401135475,Lost,,
191401152521,Lost,,
191401169756,Lost,,
191401186625,Lost,,
191401203675,Lost,,
191401220908,Lost,,
191401238307,Lost,,
191401255310,Lost,,
191401272918,Lost,,
191401289770,Lost,,
191401306940,Lost,,
191401323836,Lost,,
191401340850,Lost,,
191401357972,Lost,,
191401374860,Lost,,
191401392005,Lost,,
191401409125,Lost,,
191401426259,Lost,,
191401443278,Lost,,
191401460434,Lost,,
191401477933,Lost,,
191401495101,Lost,,
191401512095,Lost,,
191401529141,Lost,,
191425764417,Visible,1749,423
191425782039,Visible,1769,431
191425799385,Visible,1769,431
191425816774,Visible,1771,435
191425833973,Visible,1771,435
191425851091,Visible,1800,449
191425868341,Visible,1800,449
191425885467,Visible,1841,459
191425902491,Visible,1841,459
191425919715,Visible,1861,475
191425936952,Visible,1861,475
191425953979,Visible,1882,497
191425971164,Visible,1882,497
191425988250,Visible,1875,548
191426005261,Visible,1875,548
191426022457,Visible,1885,621
191426039652,Visible,1885,621
191426056754,Visible,1884,645
191426073729,Visible,1884,645
191426090634,Visible,1878,653
191426107522,Visible,1878,653
191426124780,Visible,1871,676
191426141968,Visible,1871,676
191426158959,Visible,1856,687
191426176265,Visible,1856,687
191426193296,Visible,1836,695
191426210324,Visible,1836,695
191426227354,Visible,1807,703
191426244399,Visible,1794,701
191426261245,Visible,1794,701
191426278360,Visible,1780,705
191426295487,Visible,1780,705
191426312581,Visible,1390,621
191426329677,Visible,1390,621
191426346549,Visible,1329,599
191426363429,Visible,1329,599
191426380546,Visible,1329,599
191426397561,Visible,1308,582
191426414954,Visible,1308,582
191426431964,Visible,1301,571
191426448979,Visible,1301,571
191426466045,Visible,1301,571
191426483103,Visible,1301,571
191426500122,Visible,1300,570
191426517219,Visible,1300,570
191426534540,Visible,1300,570
191426551663,Visible,1300,570
191426568830,Visible,1300,570
191426585850,Visible,1301,570
191426602747,Visible,1301,570
191426620193,Visible,1303,570
191426637410,Visible,1303,570
191426654485,Visible,1318,568
191426671543,Visible,1318,568
191426688604,Visible,1331,563
191426705660,Visible,1331,563
191426722853,Visible,1331,563
191426740175,Visible,1402,555
191426757189,Visible,1431,541
191426774027,Visible,1431,541
191426791728,Visible,1431,541
191426808706,Visible,1466,538
191426825761,Visible,1516,531
191426843086,Visible,1516,531
191426860049,Visible,1568,513
191426877290,Visible,1568,513
191426894432,Visible,1598,506
191426911650,Visible,1598,506
191426929210,Visible,1623,497
191426946456,Visible,1623,497
191426963537,Visible,1661,493
191426980528,Visible,1683,455
191426997563,Visible,1683,455
191427014726,Visible,1698,433
191427031647,Visible,1698,433
191427048818,Visible,1686,406
191427066086,Visible,1686,406
191427083237,Visible,1686,406
191427100418,Visible,1677,366
191427117264,Visible,1677,366
191427134357,Visible,1678,351
191427151597,Visible,1678,351
191427168676,Visible,1674,332
191427185887,Visible,1674,332
191427202874,Visible,1667,332
191427220078,Visible,1661,329
191427236991,Visible,1661,329
191427254113,Visible,1655,326
191427271425,Visible,1655,326
191427288429,Visible,1654,326
191427305711,Visible,1654,326
191427322564,Visible,1649,330
191427339916,Visible,1649,330
191427357037,Visible,1650,333
191427374182,Visible,1650,333
191427391370,Visible,1650,335
191427408700,Visible,1650,335
191427425786,Visible,1650,335
191427442656,Visible,1653,338
191427459782,Visible,1647,337
191427476816,Visible,1647,337
191427493796,Visible,1650,339
191427511040,Visible,1650,339
191427528134,Visible,1650,339
191427545551,Visible,1650,339
191427562678,Visible,1650,339
191427579948,Visible,1650,339
191427597077,Visible,1650,339
191427614314,Visible,1650,339
191427631187,Visible,1650,339
191427648227,Visible,1650,339
191427665367,Visible,1618,622
191427682240,Visible,1618,622
191427699311,Visible,1615,632
191427716492,Visible,1628,633
