Record Time,Gaze Lost,X Coordinate,Y Coordinate
184135772553,Visible,877,47
184135791667,Visible,877,47
184135809008,Visible,881,62
184135826038,Visible,881,62
184135843497,Visible,888,86
184135861178,Visible,888,107
184135878331,Visible,888,107
184135895341,Visible,892,112
184135912328,Visible,892,112
184135929494,Visible,895,112
184135946785,Visible,895,112
184135963971,Visible,899,111
184135981262,Visible,899,111
184135998334,Visible,897,121
184136015525,Visible,897,121
184136032838,Visible,896,117
184136050008,Visible,896,116
184136066909,Visible,896,116
184136084027,Visible,896,116
184136101322,Visible,892,113
184136118350,Visible,892,113
184136135526,Visible,892,113
184136152707,Visible,892,113
184136169727,Visible,897,111
184136186571,Visible,897,111
184136203699,Visible,898,110
184136221104,Visible,898,110
184136238160,Visible,905,101
184136255291,Visible,905,101
184136272466,Visible,923,78
184136289599,Visible,923,78
184136306647,Visible,942,56
184136323706,Visible,960,22
184136341115,Visible,960,22
184136358129,Visible,1001,0
184136375211,Visible,1001,0
184136392361,Visible,1019,0
184136409189,Visible,1019,0
184136426266,Visible,1024,0
184136443623,Visible,1024,0
184136460933,Visible,1024,0
184136477949,Visible,1051,0
184136494984,Visible,1051,0
184136512102,Visible,1058,0
184136529249,Visible,1058,0
184136546271,Visible,1071,0
184136563289,Visible,1080,0
184136580403,Visible,1080,0
184136597310,Visible,1099,0
184136614516,Visible,1099,0
184136631594,Visible,1124,0
184136648872,Visible,1124,0
184136665721,Visible,1139,0
184136682936,Visible,1139,0
184136700088,Visible,1151,0
184136717338,Visible,1151,0
184136734452,Visible,1150,0
184136751382,Visible,1150,0
184136768251,Visible,1146,0
184136785346,Visible,1146,0
184136802473,Visible,1146,0
184136819827,Visible,1136,0
184136836880,Visible,1131,0
184136853707,Visible,1131,0
184136870858,Visible,1113,27
184136888248,Visible,1113,27
184136905613,Visible,1097,102
184136922818,Visible,1097,102
184136940129,Visible,1090,150
184136957109,Visible,1090,150
184136974307,Visible,1088,209
184136991341,Visible,1088,209
184137008410,Visible,1085,277
184137025804,Visible,1085,277
184137043239,Visible,1083,333
184137060254,Visible,1079,389
184137077637,Visible,1079,389
184137094721,Visible,1075,411
184137111955,Visible,1075,411
184137129069,Visible,1070,404
184137146453,Visible,1070,404
184137163705,Visible,1070,404
184137180873,Visible,1071,391
184137197987,Visible,1071,391
184137215282,Visible,1071,381
184137232416,Visible,1071,381
184137249570,Visible,1073,376
184137266688,Visible,1086,382
184137283669,Visible,1086,382
184137300875,Visible,1133,401
184137317917,Visible,1133,401
184137335110,Visible,1189,437
184137352000,Visible,1189,437
184137369176,Visible,1222,465
184137386157,Visible,1222,465
184137403683,Visible,1265,455
184137420704,Visible,1265,455
184137438012,Visible,1289,495
184137454868,Visible,1289,495
184137472318,Visible,1301,482
184137489407,Visible,1301,482
184137506200,Visible,1323,496
184137523116,Visible,1323,496
184137540229,Visible,1347,533
184137557373,Visible,1347,533
184137574461,Visible,1362,549
184137591509,Visible,1362,549
184137608753,Visible,1349,591
184137625861,Visible,1349,591
184137642989,Visible,1337,603
184137660164,Visible,1337,603
184137677264,Visible,1348,589
184137694473,Visible,1348,589
184137711592,Visible,1361,584
184137728720,Visible,1361,584
184137745720,Visible,1357,581
184137762736,Visible,1351,571
184137779632,Visible,1351,571
184137796686,Visible,1351,571
184137813523,Visible,1351,571
184137830456,Visible,1342,564
184137847426,Visible,1342,564
184137864489,Visible,1342,564
184137881684,Visible,1320,570
184137898834,Visible,1320,570
184137915943,Visible,1309,593
184137933038,Visible,1309,593
184137950435,Visible,1283,598
184137967839,Visible,1283,598
184137985172,Visible,1282,594
184138002574,Visible,1282,594
184138019471,Visible,1280,590
184138036827,Visible,1279,594
184138053900,Visible,1279,594
184138071034,Visible,1277,591
184138088188,Visible,1277,591
184138105352,Visible,1279,603
184138122577,Visible,1279,603
184138139703,Visible,1283,602
