Record Time,Gaze Lost,X Coordinate,Y Coordinate
185729758945,Visible,319,113
185729777470,Visible,342,117
185729794613,Visible,342,117
185729811622,Visible,375,123
185729828937,Visible,375,123
185729845946,Visible,431,125
185729863073,Visible,923,138
185729880347,Visible,923,138
185729897397,Visible,933,138
185729914400,Visible,933,138
185729931573,Visible,971,139
185729948688,Visible,971,139
185729965773,Visible,1042,139
185729983023,Visible,1042,139
185730000170,Visible,1042,139
185730017718,Visible,1118,136
185730034749,Visible,1118,136
185730051964,Visible,1157,133
185730069208,Visible,1186,132
185730086389,Visible,1186,132
185730103710,Visible,1216,124
185730120675,Visible,1216,124
185730137912,Visible,1251,126
185730154810,Visible,1251,126
185730171855,Visible,1292,120
185730189179,Visible,1292,120
185730206451,Visible,1347,113
185730223776,Visible,1347,113
185730240851,Visible,1375,109
185730257789,Visible,1375,109
185730274782,Visible,1406,109
185730292174,Visible,1406,109
185730309431,Visible,1412,103
185730326530,Visible,1413,99
185730343725,Visible,1413,99
185730360898,Visible,1392,101
185730377985,Visible,1392,101
185730395159,Visible,1392,101
185730412213,Visible,1390,99
185730429155,Visible,1390,99
185730446305,Visible,1399,91
185730463743,Visible,1399,91
185730481093,Visible,1396,85
185730498398,Visible,1396,85
185730515527,Visible,1385,74
185730532667,Visible,1385,74
185730550078,Visible,1365,68
185730567413,Visible,1362,69
185730584380,Visible,1362,69
185730601691,Visible,1350,68
185730618696,Visible,1350,68
185730635979,Visible,1337,53
185730653383,Visible,1337,53
185730670466,Visible,1329,46
185730687705,Visible,1329,46
185730704802,Visible,1324,39
185730721815,Visible,1324,39
185730738979,Visible,1325,30
185730756017,Visible,1325,30
185730773035,Visible,1282,17
185730790125,Visible,1282,17
185730807226,Visible,682,0
185730824266,Visible,682,0
185730841490,Visible,627,0
185730858661,Visible,627,0
185730876071,Visible,548,0
185730893158,Visible,548,0
185730910084,Visible,428,0
185730927177,Visible,428,0
185730944380,Visible,333,0
185730961709,Visible,333,0
185730978622,Visible,267,0
185730995664,Visible,267,0
185731013035,Visible,246,0
185731030259,Visible,231,0
185731047532,Visible,231,0
185731064853,Visible,246,0
185731082080,Visible,246,0
185731099061,Visible,262,0
185731116329,Visible,262,0
185731133389,Visible,286,0
185731150539,Visible,286,0
185731167616,Visible,554,0
185731184703,Visible,554,0
185731201920,Visible,554,0
185731219410,Visible,636,66
185731236699,Visible,636,66
185731253628,Visible,947,146
185731271073,Visible,985,228
185731287946,Visible,985,228
185731304896,Visible,1019,486
185731322206,Visible,1019,486
185731339681,Visible,1027,501
185731356880,Visible,1027,501
185731374148,Visible,1028,501
185731391249,Visible,1028,501
185731408220,Visible,1027,499
185731425097,Visible,1027,499
185731442481,Visible,1028,499
185731459638,Visible,1028,499
185731477099,Visible,1036,828
185731494334,Visible,1036,828
185731511247,Visible,1048,821
185731528603,Visible,1081,827
185731545861,Visible,1081,827
185731562817,Visible,1081,827
185731579848,Visible,1117,824
185731597183,Visible,1117,824
185731614074,Visible,1103,833
185731631343,Visible,1103,833
185731648383,Visible,1095,842
185731665824,Visible,1095,842
185731682895,Visible,1094,863
185731699934,Visible,1094,863
185731716860,Visible,1089,870
185731733952,Visible,1097,890
185731751103,Visible,1097,890
185731768444,Visible,1114,917
185731785680,Visible,1114,917
185731802688,Visible,1116,946
185731819998,Visible,1116,946
185731837020,Visible,1175,970
185731854390,Visible,1175,970
185731871562,Visible,1551,1009
185731888730,Visible,1551,1009
185731906067,Visible,1631,1019
185731923082,Visible,1631,1019
185731940383,Visible,1711,1016
185731957691,Visible,1711,1016
185731974877,Visible,1800,1041
185731992189,Visible,1800,1041
185732009205,Visible,1848,1038
185732026219,Visible,1848,1038
185732043456,Visible,1898,1048
185732060359,Visible,1898,1048
185732077531,Visible,1890,1047
185732094560,Visible,1890,1047
185732111982,Visible,1897,1044
185732129198,Visible,1897,1044
185732146266,Visible,1896,1047
185732163517,Visible,1896,1047
185732180588,Visible,1914,1043
185732197781,Visible,1918,1044
