被験者,得点率(％),解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,-10,109.226174,-546.959748,2548,5.48679673,-429.7255325,208.692225,33.1863317,-6.2975258,-0.822841417
J1-02,,,,,,,,,,
J2-01,20,-94.550571,-29.9580129,854,1.08484213,-151.5195694,-575.3551277,-0.8741291,-44.64422582,-0.861745594
J2-02,-10,27.343467,218.755614,2098,4.92205826,-170.0165331,-169.7137602,-29.9964881,15.18517252,-0.807055044
J2-03,-10,-27.573505,-55.159094,742,0.8205785,-186.7038427,-581.2585415,-18.3567403,-18.1921279,-0.832634857
J2-04,-10,-53.779395,-355.689909,690,0.69162115,-277.2570156,-856.1495689,-138.3198601,-49.46459483,-0.822904132
J2-05,10,-52.670654,23.332818,1304,2.25121467,-166.9993085,209.405962,12.4764304,-27.14917563,-0.781346187
J2-06,10,10.270256,-62.589862,1616,0.61521671,-222.8196909,-84.114223,21.2712392,-6.68066965,-0.808217391
J2-07,10,-31.711194,369.4913258,1288,0.69202928,-96.905045,444.3096214,86.3561302,-1.91608599,-0.847129459
J2-08,0,-9.279184,269.622076,1165,2.93657916,-131.9557991,666.5282,114.3670544,-4.36178776,-0.809080479
J2-09,10,2.026205,-45.344909,2557,5.71666523,-204.0670316,1.178254,-14.3987381,-12.95889138,-0.82335011
J2-10,,,,,,,,,,
J3-01,20,24.383572,184.301847,2189,3.17102029,-161.4575057,-461.3035851,-39.9192505,20.27445173,-0.818879293
J3-02,-20,-3.020791,-116.550415,1781,3.86516086,-169.0637536,-134.5795469,-53.0519362,-4.32187281,-0.78394927
J3-03,0,-30.884772,795.945605,576,-1.27599309,-58.4907095,289.6571677,127.8757892,4.24755062,-0.789840695
J3-04,,,,,,,,,,
J3-05,10,8.222385,-143.986466,934,2.42836116,-251.2524934,-98.008754,-89.3707936,-7.15161919,-0.773014593
J3-06,-10,1.865765,-91.4374526,1598,5.78882583,-115.8109229,-309.2654301,10.0357477,-2.66703253,-0.841526589
J3-07,,,,,,,,,,
J3-08,-10,35.334482,140.278956,1968,4.24925511,-151.5083463,107.1892825,-24.2486158,26.80380632,-0.818055209
J3-09,-10,-20.534376,-197.723356,1566,1.46150878,-212.1425502,-705.6903421,-18.5758914,-17.38043381,-0.804869202
J3-10,0,-45.229554,279.740708,306,-0.12958266,-179.1714586,184.702412,70.4583043,-43.36432396,-0.768814219
J3-11,-40,-22.109789,-126.173849,902,-1.36497837,-199.8031711,-357.304294,-46.3530594,-16.59284978,-0.804781848
J3-12,-10,-48.665329,176.870056,735,1.96642796,-192.3449569,64.012595,6.634195,-21.84510877,-0.798736556
J3-13,20,-22.578934,-327.845502,1695,6.09941355,-322.7977311,-154.586942,-151.9992978,-36.12460014,-0.815022896
J3-14,0,-28.785547,78.939772,706,2.39230271,-210.4387024,-520.9335381,11.9884832,-12.99325507,-0.830905774
H1-01,10,15.285609,-254.360401,2150,5.50743226,-298.2034916,-234.879185,-63.8766871,3.16507227,-0.813603271
H1-02,0,-0.889257,-344.4432129,1392,1.78925424,-213.3619451,-242.5815707,-69.0746471,-27.73923893,-0.793671325
H2-01,,,,,,,,,,
H2-02,,,,,,,,,,
H2-03,-10,-48.362464,133.8503849,1552,5.07652013,-132.2215261,-242.7858068,14.6132595,-31.16340942,-0.786688601
H3-01,,,,,,,,,,
