Participants,Group,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
J1-01,C,50,257,1170.8558,938,11.59932973,316.0982572,1377.868281,385.5913731,145.1000083,0.959485621
J1-02,C,35,370,621.8038118,1386,14.54907162,137.3848308,1343.968006,355.5990133,106.6301555,0.966180005
J2-01,A,100,307,1216.718545,697,14.04290889,275.4289524,1589.93459,439.6856104,102.8428618,0.9470454
J2-02,B,90,224,775.6825934,869,14.60869565,175.4614497,1235.836963,391.7013633,92.79267762,0.973382635
J2-03,A,95,178,1047.428193,754,15.28559936,221.4679675,957.7995615,447.8878443,99.25505271,0.970401266
J2-04,A,70,176,982.5406709,578,10.49918611,285.7375551,1108.429971,428.7545755,92.86013814,0.986050405
J2-05,B,55,516,786.683142,1652,12.51802711,204.0705345,990.9697271,435.8773283,185.9456468,0.97158827
J2-06,B,85,530,672.344569,1766,13.30212063,175.1093795,1687.135146,383.1122458,166.8999247,0.962247274
J2-07,B,55,352,656.9820906,1256,15.11707517,152.3691224,1257.588565,366.3933922,109.4249764,0.973572749
J2-08,B,75,274,670.0904635,1027,15.19119958,147.4784487,1261.942946,376.0064848,87.30396179,0.958411954
J2-09,B,65,351,840.925435,1178,11.73497268,225.770781,990.3681134,364.3904377,151.4330977,0.955605115
J2-10,A,90,241,866.105401,899,13.38304553,201.6642968,999.9129962,352.9670451,121.2723859,0.976040923
J3-01,C,20,331,631.4932702,1283,15.20235467,132.7565855,659.0849718,304.7695508,106.2100583,0.969203382
J3-02,C,20,319,788.3958478,1338,16.07416488,162.4844258,905.1762259,400.8044757,116.9236794,0.962931266
J3-03,A,20,306,1099.984768,1208,14.70827239,254.8977726,1240.114914,446.668102,168.3966886,0.95039404
J3-04,B,30,363,1030.611635,1452,12.7888013,257.1535208,1056.386766,432.5113016,175.4512573,0.93456738
J3-05,A,25,234,1033.980031,928,14.16459884,236.8059635,996.1375407,442.1906031,114.3585588,0.969879223
J3-06,A,20,250,620.9770915,890,14.61877757,140.4128188,861.0023229,309.2745833,75.99963934,0.960011538
J3-07,A,25,231,1373.740362,1009,12.77928586,339.4205466,1447.000346,459.0828247,149.7439345,0.949497497
J3-08,A,25,179,888.4287125,653,14.42997608,198.1967412,876.5414993,414.073755,78.67106064,0.971264973
J3-09,C,20,322,786.1154749,1202,13.20897786,205.804068,949.7604961,400.1868432,118.1542241,0.952603449
J3-10,B,10,307,1098.653374,1167,12.23895095,298.4314456,1258.320309,453.4690862,154.7132306,0.964835479
J3-11,B,5,317,676.1010133,1106,13.69698786,162.8057028,1015.955216,409.6789249,114.5978879,0.964994911
J3-12,B,15,336,588.0699906,1288,15.42784881,122.0409504,1313.001523,317.0939776,109.0207692,0.966687366
J3-13,B,10,403,696.5542001,1510,14.24861291,165.9056927,917.3467174,354.6320189,152.069905,0.975854278
J3-14,C,10,404,606.836366,1558,14.33065362,139.2434714,911.111958,366.9886702,130.6106722,0.958381345
