Participants,Group,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
J2-01,A,70,189,1016.606957,642,13.55463347,238.6351173,1423.582102,481.5510471,88.76010648,0.988750942
J2-02,B,90,157,1100.20951,600,12.21020093,279.9603981,1044.027777,562.5979025,80.95176807,0.959760752
J1-01,C,90,111,1632.183016,410,10.24750326,525.0640143,1382.884666,508.3687874,90.56181311,0.983084825
J1-02,C,70,193,772.172866,660,12.38358923,196.426589,1224.70772,467.3498863,72.57466148,0.97744253
J2-03,A,80,109,1292.219052,466,13.51594073,309.2742705,1389.765808,551.1199482,65.5282221,0.971707705
J2-04,A,90,153,1465.664608,582,12.25680934,389.8785046,1602.21659,585.9103332,102.8026446,0.969130174
J2-05,B,60,185,1105.473467,584,12.64902588,268.9619088,1052,533.4079895,89.07074013,0.954015679
J2-06,B,80,179,1155.61953,586,11.42693081,343.4095627,1621.712675,557.9905234,91.47015666,0.969888599
J2-07,B,80,147,976.3700182,588,14.75990976,217.3256349,925.6630056,459.5663143,70.41076188,0.98572221
J2-08,B,90,119,1019.088901,487,13.42868494,242.8433235,796.738351,457.6478286,64.84167306,0.979782658
J2-09,B,80,175,1156.647338,671,12.38986784,290.7548049,1116.741689,486.4819583,95.69542184,0.970809837
J2-10,A,90,133,1018.850275,516,12.45601689,256.7483721,1085.166347,456.4033222,72.62579442,0.967787708
J3-01,C,80,148,1038.165584,557,11.98971392,271.2302563,1232.82805,444.0466407,85.86493777,0.966730713
J3-02,C,100,126,1122.292987,470,14.60344104,246.6606792,1042.02927,508.8623507,62.88308162,0.945691131
J3-03,A,80,120,1071.752531,440,13.83801384,254.7446568,999.0495483,459.1412664,59.93760958,0.941415498
J3-04,B,90,129,1329.22553,594,13.83339616,299.5780372,1052.517458,505.4429226,83.26610223,0.944688405
J3-05,A,90,84,1347.095964,294,10.33314512,379.4191503,1196.488613,513.1128437,60.06460805,0.983107878
J3-06,A,90,90,744.4280537,334,14.20356527,163.2539226,865.0855449,329.5592038,38.99327797,0.989559715
J3-07,A,100,117,1481.138821,534,13.99669694,332.560014,1209.506511,469.2809947,83.90567036,0.963525379
J3-08,A,100,92,1174.061248,384,14.0094093,252.5124031,792.4600936,493.2892565,52.2577142,0.954109631
J3-09,C,90,153,1269.502066,644,14.38356164,304.5792907,1533.010111,503.7178144,84.45078963,0.968670107
J3-10,B,90,162,1240.894692,640,11.86891054,352.2197719,1371.018964,521.5768095,95.51271692,0.943036665
J3-11,B,100,148,1295.514806,452,11.58273381,346.508235,1471.375207,602.227018,82.36778868,0.96283207
J3-12,B,100,139,1204.913796,519,11.4822547,327.6733556,1219.942622,510.4532734,79.15260164,0.9534415
J3-13,B,70,152,1429.902593,581,11.54929577,412.4076051,1266.76004,547.7037462,105.7433767,0.97934627
J3-14,C,90,107,1184.390075,380,10.79597438,333.1084602,1394.320623,479.8155258,60.36209865,0.983760286
H1-01,C,90,130,1388.278138,418,11.43847487,387.6933527,1418.046544,594.664876,73.01784731,0.977148003
H1-02,C,80,117,1258.87363,518,14.10309278,292.3441739,992.0246973,499.6927354,80.94103991,0.959116351
H2-01,A,100,103,1010.118517,382,11.21323529,277.0585414,994.6924148,452.2336816,55.61044899,0.963657612
H2-02,A,90,110,1476.233907,462,13.62607515,360.811695,1291.681849,528.3617329,75.95333523,0.981683415
H2-03,B,80,166,936.4184731,590,12.79499574,216.1710598,1014.552611,483.948273,87.65567841,0.974363671
H3-01,B,100,138,914.3684482,518,11.86264308,252.8337352,1094.210674,426.6419528,60.07345494,0.990386285
