Participants,Group,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
J2-01,A,5,-57.2906355,-337.4236247,2937.5,3.03913408,-192.1217377,-589.3295438,-32.198371,-36.4645975,-0.837763808
J2-02,B,-10,62.06082,188.2104071,3069,2.80327624,-130.3713455,17.241999,-2.2294691,24.72222116,-0.807328993
J1-01,C,-5,82.056885,-407.9430498,3455.5,5.2611773,-335.863643,38.365019,19.0900754,-15.8750431,-0.816833048
J2-03,A,-8,-15.212169,55.11675,1528,1.34023737,-154.3596517,-208.2294437,-4.2312314,-13.23239314,-0.831765781
J2-04,A,-2,-28.189614,-215.811959,1643,3.93789684,-245.7795343,-548.2549206,-74.2585117,-34.27462886,-0.825712303
J2-05,B,10,-38.1453655,103.4042885,4006,3.85986147,-147.5514721,122.907955,14.9309641,-11.098706,-0.792893415
J2-06,B,10,-73.608679,139.9791654,2524.5,0.65615673,-149.886844,-285.234394,56.0178675,-5.1655865,-0.809241566
J2-07,B,5,-75.7636495,392.1835466,1952,0.93637041,-79.8868664,158.264944,74.2111776,2.85318624,-0.836487467
J2-08,B,0,-39.8013995,224.4035738,1916,2.61063745,-104.9252303,123.020864,95.2184798,-6.97296131,-0.806864787
J2-09,B,7,-0.176153,140.6056795,3128.5,4.26297164,-159.097865,243.192303,20.1671498,3.6613272,-0.819981917
J3-01,C,43,-12.991346,402.1462077,2646,1.35770384,-89.6732505,-132.8507396,38.0777981,46.29624446,-0.818573942
J3-02,C,18,-0.977972,-46.8775805,3603,3.95149928,-136.9579301,-142.3636484,-37.3728576,-0.93491092,-0.795948402
J3-03,A,35,-75.937185,380.169145,1085.5,-0.3946981,-108.7088947,29.869385,54.9505759,-32.09201352,-0.798382892
J3-05,A,37,-1.02541,-353.8072243,2418,4.46245967,-227.6224443,-217.7188551,-108.792879,-37.34587135,-0.790908606
J3-06,A,30,-12.20372,-121.0312485,2769,5.91560264,-111.7050867,-255.779584,7.3684015,-15.92411829,-0.820230762
J3-08,A,30,11.960241,139.381695,2291.5,4.20507753,-136.2964759,19.6211213,5.1045055,18.63297587,-0.825504644
J3-09,C,8,-60.761941,-24.317412,2241,3.11431831,-172.7896591,-357.7275462,14.2263979,-19.39946302,-0.796900483
J3-10,B,18,-66.2040265,-2.55255,1554.5,2.5794826,-206.3486318,28.572559,6.834075,-57.07741739,-0.78622979
J3-11,B,20,-51.7689,74.4505826,1449.5,-1.1077035,-132.6635702,-214.210184,5.0264177,-16.96344484,-0.815578257
J3-12,B,22,-94.974118,221.0268304,1654.5,2.80717244,-125.6329535,-105.803322,59.5067456,-20.12215842,-0.808139201
J3-13,B,35,-72.7193665,-61.784103,2726.5,5.05672508,-209.6450458,4.477894,-57.0485193,-39.45701918,-0.821406696
J3-14,C,35,-90.6350105,202.4366218,1903,2.83622217,-138.4634051,-177.9298198,47.0313072,-17.87003015,-0.819933383
