Participants,Group,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
J2-01,A,-10,-20.0307,-644.8892364,5021,4.99342602,-232.7239059,-603.30396,-63.5226128,-28.28496914,-0.813782021
J2-02,B,-10,96.778173,157.6652011,4040,0.68449423,-90.72615778,204.197759,25.53755,34.25926968,-0.807602941
J1-01,C,0,54.887596,-268.9263512,4363,5.03555789,-242.0017534,-131.962185,4.993819,-25.4525604,-0.810824679
J2-03,A,-5,-2.850833,165.392593,2314,1.85989623,-122.0154607,164.7996545,9.8942776,-8.27265836,-0.830896703
J2-04,A,5,-2.599833,-75.9340103,2596,7.18417251,-214.3020529,-240.3602733,-10.1971634,-19.08466291,-0.828520474
J2-05,B,10,-23.620077,183.4757595,6708,5.46850828,-128.1036357,36.4099499,17.3854978,4.9517638,-0.804440642
J2-06,B,10,-157.487614,342.548192,3433,0.69709674,-76.9539971,-486.354567,90.7644959,-3.6505033,-0.810265743
J2-07,B,0,-119.816105,414.8757684,2616,1.18071155,-62.868688,-127.779732,62.0662249,7.6224585,-0.825845476
J2-08,B,0,-70.323615,179.1850721,2667,2.28469574,-77.89466151,-420.4864706,76.0699051,-9.58413486,-0.804649095
J2-09,B,5,-2.378511,326.556267,3700,2.80927804,-114.1286984,485.2063506,54.7330378,20.2815459,-0.816613725
J3-01,C,65,-50.366264,619.9905688,3103,-0.4556126,-17.8889952,195.6021054,116.0748469,72.3180372,-0.818268589
J3-02,C,55,1.064847,22.795254,5425,4.0378377,-104.8521067,-150.1477496,-21.6937791,2.4520509,-0.807947533
J3-03,A,70,-120.989598,-35.607317,1595,0.48659687,-158.9270799,-229.918398,-17.9746374,-68.43157764,-0.806925089
J3-05,A,65,-10.273205,-563.6279838,3902,6.49655818,-203.9923952,-337.4289557,-128.2149644,-67.54012352,-0.808802618
J3-06,A,70,-26.273205,-150.6250443,3940,6.04237945,-107.5992505,-202.2937379,4.7010554,-29.18120406,-0.798934933
J3-08,A,70,-11.414,138.4844345,2615,4.16089995,-121.0846057,-67.9470398,34.4576268,10.46214543,-0.832954079
J3-09,C,25,-100.989506,149.0885309,2916,4.76712784,-133.4367682,-9.7647514,47.0286872,-21.41849236,-0.788931764
J3-10,B,35,-87.178499,-284.8458076,2803,5.28854785,-233.5258051,-127.557292,-56.7901544,-70.79051075,-0.803645361
J3-11,B,80,-81.428011,275.0750142,1997,-0.85042863,-65.52396927,-71.1160763,56.4058949,-17.33403991,-0.826374666
J3-12,B,55,-141.282907,265.183605,2574,3.64791691,-58.92095014,-275.619241,112.3792961,-18.39920809,-0.817541846
J3-13,B,50,-122.859799,204.2772962,3758,4.01403661,-96.49236039,163.5427316,37.9022593,-42.7894383,-0.827790497
J3-14,C,70,-152.484474,325.9334714,3100,3.28014164,-66.48810789,165.0739,82.0741313,-22.7468052,-0.808960993
