Record Time,Gaze Lost,X Coordinate,Y Coordinate
143502,Visible,890,1079
143502,Visible,901,1079
143502,Visible,901,1079
143502,Visible,903,1079
143502,Visible,903,1079
143502,Visible,906,1079
143502,Visible,906,1079
143502,Visible,906,1079
143502,Visible,906,1079
143502,Visible,908,1079
143502,Visible,908,1079
143502,Visible,905,1079
143502,Visible,905,1079
143502,Visible,904,1079
143502,Visible,904,1079
143502,Visible,904,1079
143502,Visible,904,1079
143502,Visible,903,1079
143503,Visible,903,1079
143503,Visible,903,1079
143503,Visible,902,1079
143503,Visible,902,1079
143503,Visible,898,1079
143503,Visible,898,1079
143503,Visible,894,1079
143503,Visible,894,1079
143503,Visible,892,1079
143503,Visible,892,1079
143503,Visible,1350,1079
143503,Visible,1350,1079
143503,Visible,1350,1079
143503,Visible,1757,1045
143503,Visible,1757,1045
143503,Visible,1769,958
143503,Visible,1767,900
143503,Visible,1767,900
143503,Visible,1779,851
143503,Visible,1779,851
143503,Visible,1777,825
143503,Visible,1777,825
143503,Visible,1777,803
143503,Visible,1777,803
143503,Visible,1772,798
143503,Visible,1772,798
143503,Visible,1769,799
143503,Visible,1769,799
143503,Visible,1770,798
143503,Visible,1765,800
143503,Visible,1765,800
143503,Visible,1133,746
143503,Visible,1133,746
143503,Visible,1133,746
143503,Visible,1107,819
143503,Visible,1107,819
143503,Visible,1090,881
143503,Visible,1090,881
143503,Visible,1078,914
143503,Visible,1078,914
143503,Visible,1072,945
143503,Visible,985,999
143503,Visible,985,999
143503,Visible,855,1060
143503,Visible,855,1060
143503,Visible,782,1079
143503,Visible,782,1079
143503,Visible,723,1079
143503,Visible,723,1079
143503,Visible,707,1079
143503,Visible,707,1079
143503,Visible,694,1079
143503,Visible,694,1079
143503,Visible,696,1079
143503,Visible,696,1079
143503,Visible,694,1079
143503,Visible,694,1079
143503,Visible,694,1079
143504,Visible,921,1079
143504,Visible,1626,1079
143504,Visible,1626,1079
143504,Visible,1691,1079
143504,Visible,1691,1079
143504,Visible,1727,1036
143504,Visible,1727,1036
143504,Visible,1748,978
143504,Visible,1748,978
143504,Visible,1762,943
143504,Visible,1762,943
143504,Visible,1779,910
143504,Visible,1796,892
143504,Visible,1796,892
143504,Visible,1809,876
143504,Visible,1809,876
143504,Visible,1804,868
143504,Visible,1804,868
143504,Visible,1798,866
143504,Visible,1798,866
143504,Visible,1798,866
143504,Visible,1789,861
143504,Visible,1789,861
143504,Visible,1789,861
143504,Visible,1783,867
143504,Visible,1783,867
143504,Visible,1782,866
143504,Visible,1782,866
143504,Visible,1772,868
143504,Visible,1772,868
143504,Visible,1769,869
143504,Visible,1769,869
143504,Visible,1758,867
143504,Visible,1758,867
143504,Visible,1763,867
143504,Visible,1763,867
143504,Visible,1765,866
143504,Visible,1765,866
143504,Visible,1763,866
143504,Visible,1706,868
143504,Visible,1706,868
143504,Visible,1706,868
143504,Visible,858,875
143504,Visible,858,875
143504,Visible,746,959
143504,Visible,746,959
143504,Visible,695,1041
143504,Visible,695,1041
143504,Visible,670,1073
143504,Visible,670,1073
143504,Visible,662,1079
143504,Visible,648,1079
143504,Visible,648,1079
143504,Visible,648,1079
143504,Visible,648,1079
143504,Visible,655,1079
143504,Visible,655,1079
143504,Visible,660,1079
143505,Visible,660,1079
143505,Visible,666,1079
143505,Visible,666,1079
143505,Visible,674,1079
143505,Visible,674,1079
143505,Visible,674,1079
143505,Visible,677,1079
143505,Visible,677,1079
143505,Visible,690,1079
143505,Visible,698,1079
143505,Visible,698,1079
